nu,B
5.8031741810e+20,1.5119006233e-06
5.8394440196e+20,1.5008305533e-06
5.8757138583e+20,1.4896854573e-06
5.9119836969e+20,1.4784699016e-06
5.9482535355e+20,1.4671883752e-06
5.9845233741e+20,1.4558452895e-06
6.0207932128e+20,1.4444449780e-06
6.0570630514e+20,1.4329916958e-06
6.0933328900e+20,1.4214896203e-06
6.1296027287e+20,1.4099428503e-06
6.1658725673e+20,1.3983554065e-06
6.2021424059e+20,1.3867312313e-06
6.2384122446e+20,1.3750741892e-06
6.2746820832e+20,1.3633880665e-06
6.3109519218e+20,1.3516765722e-06
6.3472217605e+20,1.3399433373e-06
6.3834915991e+20,1.3281919159e-06
6.4197614377e+20,1.3164257851e-06
6.4560312764e+20,1.3046483455e-06
6.4923011150e+20,1.2928629215e-06
6.5285709536e+20,1.2810727620e-06
6.5648407922e+20,1.2692810404e-06
6.6011106309e+20,1.2574908556e-06
6.6373804695e+20,1.2457052322e-06
6.6736503081e+20,1.2339271211e-06
6.7099201468e+20,1.2221594002e-06
6.7461899854e+20,1.2104048751e-06
6.7824598240e+20,1.1986662794e-06
6.8187296627e+20,1.1869462757e-06
6.8549995013e+20,1.1752474562e-06
6.8912693399e+20,1.1635723430e-06
6.9275391786e+20,1.1519233897e-06
6.9638090172e+20,1.1403029813e-06
7.0000788558e+20,1.1287134354e-06
7.0363486945e+20,1.1171570027e-06
7.0726185331e+20,1.1056358682e-06
7.1088883717e+20,1.0941521517e-06
7.1451582103e+20,1.0827079086e-06
7.1814280490e+20,1.0713051309e-06
7.2176978876e+20,1.0599457478e-06
7.2539677262e+20,1.0486316270e-06
7.2902375649e+20,1.0373645749e-06
7.3265074035e+20,1.0261463381e-06
7.3627772421e+20,1.0149786040e-06
7.3990470808e+20,1.0038630016e-06
7.4353169194e+20,9.9280110246e-07
7.4715867580e+20,9.8179442169e-07
7.5078565967e+20,9.7084441871e-07
7.5441264353e+20,9.5995249823e-07
7.5803962739e+20,9.4912001112e-07
7.6166661126e+20,9.3834825529e-07
7.6529359512e+20,9.2763847663e-07
7.6892057898e+20,9.1699186991e-07
7.7254756284e+20,9.0640957965e-07
7.7617454671e+20,8.9589270105e-07
7.7980153057e+20,8.8544228090e-07
7.8342851443e+20,8.7505931843e-07
7.8705549830e+20,8.6474476627e-07
7.9068248216e+20,8.5449953129e-07
7.9430946602e+20,8.4432447551e-07
7.9793644989e+20,8.3422041700e-07
8.0156343375e+20,8.2418813073e-07
8.0519041761e+20,8.1422834947e-07
8.0881740148e+20,8.0434176464e-07
8.1244438534e+20,7.9452902721e-07
8.1607136920e+20,7.8479074853e-07
8.1969835307e+20,7.7512750118e-07
8.2332533693e+20,7.6553981984e-07
8.2695232079e+20,7.5602820210e-07
8.3057930465e+20,7.4659310934e-07
8.3420628852e+20,7.3723496750e-07
8.3783327238e+20,7.2795416793e-07
8.4146025624e+20,7.1875106819e-07
8.4508724011e+20,7.0962599286e-07
8.4871422397e+20,7.0057923432e-07
8.5234120783e+20,6.9161105353e-07
8.5596819170e+20,6.8272168085e-07
8.5959517556e+20,6.7391131672e-07
8.6322215942e+20,6.6518013252e-07
8.6684914329e+20,6.5652827125e-07
8.7047612715e+20,6.4795584828e-07
8.7410311101e+20,6.3946295209e-07
8.7773009488e+20,6.3104964499e-07
8.8135707874e+20,6.2271596384e-07
8.8498406260e+20,6.1446192071e-07
8.8861104646e+20,6.0628750363e-07
8.9223803033e+20,5.9819267721e-07
8.9586501419e+20,5.9017738336e-07
8.9949199805e+20,5.8224154194e-07
9.0311898192e+20,5.7438505137e-07
9.0674596578e+20,5.6660778932e-07
9.1037294964e+20,5.5890961334e-07
9.1399993351e+20,5.5129036143e-07
9.1762691737e+20,5.4374985272e-07
9.2125390123e+20,5.3628788800e-07
9.2488088510e+20,5.2890425037e-07
9.2850786896e+20,5.2159870578e-07
9.3213485282e+20,5.1437100364e-07
9.3576183668e+20,5.0722087731e-07
9.3938882055e+20,5.0014804473e-07
9.4301580441e+20,4.9315220891e-07
9.4664278827e+20,4.8623305849e-07
9.5026977214e+20,4.7939026821e-07
9.5389675600e+20,4.7262349949e-07
9.5752373986e+20,4.6593240088e-07
9.6115072373e+20,4.5931660856e-07
9.6477770759e+20,4.5277574684e-07
9.6840469145e+20,4.4630942859e-07
9.7203167532e+20,4.3991725577e-07
9.7565865918e+20,4.3359881980e-07
9.7928564304e+20,4.2735370207e-07
9.8291262691e+20,4.2118147435e-07
9.8653961077e+20,4.1508169919e-07
9.9016659463e+20,4.0905393039e-07
9.9379357849e+20,4.0309771333e-07
9.9742056236e+20,3.9721258546e-07
1.0010475462e+21,3.9139807661e-07
1.0046745301e+21,3.8565370941e-07
1.0083015139e+21,3.7997899964e-07
1.0119284978e+21,3.7437345662e-07
1.0155554817e+21,3.6883658353e-07
1.0191824655e+21,3.6336787779e-07
1.0228094494e+21,3.5796683136e-07
1.0264364333e+21,3.5263293112e-07
1.0300634171e+21,3.4736565913e-07
1.0336904010e+21,3.4216449299e-07
1.0373173849e+21,3.3702890613e-07
1.0409443687e+21,3.3195836811e-07
1.0445713526e+21,3.2695234490e-07
1.0481983364e+21,3.2201029917e-07
1.0518253203e+21,3.1713169058e-07
1.0554523042e+21,3.1231597602e-07
1.0590792880e+21,3.0756260990e-07
1.0627062719e+21,3.0287104438e-07
1.0663332558e+21,2.9824072962e-07
1.0699602396e+21,2.9367111403e-07
1.0735872235e+21,2.8916164452e-07
1.0772142073e+21,2.8471176668e-07
1.0808411912e+21,2.8032092503e-07
1.0844681751e+21,2.7598856326e-07
1.0880951589e+21,2.7171412437e-07
1.0917221428e+21,2.6749705092e-07
1.0953491267e+21,2.6333678525e-07
1.0989761105e+21,2.5923276958e-07
1.1026030944e+21,2.5518444630e-07
1.1062300783e+21,2.5119125806e-07
1.1098570621e+21,2.4725264801e-07
1.1134840460e+21,2.4336805990e-07
1.1171110298e+21,2.3953693830e-07
1.1207380137e+21,2.3575872875e-07
1.1243649976e+21,2.3203287786e-07
1.1279919814e+21,2.2835883351e-07
1.1316189653e+21,2.2473604498e-07
1.1352459492e+21,2.2116396305e-07
1.1388729330e+21,2.1764204017e-07
1.1424999169e+21,2.1416973060e-07
1.1461269007e+21,2.1074649048e-07
1.1497538846e+21,2.0737177797e-07
1.1533808685e+21,2.0404505338e-07
1.1570078523e+21,2.0076577927e-07
1.1606348362e+21,1.9753342055e-07
1.1642618201e+21,1.9434744456e-07
1.1678888039e+21,1.9120732122e-07
1.1715157878e+21,1.8811252305e-07
1.1751427717e+21,1.8506252534e-07
1.1787697555e+21,1.8205680616e-07
1.1823967394e+21,1.7909484650e-07
1.1860237232e+21,1.7617613028e-07
1.1896507071e+21,1.7330014453e-07
1.1932776910e+21,1.7046637932e-07
1.1969046748e+21,1.6767432798e-07
1.2005316587e+21,1.6492348702e-07
1.2041586426e+21,1.6221335629e-07
1.2077856264e+21,1.5954343902e-07
1.2114126103e+21,1.5691324183e-07
1.2150395941e+21,1.5432227483e-07
1.2186665780e+21,1.5177005164e-07
1.2222935619e+21,1.4925608945e-07
1.2259205457e+21,1.4677990907e-07
1.2295475296e+21,1.4434103495e-07
1.2331745135e+21,1.4193899524e-07
1.2368014973e+21,1.3957332180e-07
1.2404284812e+21,1.3724355025e-07
1.2440554651e+21,1.3494922002e-07
1.2476824489e+21,1.3268987433e-07
1.2513094328e+21,1.3046506025e-07
1.2549364166e+21,1.2827432873e-07
1.2585634005e+21,1.2611723460e-07
1.2621903844e+21,1.2399333660e-07
1.2658173682e+21,1.2190219739e-07
1.2694443521e+21,1.1984338359e-07
1.2730713360e+21,1.1781646576e-07
1.2766983198e+21,1.1582101843e-07
1.2803253037e+21,1.1385662012e-07
1.2839522875e+21,1.1192285334e-07
1.2875792714e+21,1.1001930457e-07
1.2912062553e+21,1.0814556432e-07
1.2948332391e+21,1.0630122709e-07
1.2984602230e+21,1.0448589139e-07
1.3020872069e+21,1.0269915974e-07
1.3057141907e+21,1.0094063865e-07
1.3093411746e+21,9.9209938652e-08
1.3129681584e+21,9.7506674281e-08
1.3165951423e+21,9.5830464061e-08
1.3202221262e+21,9.4180930508e-08
1.3238491100e+21,9.2557700125e-08
1.3274760939e+21,9.0960403390e-08
1.3311030778e+21,8.9388674748e-08
1.3347300616e+21,8.7842152599e-08
1.3383570455e+21,8.6320479292e-08
1.3419840294e+21,8.4823301106e-08
1.3456110132e+21,8.3350268240e-08
1.3492379971e+21,8.1901034798e-08
1.3528649809e+21,8.0475258776e-08
1.3564919648e+21,7.9072602044e-08
1.3601189487e+21,7.7692730328e-08
1.3637459325e+21,7.6335313195e-08
1.3673729164e+21,7.5000024034e-08
1.3709999003e+21,7.3686540037e-08
1.3746268841e+21,7.2394542179e-08
1.3782538680e+21,7.1123715197e-08
1.3818808518e+21,6.9873747571e-08
1.3855078357e+21,6.8644331500e-08
1.3891348196e+21,6.7435162883e-08
1.3927618034e+21,6.6245941291e-08
1.3963887873e+21,6.5076369951e-08
1.4000157712e+21,6.3926155717e-08
1.4036427550e+21,6.2795009046e-08
1.4072697389e+21,6.1682643978e-08
1.4108967228e+21,6.0588778105e-08
1.4145237066e+21,5.9513132549e-08
1.4181506905e+21,5.8455431938e-08
1.4217776743e+21,5.7415404373e-08
1.4254046582e+21,5.6392781411e-08
1.4290316421e+21,5.5387298030e-08
1.4326586259e+21,5.4398692607e-08
1.4362856098e+21,5.3426706889e-08
1.4399125937e+21,5.2471085963e-08
1.4435395775e+21,5.1531578235e-08
1.4471665614e+21,5.0607935394e-08
1.4507935452e+21,4.9699912389e-08
1.4544205291e+21,4.8807267400e-08
1.4580475130e+21,4.7929761807e-08
1.4616744968e+21,4.7067160163e-08
1.4653014807e+21,4.6219230167e-08
1.4689284646e+21,4.5385742631e-08
1.4725554484e+21,4.4566471455e-08
1.4761824323e+21,4.3761193596e-08
1.4798094162e+21,4.2969689037e-08
1.4834364000e+21,4.2191740762e-08
1.4870633839e+21,4.1427134724e-08
1.4906903677e+21,4.0675659815e-08
1.4943173516e+21,3.9937107839e-08
1.4979443355e+21,3.9211273481e-08
1.5015713193e+21,3.8497954277e-08
1.5051983032e+21,3.7796950589e-08
1.5088252871e+21,3.7108065568e-08
1.5124522709e+21,3.6431105134e-08
1.5160792548e+21,3.5765877937e-08
1.5197062386e+21,3.5112195337e-08
1.5233332225e+21,3.4469871367e-08
1.5269602064e+21,3.3838722711e-08
1.5305871902e+21,3.3218568669e-08
1.5342141741e+21,3.2609231130e-08
1.5378411580e+21,3.2010534547e-08
1.5414681418e+21,3.1422305903e-08
1.5450951257e+21,3.0844374683e-08
1.5487221096e+21,3.0276572850e-08
1.5523490934e+21,2.9718734811e-08
