nu,B
0.0000000000e+00,-nan
3.6269838631e+18,4.7509340224e-10
7.2539677262e+18,1.8821294195e-09
1.0880951589e+19,4.1940070065e-09
1.4507935452e+19,7.3839786835e-09
1.8134919316e+19,1.1425650373e-08
2.1761903179e+19,1.6292981171e-08
2.5388887042e+19,2.1960283057e-08
2.9015870905e+19,2.8402220531e-08
3.2642854768e+19,3.5593810199e-08
3.6269838631e+19,4.3510420277e-08
3.9896822494e+19,5.2127770048e-08
4.3523806357e+19,6.1421929243e-08
4.7150790221e+19,7.1369317364e-08
5.0777774084e+19,8.1946702940e-08
5.4404757947e+19,9.3131202727e-08
5.8031741810e+19,1.0490028084e-07
6.1658725673e+19,1.1723174781e-07
6.5285709536e+19,1.3010375962e-07
6.8912693399e+19,1.4349481664e-07
7.2539677262e+19,1.5738376249e-07
7.6166661126e+19,1.7174978291e-07
7.9793644989e+19,1.8657240451e-07
8.3420628852e+19,2.0183149345e-07
8.7047612715e+19,2.1750725416e-07
9.0674596578e+19,2.3358022784e-07
9.4301580441e+19,2.5003129107e-07
9.7928564304e+19,2.6684165427e-07
1.0155554817e+20,2.8399286011e-07
1.0518253203e+20,3.0146678187e-07
1.0880951589e+20,3.1924562181e-07
1.1243649976e+20,3.3731190935e-07
1.1606348362e+20,3.5564849935e-07
1.1969046748e+20,3.7423857023e-07
1.2331745135e+20,3.9306562208e-07
1.2694443521e+20,4.1211347474e-07
1.3057141907e+20,4.3136626576e-07
1.3419840294e+20,4.5080844843e-07
1.3782538680e+20,4.7042478961e-07
1.4145237066e+20,4.9020036766e-07
1.4507935452e+20,5.1012057025e-07
1.4870633839e+20,5.3017109210e-07
1.5233332225e+20,5.5033793275e-07
1.5596030611e+20,5.7060739426e-07
1.5958728998e+20,5.9096607881e-07
1.6321427384e+20,6.1140088636e-07
1.6684125770e+20,6.3189901219e-07
1.7046824157e+20,6.5244794446e-07
1.7409522543e+20,6.7303546168e-07
1.7772220929e+20,6.9364963018e-07
1.8134919316e+20,7.1427880155e-07
1.8497617702e+20,7.3491160999e-07
1.8860316088e+20,7.5553696973e-07
1.9223014475e+20,7.7614407230e-07
1.9585712861e+20,7.9672238387e-07
1.9948411247e+20,8.1726164249e-07
2.0311109633e+20,8.3775185535e-07
2.0673808020e+20,8.5818329597e-07
2.1036506406e+20,8.7854650141e-07
2.1399204792e+20,8.9883226944e-07
2.1761903179e+20,9.1903165564e-07
2.2124601565e+20,9.3913597057e-07
2.2487299951e+20,9.5913677682e-07
2.2849998338e+20,9.7902588611e-07
2.3212696724e+20,9.9879535636e-07
2.3575395110e+20,1.0184374887e-06
2.3938093497e+20,1.0379448245e-06
2.4300791883e+20,1.0573101424e-06
2.4663490269e+20,1.0765264552e-06
2.5026188656e+20,1.0955870072e-06
2.5388887042e+20,1.1144852706e-06
2.5751585428e+20,1.1332149428e-06
2.6114283814e+20,1.1517699436e-06
2.6476982201e+20,1.1701444114e-06
2.6839680587e+20,1.1883327008e-06
2.7202378973e+20,1.2063293795e-06
2.7565077360e+20,1.2241292246e-06
2.7927775746e+20,1.2417272204e-06
2.8290474132e+20,1.2591185544e-06
2.8653172519e+20,1.2762986149e-06
2.9015870905e+20,1.2932629878e-06
2.9378569291e+20,1.3100074530e-06
2.9741267678e+20,1.3265279822e-06
3.0103966064e+20,1.3428207347e-06
3.0466664450e+20,1.3588820555e-06
3.0829362837e+20,1.3747084712e-06
3.1192061223e+20,1.3902966876e-06
3.1554759609e+20,1.4056435863e-06
3.1917457995e+20,1.4207462218e-06
3.2280156382e+20,1.4356018182e-06
3.2642854768e+20,1.4502077665e-06
3.3005553154e+20,1.4645616213e-06
3.3368251541e+20,1.4786610978e-06
3.3730949927e+20,1.4925040690e-06
3.4093648313e+20,1.5060885624e-06
3.4456346700e+20,1.5194127572e-06
3.4819045086e+20,1.5324749811e-06
3.5181743472e+20,1.5452737078e-06
3.5544441859e+20,1.5578075534e-06
3.5907140245e+20,1.5700752742e-06
3.6269838631e+20,1.5820757630e-06
3.6632537018e+20,1.5938080468e-06
3.6995235404e+20,1.6052712837e-06
3.7357933790e+20,1.6164647602e-06
3.7720632176e+20,1.6273878878e-06
3.8083330563e+20,1.6380402011e-06
3.8446028949e+20,1.6484213540e-06
3.8808727335e+20,1.6585311178e-06
3.9171425722e+20,1.6683693777e-06
3.9534124108e+20,1.6779361307e-06
3.9896822494e+20,1.6872314825e-06
4.0259520881e+20,1.6962556447e-06
4.0622219267e+20,1.7050089327e-06
4.0984917653e+20,1.7134917623e-06
4.1347616040e+20,1.7217046477e-06
4.1710314426e+20,1.7296481987e-06
4.2073012812e+20,1.7373231180e-06
4.2435711199e+20,1.7447301988e-06
4.2798409585e+20,1.7518703223e-06
4.3161107971e+20,1.7587444552e-06
4.3523806357e+20,1.7653536470e-06
4.3886504744e+20,1.7716990281e-06
4.4249203130e+20,1.7777818068e-06
4.4611901516e+20,1.7836032673e-06
4.4974599903e+20,1.7891647673e-06
4.5337298289e+20,1.7944677356e-06
4.5699996675e+20,1.7995136698e-06
4.6062695062e+20,1.8043041340e-06
4.6425393448e+20,1.8088407570e-06
4.6788091834e+20,1.8131252293e-06
4.7150790221e+20,1.8171593017e-06
4.7513488607e+20,1.8209447827e-06
4.7876186993e+20,1.8244835366e-06
4.8238885379e+20,1.8277774812e-06
4.8601583766e+20,1.8308285860e-06
4.8964282152e+20,1.8336388702e-06
4.9326980538e+20,1.8362104003e-06
4.9689678925e+20,1.8385452887e-06
5.0052377311e+20,1.8406456913e-06
5.0415075697e+20,1.8425138059e-06
5.0777774084e+20,1.8441518703e-06
5.1140472470e+20,1.8455621603e-06
5.1503170856e+20,1.8467469879e-06
5.1865869243e+20,1.8477086999e-06
5.2228567629e+20,1.8484496756e-06
5.2591266015e+20,1.8489723256e-06
5.2953964402e+20,1.8492790897e-06
5.3316662788e+20,1.8493724356e-06
5.3679361174e+20,1.8492548569e-06
5.4042059560e+20,1.8489288720e-06
5.4404757947e+20,1.8483970220e-06
5.4767456333e+20,1.8476618697e-06
5.5130154719e+20,1.8467259975e-06
5.5492853106e+20,1.8455920067e-06
5.5855551492e+20,1.8442625151e-06
5.6218249878e+20,1.8427401566e-06
5.6580948265e+20,1.8410275791e-06
5.6943646651e+20,1.8391274435e-06
5.7306345037e+20,1.8370424220e-06
5.7669043424e+20,1.8347751975e-06
5.8031741810e+20,1.8323284615e-06
5.8394440196e+20,1.8297049135e-06
5.8757138583e+20,1.8269072595e-06
5.9119836969e+20,1.8239382110e-06
5.9482535355e+20,1.8208004835e-06
5.9845233741e+20,1.8174967958e-06
6.0207932128e+20,1.8140298687e-06
6.0570630514e+20,1.8104024238e-06
6.0933328900e+20,1.8066171828e-06
6.1296027287e+20,1.8026768662e-06
6.1658725673e+20,1.7985841924e-06
6.2021424059e+20,1.7943418768e-06
6.2384122446e+20,1.7899526306e-06
6.2746820832e+20,1.7854191604e-06
6.3109519218e+20,1.7807441667e-06
6.3472217605e+20,1.7759303437e-06
6.3834915991e+20,1.7709803777e-06
6.4197614377e+20,1.7658969469e-06
6.4560312764e+20,1.7606827205e-06
6.4923011150e+20,1.7553403577e-06
6.5285709536e+20,1.7498725072e-06
6.5648407922e+20,1.7442818063e-06
6.6011106309e+20,1.7385708804e-06
6.6373804695e+20,1.7327423420e-06
6.6736503081e+20,1.7267987907e-06
6.7099201468e+20,1.7207428116e-06
6.7461899854e+20,1.7145769757e-06
6.7824598240e+20,1.7083038385e-06
6.8187296627e+20,1.7019259402e-06
6.8549995013e+20,1.6954458044e-06
6.8912693399e+20,1.6888659380e-06
6.9275391786e+20,1.6821888308e-06
6.9638090172e+20,1.6754169546e-06
7.0000788558e+20,1.6685527631e-06
7.0363486945e+20,1.6615986914e-06
7.0726185331e+20,1.6545571554e-06
7.1088883717e+20,1.6474305515e-06
7.1451582103e+20,1.6402212563e-06
7.1814280490e+20,1.6329316262e-06
7.2176978876e+20,1.6255639967e-06
7.2539677262e+20,1.6181206826e-06
7.2902375649e+20,1.6106039774e-06
7.3265074035e+20,1.6030161530e-06
7.3627772421e+20,1.5953594594e-06
7.3990470808e+20,1.5876361246e-06
7.4353169194e+20,1.5798483540e-06
7.4715867580e+20,1.5719983306e-06
7.5078565967e+20,1.5640882144e-06
7.5441264353e+20,1.5561201424e-06
7.5803962739e+20,1.5480962284e-06
7.6166661126e+20,1.5400185625e-06
7.6529359512e+20,1.5318892115e-06
7.6892057898e+20,1.5237102183e-06
7.7254756284e+20,1.5154836018e-06
7.7617454671e+20,1.5072113570e-06
7.7980153057e+20,1.4988954547e-06
