nu,B
0.0000000000e+00,-nan
3.6269838631e+18,2.9054844563e-10
7.2539677262e+18,1.1534774926e-09
1.0880951589e+19,2.5758114960e-09
1.4507935452e+19,4.5447065110e-09
1.8134919316e+19,7.0474502562e-09
2.1761903179e+19,1.0071462061e-08
2.5388887042e+19,1.3604292801e-08
2.9015870905e+19,1.7633624813e-08
3.2642854768e+19,2.2147271803e-08
3.6269838631e+19,2.7133178732e-08
3.9896822494e+19,3.2579421692e-08
4.3523806357e+19,3.8474207767e-08
4.7150790221e+19,4.4805874876e-08
5.0777774084e+19,5.1562891604e-08
5.4404757947e+19,5.8733857021e-08
5.8031741810e+19,6.6307500480e-08
6.1658725673e+19,7.4272681406e-08
6.5285709536e+19,8.2618389070e-08
6.8912693399e+19,9.1333742346e-08
7.2539677262e+19,1.0040798946e-07
7.6166661126e+19,1.0983050771e-07
7.9793644989e+19,1.1959080319e-07
8.3420628852e+19,1.2967851051e-07
8.7047612715e+19,1.4008339243e-07
9.0674596578e+19,1.5079533961e-07
9.4301580441e+19,1.6180437022e-07
9.7928564304e+19,1.7310062958e-07
1.0155554817e+20,1.8467438984e-07
1.0518253203e+20,1.9651604958e-07
1.0880951589e+20,2.0861613338e-07
1.1243649976e+20,2.2096529147e-07
1.1606348362e+20,2.3355429930e-07
1.1969046748e+20,2.4637405707e-07
1.2331745135e+20,2.5941558934e-07
1.2694443521e+20,2.7267004453e-07
1.3057141907e+20,2.8612869447e-07
1.3419840294e+20,2.9978293391e-07
1.3782538680e+20,3.1362428006e-07
1.4145237066e+20,3.2764437201e-07
1.4507935452e+20,3.4183497029e-07
1.4870633839e+20,3.5618795630e-07
1.5233332225e+20,3.7069533177e-07
1.5596030611e+20,3.8534921823e-07
1.5958728998e+20,4.0014185641e-07
1.6321427384e+20,4.1506560568e-07
1.6684125770e+20,4.3011294350e-07
1.7046824157e+20,4.4527646475e-07
1.7409522543e+20,4.6054888119e-07
1.7772220929e+20,4.7592302080e-07
1.8134919316e+20,4.9139182717e-07
1.8497617702e+20,5.0694835884e-07
1.8860316088e+20,5.2258578869e-07
1.9223014475e+20,5.3829740324e-07
1.9585712861e+20,5.5407660202e-07
1.9948411247e+20,5.6991689684e-07
2.0311109633e+20,5.8581191116e-07
2.0673808020e+20,6.0175537935e-07
2.1036506406e+20,6.1774114602e-07
2.1399204792e+20,6.3376316528e-07
2.1761903179e+20,6.4981550002e-07
2.2124601565e+20,6.6589232119e-07
2.2487299951e+20,6.8198790707e-07
2.2849998338e+20,6.9809664249e-07
2.3212696724e+20,7.1421301811e-07
2.3575395110e+20,7.3033162964e-07
2.3938093497e+20,7.4644717707e-07
2.4300791883e+20,7.6255446389e-07
2.4663490269e+20,7.7864839635e-07
2.5026188656e+20,7.9472398259e-07
2.5388887042e+20,8.1077633191e-07
2.5751585428e+20,8.2680065395e-07
2.6114283814e+20,8.4279225786e-07
2.6476982201e+20,8.5874655152e-07
2.6839680587e+20,8.7465904067e-07
2.7202378973e+20,8.9052532814e-07
2.7565077360e+20,9.0634111299e-07
2.7927775746e+20,9.2210218965e-07
2.8290474132e+20,9.3780444714e-07
2.8653172519e+20,9.5344386815e-07
2.9015870905e+20,9.6901652826e-07
2.9378569291e+20,9.8451859503e-07
2.9741267678e+20,9.9994632715e-07
3.0103966064e+20,1.0152960736e-06
3.0466664450e+20,1.0305642729e-06
3.0829362837e+20,1.0457474518e-06
3.1192061223e+20,1.0608422250e-06
3.1554759609e+20,1.0758452938e-06
3.1917457995e+20,1.0907534457e-06
3.2280156382e+20,1.1055635530e-06
3.2642854768e+20,1.1202725720e-06
3.3005553154e+20,1.1348775426e-06
3.3368251541e+20,1.1493755869e-06
3.3730949927e+20,1.1637639084e-06
3.4093648313e+20,1.1780397914e-06
3.4456346700e+20,1.1922005997e-06
3.4819045086e+20,1.2062437760e-06
3.5181743472e+20,1.2201668408e-06
3.5544441859e+20,1.2339673917e-06
3.5907140245e+20,1.2476431024e-06
3.6269838631e+20,1.2611917217e-06
3.6632537018e+20,1.2746110728e-06
3.6995235404e+20,1.2878990523e-06
3.7357933790e+20,1.3010536293e-06
3.7720632176e+20,1.3140728445e-06
3.8083330563e+20,1.3269548093e-06
3.8446028949e+20,1.3396977049e-06
3.8808727335e+20,1.3522997815e-06
3.9171425722e+20,1.3647593572e-06
3.9534124108e+20,1.3770748173e-06
3.9896822494e+20,1.3892446133e-06
4.0259520881e+20,1.4012672620e-06
4.0622219267e+20,1.4131413447e-06
4.0984917653e+20,1.4248655063e-06
4.1347616040e+20,1.4364384542e-06
4.1710314426e+20,1.4478589578e-06
4.2073012812e+20,1.4591258471e-06
4.2435711199e+20,1.4702380124e-06
4.2798409585e+20,1.4811944030e-06
4.3161107971e+20,1.4919940265e-06
4.3523806357e+20,1.5026359479e-06
4.3886504744e+20,1.5131192886e-06
4.4249203130e+20,1.5234432258e-06
4.4611901516e+20,1.5336069914e-06
4.4974599903e+20,1.5436098712e-06
4.5337298289e+20,1.5534512043e-06
4.5699996675e+20,1.5631303816e-06
4.6062695062e+20,1.5726468458e-06
4.6425393448e+20,1.5820000897e-06
4.6788091834e+20,1.5911896561e-06
4.7150790221e+20,1.6002151366e-06
4.7513488607e+20,1.6090761705e-06
4.7876186993e+20,1.6177724448e-06
4.8238885379e+20,1.6263036923e-06
4.8601583766e+20,1.6346696917e-06
4.8964282152e+20,1.6428702663e-06
4.9326980538e+20,1.6509052833e-06
4.9689678925e+20,1.6587746530e-06
5.0052377311e+20,1.6664783280e-06
5.0415075697e+20,1.6740163024e-06
5.0777774084e+20,1.6813886110e-06
5.1140472470e+20,1.6885953286e-06
5.1503170856e+20,1.6956365691e-06
5.1865869243e+20,1.7025124847e-06
5.2228567629e+20,1.7092232653e-06
5.2591266015e+20,1.7157691376e-06
5.2953964402e+20,1.7221503645e-06
5.3316662788e+20,1.7283672439e-06
5.3679361174e+20,1.7344201088e-06
5.4042059560e+20,1.7403093256e-06
5.4404757947e+20,1.7460352939e-06
5.4767456333e+20,1.7515984460e-06
5.5130154719e+20,1.7569992455e-06
5.5492853106e+20,1.7622381871e-06
5.5855551492e+20,1.7673157957e-06
5.6218249878e+20,1.7722326257e-06
5.6580948265e+20,1.7769892606e-06
5.6943646651e+20,1.7815863118e-06
5.7306345037e+20,1.7860244181e-06
5.7669043424e+20,1.7903042454e-06
5.8031741810e+20,1.7944264854e-06
5.8394440196e+20,1.7983918555e-06
5.8757138583e+20,1.8022010977e-06
5.9119836969e+20,1.8058549785e-06
5.9482535355e+20,1.8093542874e-06
5.9845233741e+20,1.8126998373e-06
6.0207932128e+20,1.8158924629e-06
6.0570630514e+20,1.8189330208e-06
6.0933328900e+20,1.8218223884e-06
6.1296027287e+20,1.8245614638e-06
6.1658725673e+20,1.8271511647e-06
6.2021424059e+20,1.8295924278e-06
6.2384122446e+20,1.8318862088e-06
6.2746820832e+20,1.8340334811e-06
6.3109519218e+20,1.8360352358e-06
6.3472217605e+20,1.8378924808e-06
6.3834915991e+20,1.8396062403e-06
6.4197614377e+20,1.8411775541e-06
6.4560312764e+20,1.8426074777e-06
6.4923011150e+20,1.8438970807e-06
6.5285709536e+20,1.8450474473e-06
6.5648407922e+20,1.8460596752e-06
6.6011106309e+20,1.8469348751e-06
6.6373804695e+20,1.8476741703e-06
6.6736503081e+20,1.8482786965e-06
6.7099201468e+20,1.8487496005e-06
6.7461899854e+20,1.8490880407e-06
6.7824598240e+20,1.8492951858e-06
6.8187296627e+20,1.8493722147e-06
6.8549995013e+20,1.8493203160e-06
6.8912693399e+20,1.8491406876e-06
6.9275391786e+20,1.8488345360e-06
6.9638090172e+20,1.8484030762e-06
7.0000788558e+20,1.8478475308e-06
7.0363486945e+20,1.8471691301e-06
7.0726185331e+20,1.8463691113e-06
7.1088883717e+20,1.8454487180e-06
7.1451582103e+20,1.8444092003e-06
7.1814280490e+20,1.8432518138e-06
7.2176978876e+20,1.8419778196e-06
7.2539677262e+20,1.8405884835e-06
7.2902375649e+20,1.8390850763e-06
7.3265074035e+20,1.8374688727e-06
7.3627772421e+20,1.8357411512e-06
7.3990470808e+20,1.8339031939e-06
7.4353169194e+20,1.8319562858e-06
7.4715867580e+20,1.8299017148e-06
7.5078565967e+20,1.8277407712e-06
7.5441264353e+20,1.8254747470e-06
7.5803962739e+20,1.8231049364e-06
7.6166661126e+20,1.8206326347e-06
7.6529359512e+20,1.8180591381e-06
7.6892057898e+20,1.8153857438e-06
7.7254756284e+20,1.8126137493e-06
7.7617454671e+20,1.8097444522e-06
7.7980153057e+20,1.8067791500e-06
7.8342851443e+20,1.8037191396e-06
7.8705549830e+20,1.8005657172e-06
7.9068248216e+20,1.7973201780e-06
7.9430946602e+20,1.7939838158e-06
7.9793644989e+20,1.7905579228e-06
8.0156343375e+20,1.7870437894e-06
8.0519041761e+20,1.7834427039e-06
8.0881740148e+20,1.7797559520e-06
8.1244438534e+20,1.7759848172e-06
8.1607136920e+20,1.7721305799e-06
8.1969835307e+20,1.7681945173e-06
8.2332533693e+20,1.7641779035e-06
8.2695232079e+20,1.7600820089e-06
8.3057930465e+20,1.7559081004e-06
8.3420628852e+20,1.7516574405e-06
8.3783327238e+20,1.7473312879e-06
8.4146025624e+20,1.7429308966e-06
8.4508724011e+20,1.7384575164e-06
8.4871422397e+20,1.7339123918e-06
8.5234120783e+20,1.7292967629e-06
8.5596819170e+20,1.7246118642e-06
8.5959517556e+20,1.7198589250e-06
8.6322215942e+20,1.7150391693e-06
8.6684914329e+20,1.7101538151e-06
8.7047612715e+20,1.7052040749e-06
8.7410311101e+20,1.7001911549e-06
8.7773009488e+20,1.6951162553e-06
8.8135707874e+20,1.6899805700e-06
8.8498406260e+20,1.6847852864e-06
8.8861104646e+20,1.6795315855e-06
8.9223803033e+20,1.6742206413e-06
8.9586501419e+20,1.6688536212e-06
8.9949199805e+20,1.6634316854e-06
9.0311898192e+20,1.6579559872e-06
9.0674596578e+20,1.6524276725e-06
