nu,B
0.0000000000e+00,-nan
3.6269838631e+18,6.2028505142e-10
7.2539677262e+18,2.4539044789e-09
1.0880951589e+19,5.4604580509e-09
1.4507935452e+19,9.6001498194e-09
1.8134919316e+19,1.4833787756e-08
2.1761903179e+19,2.1122783245e-08
2.5388887042e+19,2.8429150422e-08
2.9015870905e+19,3.6715505386e-08
3.2642854768e+19,4.5945065248e-08
3.6269838631e+19,5.6081647046e-08
3.9896822494e+19,6.7089666521e-08
4.3523806357e+19,7.8934136742e-08
4.7150790221e+19,9.1580666593e-08
5.0777774084e+19,1.0499545913e-07
5.4404757947e+19,1.1914530977e-07
5.8031741810e+19,1.3399760438e-07
6.1658725673e+19,1.4952031723e-07
6.5285709536e+19,1.6568200873e-07
6.8912693399e+19,1.8245182316e-07
7.2539677262e+19,1.9979948617e-07
7.6166661126e+19,2.1769530218e-07
7.9793644989e+19,2.3611015168e-07
8.3420628852e+19,2.5501548833e-07
8.7047612715e+19,2.7438333602e-07
9.0674596578e+19,2.9418628575e-07
9.4301580441e+19,3.1439749240e-07
9.7928564304e+19,3.3499067136e-07
1.0155554817e+20,3.5594009512e-07
1.0518253203e+20,3.7722058965e-07
1.0880951589e+20,3.9880753071e-07
1.1243649976e+20,4.2067684003e-07
1.1606348362e+20,4.4280498143e-07
1.1969046748e+20,4.6516895677e-07
1.2331745135e+20,4.8774630183e-07
1.2694443521e+20,5.1051508209e-07
1.3057141907e+20,5.3345388837e-07
1.3419840294e+20,5.5654183245e-07
1.3782538680e+20,5.7975854252e-07
1.4145237066e+20,6.0308415858e-07
1.4507935452e+20,6.2649932773e-07
1.4870633839e+20,6.4998519939e-07
1.5233332225e+20,6.7352342045e-07
1.5596030611e+20,6.9709613028e-07
1.5958728998e+20,7.2068595571e-07
1.6321427384e+20,7.4427600597e-07
1.6684125770e+20,7.6784986745e-07
1.7046824157e+20,7.9139159851e-07
1.7409522543e+20,8.1488572412e-07
1.7772220929e+20,8.3831723052e-07
1.8134919316e+20,8.6167155978e-07
1.8497617702e+20,8.8493460428e-07
1.8860316088e+20,9.0809270119e-07
1.9223014475e+20,9.3113262686e-07
1.9585712861e+20,9.5404159115e-07
1.9948411247e+20,9.7680723177e-07
2.0311109633e+20,9.9941760853e-07
2.0673808020e+20,1.0218611975e-06
2.1036506406e+20,1.0441268854e-06
2.1399204792e+20,1.0662039634e-06
2.1761903179e+20,1.0880821215e-06
2.2124601565e+20,1.1097514427e-06
2.2487299951e+20,1.1312023967e-06
2.2849998338e+20,1.1524258343e-06
2.3212696724e+20,1.1734129813e-06
2.3575395110e+20,1.1941554324e-06
2.3938093497e+20,1.2146451452e-06
2.4300791883e+20,1.2348744346e-06
2.4663490269e+20,1.2548359661e-06
2.5026188656e+20,1.2745227501e-06
2.5388887042e+20,1.2939281360e-06
2.5751585428e+20,1.3130458060e-06
2.6114283814e+20,1.3318697690e-06
2.6476982201e+20,1.3503943545e-06
2.6839680587e+20,1.3686142070e-06
2.7202378973e+20,1.3865242795e-06
2.7565077360e+20,1.4041198278e-06
2.7927775746e+20,1.4213964041e-06
2.8290474132e+20,1.4383498517e-06
2.8653172519e+20,1.4549762984e-06
2.9015870905e+20,1.4712721508e-06
2.9378569291e+20,1.4872340887e-06
2.9741267678e+20,1.5028590586e-06
3.0103966064e+20,1.5181442682e-06
3.0466664450e+20,1.5330871807e-06
3.0829362837e+20,1.5476855087e-06
3.1192061223e+20,1.5619372085e-06
3.1554759609e+20,1.5758404746e-06
3.1917457995e+20,1.5893937338e-06
3.2280156382e+20,1.6025956395e-06
3.2642854768e+20,1.6154450661e-06
3.3005553154e+20,1.6279411039e-06
3.3368251541e+20,1.6400830527e-06
3.3730949927e+20,1.6518704171e-06
3.4093648313e+20,1.6633029007e-06
3.4456346700e+20,1.6743804008e-06
3.4819045086e+20,1.6851030031e-06
3.5181743472e+20,1.6954709763e-06
3.5544441859e+20,1.7054847669e-06
3.5907140245e+20,1.7151449942e-06
3.6269838631e+20,1.7244524452e-06
3.6632537018e+20,1.7334080690e-06
3.6995235404e+20,1.7420129725e-06
3.7357933790e+20,1.7502684152e-06
3.7720632176e+20,1.7581758040e-06
3.8083330563e+20,1.7657366888e-06
3.8446028949e+20,1.7729527578e-06
3.8808727335e+20,1.7798258321e-06
3.9171425722e+20,1.7863578620e-06
3.9534124108e+20,1.7925509217e-06
3.9896822494e+20,1.7984072052e-06
4.0259520881e+20,1.8039290218e-06
4.0622219267e+20,1.8091187913e-06
4.0984917653e+20,1.8139790405e-06
4.1347616040e+20,1.8185123981e-06
4.1710314426e+20,1.8227215912e-06
4.2073012812e+20,1.8266094407e-06
4.2435711199e+20,1.8301788577e-06
4.2798409585e+20,1.8334328390e-06
4.3161107971e+20,1.8363744637e-06
4.3523806357e+20,1.8390068890e-06
4.3886504744e+20,1.8413333468e-06
4.4249203130e+20,1.8433571395e-06
4.4611901516e+20,1.8450816369e-06
4.4974599903e+20,1.8465102722e-06
4.5337298289e+20,1.8476465389e-06
4.5699996675e+20,1.8484939870e-06
4.6062695062e+20,1.8490562198e-06
4.6425393448e+20,1.8493368908e-06
4.6788091834e+20,1.8493397001e-06
4.7150790221e+20,1.8490683917e-06
4.7513488607e+20,1.8485267501e-06
4.7876186993e+20,1.8477185972e-06
4.8238885379e+20,1.8466477896e-06
4.8601583766e+20,1.8453182159e-06
4.8964282152e+20,1.8437337932e-06
4.9326980538e+20,1.8418984651e-06
4.9689678925e+20,1.8398161986e-06
5.0052377311e+20,1.8374909816e-06
5.0415075697e+20,1.8349268202e-06
5.0777774084e+20,1.8321277364e-06
5.1140472470e+20,1.8290977659e-06
5.1503170856e+20,1.8258409550e-06
5.1865869243e+20,1.8223613591e-06
5.2228567629e+20,1.8186630401e-06
5.2591266015e+20,1.8147500641e-06
5.2953964402e+20,1.8106264996e-06
5.3316662788e+20,1.8062964152e-06
5.3679361174e+20,1.8017638778e-06
5.4042059560e+20,1.7970329505e-06
5.4404757947e+20,1.7921076909e-06
5.4767456333e+20,1.7869921492e-06
5.5130154719e+20,1.7816903661e-06
5.5492853106e+20,1.7762063720e-06
5.5855551492e+20,1.7705441842e-06
5.6218249878e+20,1.7647078063e-06
5.6580948265e+20,1.7587012260e-06
5.6943646651e+20,1.7525284141e-06
5.7306345037e+20,1.7461933226e-06
5.7669043424e+20,1.7396998836e-06
5.8031741810e+20,1.7330520080e-06
5.8394440196e+20,1.7262535842e-06
5.8757138583e+20,1.7193084765e-06
5.9119836969e+20,1.7122205245e-06
5.9482535355e+20,1.7049935417e-06
5.9845233741e+20,1.6976313142e-06
6.0207932128e+20,1.6901376000e-06
6.0570630514e+20,1.6825161279e-06
6.0933328900e+20,1.6747705962e-06
6.1296027287e+20,1.6669046726e-06
6.1658725673e+20,1.6589219923e-06
6.2021424059e+20,1.6508261581e-06
6.2384122446e+20,1.6426207390e-06
6.2746820832e+20,1.6343092699e-06
6.3109519218e+20,1.6258952502e-06
6.3472217605e+20,1.6173821442e-06
6.3834915991e+20,1.6087733794e-06
6.4197614377e+20,1.6000723466e-06
6.4560312764e+20,1.5912823992e-06
6.4923011150e+20,1.5824068523e-06
6.5285709536e+20,1.5734489828e-06
6.5648407922e+20,1.5644120286e-06
6.6011106309e+20,1.5552991881e-06
6.6373804695e+20,1.5461136201e-06
6.6736503081e+20,1.5368584433e-06
6.7099201468e+20,1.5275367358e-06
6.7461899854e+20,1.5181515353e-06
6.7824598240e+20,1.5087058383e-06
6.8187296627e+20,1.4992025999e-06
6.8549995013e+20,1.4896447341e-06
6.8912693399e+20,1.4800351130e-06
6.9275391786e+20,1.4703765671e-06
6.9638090172e+20,1.4606718848e-06
7.0000788558e+20,1.4509238127e-06
7.0363486945e+20,1.4411350550e-06
7.0726185331e+20,1.4313082740e-06
7.1088883717e+20,1.4214460896e-06
7.1451582103e+20,1.4115510795e-06
7.1814280490e+20,1.4016257791e-06
7.2176978876e+20,1.3916726817e-06
7.2539677262e+20,1.3816942385e-06
7.2902375649e+20,1.3716928583e-06
7.3265074035e+20,1.3616709081e-06
7.3627772421e+20,1.3516307129e-06
7.3990470808e+20,1.3415745560e-06
7.4353169194e+20,1.3315046788e-06
7.4715867580e+20,1.3214232814e-06
7.5078565967e+20,1.3113325223e-06
7.5441264353e+20,1.3012345189e-06
7.5803962739e+20,1.2911313477e-06
7.6166661126e+20,1.2810250444e-06
7.6529359512e+20,1.2709176039e-06
7.6892057898e+20,1.2608109809e-06
7.7254756284e+20,1.2507070902e-06
7.7617454671e+20,1.2406078064e-06
7.7980153057e+20,1.2305149648e-06
7.8342851443e+20,1.2204303614e-06
7.8705549830e+20,1.2103557529e-06
7.9068248216e+20,1.2002928577e-06
7.9430946602e+20,1.1902433555e-06
7.9793644989e+20,1.1802088881e-06
8.0156343375e+20,1.1701910594e-06
8.0519041761e+20,1.1601914360e-06
8.0881740148e+20,1.1502115473e-06
8.1244438534e+20,1.1402528861e-06
8.1607136920e+20,1.1303169087e-06
8.1969835307e+20,1.1204050355e-06
8.2332533693e+20,1.1105186510e-06
8.2695232079e+20,1.1006591047e-06
8.3057930465e+20,1.0908277111e-06
8.3420628852e+20,1.0810257500e-06
8.3783327238e+20,1.0712544673e-06
8.4146025624e+20,1.0615150751e-06
8.4508724011e+20,1.0518087520e-06
8.4871422397e+20,1.0421366439e-06
8.5234120783e+20,1.0324998638e-06
8.5596819170e+20,1.0228994928e-06
8.5959517556e+20,1.0133365802e-06
8.6322215942e+20,1.0038121439e-06
8.6684914329e+20,9.9432717103e-07
8.7047612715e+20,9.8488261802e-07
8.7410311101e+20,9.7547941129e-07
8.7773009488e+20,9.6611844756e-07
8.8135707874e+20,9.5680059429e-07
8.8498406260e+20,9.4752669007e-07
8.8861104646e+20,9.3829754506e-07
8.9223803033e+20,9.2911394142e-07
8.9586501419e+20,9.1997663368e-07
8.9949199805e+20,9.1088634921e-07
9.0311898192e+20,9.0184378862e-07
9.0674596578e+20,8.9284962615e-07
9.1037294964e+20,8.8390451012e-07
9.1399993351e+20,8.7500906334e-07
9.1762691737e+20,8.6616388351e-07
9.2125390123e+20,8.5736954364e-07
9.2488088510e+20,8.4862659248e-07
9.2850786896e+20,8.3993555488e-07
9.3213485282e+20,8.3129693227e-07
9.3576183668e+20,8.2271120299e-07
9.3938882055e+20,8.1417882275e-07
9.4301580441e+20,8.0570022503e-07
9.4664278827e+20,7.9727582144e-07
9.5026977214e+20,7.8890600215e-07
9.5389675600e+20,7.8059113629e-07
9.5752373986e+20,7.7233157231e-07
9.6115072373e+20,7.6412763840e-07
9.6477770759e+20,7.5597964288e-07
9.6840469145e+20,7.4788787457e-07
9.7203167532e+20,7.3985260316e-07
9.7565865918e+20,7.3187407960e-07
9.7928564304e+20,7.2395253652e-07
9.8291262691e+20,7.1608818850e-07
9.8653961077e+20,7.0828123255e-07
9.9016659463e+20,7.0053184840e-07
9.9379357849e+20,6.9284019889e-07
9.9742056236e+20,6.8520643033e-07
1.0010475462e+21,6.7763067284e-07
1.0046745301e+21,6.7011304072e-07
1.0083015139e+21,6.6265363280e-07
1.0119284978e+21,6.5525253276e-07
1.0155554817e+21,6.4790980948e-07
1.0191824655e+21,6.4062551739e-07
1.0228094494e+21,6.3339969679e-07
1.0264364333e+21,6.2623237419e-07
1.0300634171e+21,6.1912356262e-07
1.0336904010e+21,6.1207326195e-07
1.0373173849e+21,6.0508145925e-07
1.0409443687e+21,5.9814812902e-07
1.0445713526e+21,5.9127323360e-07
1.0481983364e+21,5.8445672338e-07
