nu,B
0.0000000000e+00,-nan
3.6269838631e+18,4.1636767082e-10
7.2539677262e+18,1.6505069788e-09
1.0880951589e+19,3.6801758396e-09
1.4507935452e+19,6.4834034070e-09
1.8134919316e+19,1.0038489963e-08
2.1761903179e+19,1.4324006766e-08
2.5388887042e+19,1.9318795852e-08
2.9015870905e+19,2.5001969796e-08
3.2642854768e+19,3.1352911425e-08
3.6269838631e+19,3.8351273497e-08
3.9896822494e+19,4.5976978324e-08
4.3523806357e+19,5.4210217362e-08
4.7150790221e+19,6.3031450753e-08
5.0777774084e+19,7.2421406828e-08
5.4404757947e+19,8.2361081564e-08
5.8031741810e+19,9.2831738002e-08
6.1658725673e+19,1.0381490562e-07
6.5285709536e+19,1.1529237966e-07
6.8912693399e+19,1.2724622043e-07
7.2539677262e+19,1.3965875255e-07
7.6166661126e+19,1.5251256417e-07
7.9793644989e+19,1.6579050610e-07
8.3420628852e+19,1.7947569099e-07
8.7047612715e+19,1.9355149241e-07
9.0674596578e+19,2.0800154384e-07
9.4301580441e+19,2.2280973778e-07
9.7928564304e+19,2.3796022463e-07
1.0155554817e+20,2.5343741168e-07
1.0518253203e+20,2.6922596200e-07
1.0880951589e+20,2.8531079325e-07
1.1243649976e+20,3.0167707657e-07
1.1606348362e+20,3.1831023534e-07
1.1969046748e+20,3.3519594392e-07
1.2331745135e+20,3.5232012635e-07
1.2694443521e+20,3.6966895507e-07
1.3057141907e+20,3.8722884956e-07
1.3419840294e+20,4.0498647492e-07
1.3782538680e+20,4.2292874047e-07
1.4145237066e+20,4.4104279831e-07
1.4507935452e+20,4.5931604180e-07
1.4870633839e+20,4.7773610409e-07
1.5233332225e+20,4.9629085652e-07
1.5596030611e+20,5.1496840709e-07
1.5958728998e+20,5.3375709883e-07
1.6321427384e+20,5.5264550816e-07
1.6684125770e+20,5.7162244325e-07
1.7046824157e+20,5.9067694228e-07
1.7409522543e+20,6.0979827180e-07
1.7772220929e+20,6.2897592490e-07
1.8134919316e+20,6.4819961951e-07
1.8497617702e+20,6.6745929655e-07
1.8860316088e+20,6.8674511816e-07
1.9223014475e+20,7.0604746581e-07
1.9585712861e+20,7.2535693849e-07
1.9948411247e+20,7.4466435076e-07
2.0311109633e+20,7.6396073089e-07
2.0673808020e+20,7.8323731890e-07
2.1036506406e+20,8.0248556465e-07
2.1399204792e+20,8.2169712581e-07
2.1761903179e+20,8.4086386593e-07
2.2124601565e+20,8.5997785240e-07
2.2487299951e+20,8.7903135445e-07
2.2849998338e+20,8.9801684111e-07
2.3212696724e+20,9.1692697911e-07
2.3575395110e+20,9.3575463089e-07
2.3938093497e+20,9.5449285245e-07
2.4300791883e+20,9.7313489129e-07
2.4663490269e+20,9.9167418428e-07
2.5026188656e+20,1.0101043555e-06
2.5388887042e+20,1.0284192143e-06
2.5751585428e+20,1.0466127529e-06
2.6114283814e+20,1.0646791442e-06
2.6476982201e+20,1.0826127401e-06
2.6839680587e+20,1.1004080688e-06
2.7202378973e+20,1.1180598327e-06
2.7565077360e+20,1.1355629065e-06
2.7927775746e+20,1.1529123348e-06
2.8290474132e+20,1.1701033299e-06
2.8653172519e+20,1.1871312697e-06
2.9015870905e+20,1.2039916954e-06
2.9378569291e+20,1.2206803092e-06
2.9741267678e+20,1.2371929723e-06
3.0103966064e+20,1.2535257027e-06
3.0466664450e+20,1.2696746726e-06
3.0829362837e+20,1.2856362067e-06
3.1192061223e+20,1.3014067795e-06
3.1554759609e+20,1.3169830136e-06
3.1917457995e+20,1.3323616769e-06
3.2280156382e+20,1.3475396808e-06
3.2642854768e+20,1.3625140780e-06
3.3005553154e+20,1.3772820599e-06
3.3368251541e+20,1.3918409547e-06
3.3730949927e+20,1.4061882254e-06
3.4093648313e+20,1.4203214670e-06
3.4456346700e+20,1.4342384048e-06
3.4819045086e+20,1.4479368920e-06
3.5181743472e+20,1.4614149078e-06
3.5544441859e+20,1.4746705546e-06
3.5907140245e+20,1.4877020567e-06
3.6269838631e+20,1.5005077573e-06
3.6632537018e+20,1.5130861168e-06
3.6995235404e+20,1.5254357108e-06
3.7357933790e+20,1.5375552275e-06
3.7720632176e+20,1.5494434660e-06
3.8083330563e+20,1.5610993338e-06
3.8446028949e+20,1.5725218451e-06
3.8808727335e+20,1.5837101185e-06
3.9171425722e+20,1.5946633749e-06
3.9534124108e+20,1.6053809355e-06
3.9896822494e+20,1.6158622196e-06
4.0259520881e+20,1.6261067429e-06
4.0622219267e+20,1.6361141151e-06
4.0984917653e+20,1.6458840381e-06
4.1347616040e+20,1.6554163039e-06
4.1710314426e+20,1.6647107927e-06
4.2073012812e+20,1.6737674709e-06
4.2435711199e+20,1.6825863890e-06
4.2798409585e+20,1.6911676800e-06
4.3161107971e+20,1.6995115572e-06
4.3523806357e+20,1.7076183122e-06
