nu,B
0.0000000000e+00,-nan
3.6269838631e+18,3.2605270076e-10
7.2539677262e+18,1.2938466979e-09
1.0880951589e+19,2.8879603525e-09
1.4507935452e+19,5.0931380232e-09
1.8134919316e+19,7.8942900133e-09
2.1761903179e+19,1.1276492498e-08
2.5388887042e+19,1.5224987429e-08
2.9015870905e+19,1.9725182422e-08
3.2642854768e+19,2.4762650617e-08
3.6269838631e+19,3.0323130523e-08
3.9896822494e+19,3.6392525844e-08
4.3523806357e+19,4.2956905274e-08
4.7150790221e+19,5.0002502285e-08
5.0777774084e+19,5.7515714881e-08
5.4404757947e+19,6.5483105345e-08
5.8031741810e+19,7.3891399954e-08
6.1658725673e+19,8.2727488679e-08
6.5285709536e+19,9.1978424867e-08
6.8912693399e+19,1.0163142490e-07
7.2539677262e+19,1.1167386782e-07
7.6166661126e+19,1.2209329498e-07
7.9793644989e+19,1.3287740962e-07
8.3420628852e+19,1.4401407644e-07
8.7047612715e+19,1.5549132118e-07
9.0674596578e+19,1.6729733017e-07
9.4301580441e+19,1.7942044980e-07
9.7928564304e+19,1.9184918610e-07
1.0155554817e+20,2.0457220415e-07
1.0518253203e+20,2.1757832760e-07
1.0880951589e+20,2.3085653809e-07
1.1243649976e+20,2.4439597470e-07
1.1606348362e+20,2.5818593332e-07
1.1969046748e+20,2.7221586608e-07
1.2331745135e+20,2.8647538073e-07
1.2694443521e+20,3.0095423997e-07
1.3057141907e+20,3.1564236081e-07
1.3419840294e+20,3.3052981387e-07
1.3782538680e+20,3.4560682271e-07
1.4145237066e+20,3.6086376313e-07
1.4507935452e+20,3.7629116241e-07
1.4870633839e+20,3.9187969858e-07
1.5233332225e+20,4.0762019966e-07
1.5596030611e+20,4.2350364291e-07
1.5958728998e+20,4.3952115401e-07
1.6321427384e+20,4.5566400625e-07
1.6684125770e+20,4.7192361973e-07
1.7046824157e+20,4.8829156053e-07
1.7409522543e+20,5.0475953985e-07
1.7772220929e+20,5.2131941311e-07
1.8134919316e+20,5.3796317916e-07
1.8497617702e+20,5.5468297929e-07
1.8860316088e+20,5.7147109640e-07
1.9223014475e+20,5.8831995404e-07
1.9585712861e+20,6.0522211550e-07
1.9948411247e+20,6.2217028285e-07
2.0311109633e+20,6.3915729601e-07
2.0673808020e+20,6.5617613175e-07
2.1036506406e+20,6.7321990273e-07
2.1399204792e+20,6.9028185652e-07
2.1761903179e+20,7.0735537458e-07
2.2124601565e+20,7.2443397123e-07
2.2487299951e+20,7.4151129267e-07
2.2849998338e+20,7.5858111594e-07
2.3212696724e+20,7.7563734783e-07
2.3575395110e+20,7.9267402389e-07
2.3938093497e+20,8.0968530731e-07
2.4300791883e+20,8.2666548790e-07
2.4663490269e+20,8.4360898098e-07
2.5026188656e+20,8.6051032629e-07
2.5388887042e+20,8.7736418692e-07
2.5751585428e+20,8.9416534816e-07
2.6114283814e+20,9.1090871645e-07
2.6476982201e+20,9.2758931820e-07
2.6839680587e+20,9.4420229870e-07
2.7202378973e+20,9.6074292100e-07
2.7565077360e+20,9.7720656472e-07
2.7927775746e+20,9.9358872496e-07
2.8290474132e+20,1.0098850111e-06
2.8653172519e+20,1.0260911457e-06
2.9015870905e+20,1.0422029633e-06
2.9378569291e+20,1.0582164093e-06
2.9741267678e+20,1.0741275387e-06
3.0103966064e+20,1.0899325149e-06
3.0466664450e+20,1.1056276088e-06
3.0829362837e+20,1.1212091974e-06
3.1192061223e+20,1.1366737624e-06
3.1554759609e+20,1.1520178895e-06
3.1917457995e+20,1.1672382669e-06
3.2280156382e+20,1.1823316841e-06
3.2642854768e+20,1.1972950309e-06
3.3005553154e+20,1.2121252958e-06
3.3368251541e+20,1.2268195655e-06
3.3730949927e+20,1.2413750230e-06
3.4093648313e+20,1.2557889467e-06
3.4456346700e+20,1.2700587091e-06
3.4819045086e+20,1.2841817760e-06
3.5181743472e+20,1.2981557047e-06
3.5544441859e+20,1.3119781432e-06
3.5907140245e+20,1.3256468287e-06
3.6269838631e+20,1.3391595868e-06
3.6632537018e+20,1.3525143300e-06
3.6995235404e+20,1.3657090564e-06
3.7357933790e+20,1.3787418491e-06
3.7720632176e+20,1.3916108742e-06
3.8083330563e+20,1.4043143801e-06
3.8446028949e+20,1.4168506964e-06
3.8808727335e+20,1.4292182322e-06
3.9171425722e+20,1.4414154755e-06
3.9534124108e+20,1.4534409915e-06
3.9896822494e+20,1.4652934221e-06
4.0259520881e+20,1.4769714838e-06
4.0622219267e+20,1.4884739673e-06
4.0984917653e+20,1.4997997361e-06
4.1347616040e+20,1.5109477252e-06
4.1710314426e+20,1.5219169399e-06
4.2073012812e+20,1.5327064550e-06
4.2435711199e+20,1.5433154135e-06
4.2798409585e+20,1.5537430250e-06
4.3161107971e+20,1.5639885654e-06
4.3523806357e+20,1.5740513749e-06
4.3886504744e+20,1.5839308576e-06
4.4249203130e+20,1.5936264800e-06
4.4611901516e+20,1.6031377697e-06
4.4974599903e+20,1.6124643148e-06
4.5337298289e+20,1.6216057625e-06
4.5699996675e+20,1.6305618177e-06
4.6062695062e+20,1.6393322427e-06
4.6425393448e+20,1.6479168554e-06
4.6788091834e+20,1.6563155283e-06
4.7150790221e+20,1.6645281880e-06
4.7513488607e+20,1.6725548133e-06
4.7876186993e+20,1.6803954349e-06
4.8238885379e+20,1.6880501339e-06
4.8601583766e+20,1.6955190408e-06
4.8964282152e+20,1.7028023346e-06
4.9326980538e+20,1.7099002418e-06
4.9689678925e+20,1.7168130351e-06
5.0052377311e+20,1.7235410328e-06
