nu,B
0.0000000000e+00,-nan
3.6269838631e+18,1.1233270890e-09
7.2539677262e+18,4.4268069333e-09
1.0880951589e+19,9.8121854814e-09
1.4507935452e+19,1.7183204958e-08
1.8134919316e+19,2.6445601680e-08
2.1761903179e+19,3.7507102999e-08
2.5388887042e+19,5.0277423377e-08
2.9015870905e+19,6.4668259602e-08
3.2642854768e+19,8.0593285148e-08
3.6269838631e+19,9.7968143676e-08
3.9896822494e+19,1.1671044170e-07
4.3523806357e+19,1.3673974042e-07
4.7150790221e+19,1.5797754673e-07
5.0777774084e+19,1.8034730339e-07
5.4404757947e+19,2.0377437842e-07
5.8031741810e+19,2.2818605373e-07
6.1658725673e+19,2.5351151289e-07
6.5285709536e+19,2.7968182818e-07
6.8912693399e+19,3.0662994694e-07
7.2539677262e+19,3.3429067712e-07
7.6166661126e+19,3.6260067209e-07
7.9793644989e+19,3.9149841486e-07
8.3420628852e+19,4.2092420147e-07
8.7047612715e+19,4.5082012387e-07
9.0674596578e+19,4.8113005200e-07
9.4301580441e+19,5.1179961535e-07
9.7928564304e+19,5.4277618391e-07
1.0155554817e+20,5.7400884844e-07
1.0518253203e+20,6.0544840028e-07
1.0880951589e+20,6.3704731056e-07
1.1243649976e+20,6.6875970889e-07
1.1606348362e+20,7.0054136160e-07
1.1969046748e+20,7.3234964941e-07
1.2331745135e+20,7.6414354473e-07
1.2694443521e+20,7.9588358850e-07
1.3057141907e+20,8.2753186660e-07
1.3419840294e+20,8.5905198589e-07
1.3782538680e+20,8.9040904992e-07
1.4145237066e+20,9.2156963426e-07
1.4507935452e+20,9.5250176151e-07
1.4870633839e+20,9.8317487608e-07
1.5233332225e+20,1.0135598186e-06
1.5596030611e+20,1.0436288003e-06
1.5958728998e+20,1.0733553769e-06
1.6321427384e+20,1.1027144222e-06
1.6684125770e+20,1.1316821024e-06
1.7046824157e+20,1.1602358488e-06
1.7409522543e+20,1.1883543319e-06
1.7772220929e+20,1.2160174339e-06
1.8134919316e+20,1.2432062227e-06
1.8497617702e+20,1.2699029244e-06
1.8860316088e+20,1.2960908968e-06
1.9223014475e+20,1.3217546022e-06
1.9585712861e+20,1.3468795807e-06
1.9948411247e+20,1.3714524232e-06
2.0311109633e+20,1.3954607445e-06
2.0673808020e+20,1.4188931569e-06
2.1036506406e+20,1.4417392430e-06
2.1399204792e+20,1.4639895294e-06
2.1761903179e+20,1.4856354604e-06
2.2124601565e+20,1.5066693713e-06
