nu,B
5.8031741810e+20,1.8482632341e-06
5.8394440196e+20,1.8487976340e-06
5.8757138583e+20,1.8491570919e-06
5.9119836969e+20,1.8493433875e-06
5.9482535355e+20,1.8493583181e-06
5.9845233741e+20,1.8492036977e-06
6.0207932128e+20,1.8488813557e-06
6.0570630514e+20,1.8483931365e-06
6.0933328900e+20,1.8477408981e-06
6.1296027287e+20,1.8469265117e-06
6.1658725673e+20,1.8459518604e-06
6.2021424059e+20,1.8448188387e-06
6.2384122446e+20,1.8435293516e-06
6.2746820832e+20,1.8420853135e-06
6.3109519218e+20,1.8404886478e-06
6.3472217605e+20,1.8387412859e-06
6.3834915991e+20,1.8368451666e-06
6.4197614377e+20,1.8348022350e-06
6.4560312764e+20,1.8326144421e-06
6.4923011150e+20,1.8302837441e-06
6.5285709536e+20,1.8278121012e-06
6.5648407922e+20,1.8252014777e-06
6.6011106309e+20,1.8224538406e-06
6.6373804695e+20,1.8195711594e-06
6.6736503081e+20,1.8165554052e-06
6.7099201468e+20,1.8134085500e-06
6.7461899854e+20,1.8101325665e-06
6.7824598240e+20,1.8067294272e-06
6.8187296627e+20,1.8032011035e-06
6.8549995013e+20,1.7995495659e-06
6.8912693399e+20,1.7957767826e-06
6.9275391786e+20,1.7918847196e-06
6.9638090172e+20,1.7878753398e-06
7.0000788558e+20,1.7837506025e-06
7.0363486945e+20,1.7795124632e-06
7.0726185331e+20,1.7751628726e-06
7.1088883717e+20,1.7707037765e-06
7.1451582103e+20,1.7661371153e-06
7.1814280490e+20,1.7614648233e-06
7.2176978876e+20,1.7566888285e-06
7.2539677262e+20,1.7518110521e-06
7.2902375649e+20,1.7468334079e-06
7.3265074035e+20,1.7417578023e-06
7.3627772421e+20,1.7365861333e-06
7.3990470808e+20,1.7313202907e-06
7.4353169194e+20,1.7259621555e-06
7.4715867580e+20,1.7205135994e-06
7.5078565967e+20,1.7149764847e-06
7.5441264353e+20,1.7093526635e-06
7.5803962739e+20,1.7036439782e-06
7.6166661126e+20,1.6978522602e-06
7.6529359512e+20,1.6919793305e-06
7.6892057898e+20,1.6860269986e-06
7.7254756284e+20,1.6799970628e-06
7.7617454671e+20,1.6738913097e-06
7.7980153057e+20,1.6677115138e-06
7.8342851443e+20,1.6614594376e-06
7.8705549830e+20,1.6551368309e-06
7.9068248216e+20,1.6487454311e-06
7.9430946602e+20,1.6422869623e-06
