nu,B
0.0000000000e+00,-nan
3.6269838631e+18,6.6725987387e-10
7.2539677262e+18,2.6386458610e-09
1.0880951589e+19,5.8690925591e-09
1.4507935452e+19,1.0314234390e-08
1.8134919316e+19,1.5930405146e-08
2.1761903179e+19,2.2674637356e-08
2.5388887042e+19,3.0504661468e-08
2.9015870905e+19,3.9378904855e-08
3.2642854768e+19,4.9256490643e-08
3.6269838631e+19,6.0097236353e-08
3.9896822494e+19,7.1861652375e-08
4.3523806357e+19,8.4510940255e-08
4.7150790221e+19,9.8006990821e-08
5.0777774084e+19,1.1231238212e-07
5.4404757947e+19,1.2739037718e-07
5.8031741810e+19,1.4320492163e-07
6.1658725673e+19,1.5972064113e-07
6.5285709536e+19,1.7690283859e-07
6.8912693399e+19,1.9471749133e-07
7.2539677262e+19,2.1313124797e-07
7.6166661126e+19,2.3211142521e-07
7.9793644989e+19,2.5162600444e-07
8.3420628852e+19,2.7164362820e-07
8.7047612715e+19,2.9213359647e-07
9.0674596578e+19,3.1306586283e-07
9.4301580441e+19,3.3441103043e-07
9.7928564304e+19,3.5614034788e-07
1.0155554817e+20,3.7822570489e-07
1.0518253203e+20,4.0063962790e-07
1.0880951589e+20,4.2335527547e-07
1.1243649976e+20,4.4634643355e-07
1.1606348362e+20,4.6958751066e-07
1.1969046748e+20,4.9305353293e-07
1.2331745135e+20,5.1672013895e-07
1.2694443521e+20,5.4056357457e-07
1.3057141907e+20,5.6456068757e-07
1.3419840294e+20,5.8868892218e-07
1.3782538680e+20,6.1292631350e-07
1.4145237066e+20,6.3725148181e-07
1.4507935452e+20,6.6164362682e-07
1.4870633839e+20,6.8608252171e-07
1.5233332225e+20,7.1054850720e-07
1.5596030611e+20,7.3502248544e-07
1.5958728998e+20,7.5948591378e-07
1.6321427384e+20,7.8392079860e-07
1.6684125770e+20,8.0830968887e-07
1.7046824157e+20,8.3263566975e-07
1.7409522543e+20,8.5688235610e-07
1.7772220929e+20,8.8103388587e-07
1.8134919316e+20,9.0507491343e-07
1.8497617702e+20,9.2899060290e-07
1.8860316088e+20,9.5276662137e-07
1.9223014475e+20,9.7638913199e-07
1.9585712861e+20,9.9984478717e-07
1.9948411247e+20,1.0231207216e-06
2.0311109633e+20,1.0462045452e-06
2.0673808020e+20,1.0690843362e-06
2.1036506406e+20,1.0917486341e-06
2.1399204792e+20,1.1141864323e-06
2.1761903179e+20,1.1363871713e-06
2.2124601565e+20,1.1583407314e-06
2.2487299951e+20,1.1800374254e-06
2.2849998338e+20,1.2014679915e-06
2.3212696724e+20,1.2226235861e-06
2.3575395110e+20,1.2434957766e-06
2.3938093497e+20,1.2640765340e-06
2.4300791883e+20,1.2843582256e-06
2.4663490269e+20,1.3043336081e-06
2.5026188656e+20,1.3239958200e-06
2.5388887042e+20,1.3433383745e-06
2.5751585428e+20,1.3623551521e-06
2.6114283814e+20,1.3810403936e-06
2.6476982201e+20,1.3993886926e-06
2.6839680587e+20,1.4173949887e-06
2.7202378973e+20,1.4350545598e-06
2.7565077360e+20,1.4523630152e-06
2.7927775746e+20,1.4693162888e-06
2.8290474132e+20,1.4859106311e-06
2.8653172519e+20,1.5021426033e-06
2.9015870905e+20,1.5180090690e-06
2.9378569291e+20,1.5335071883e-06
2.9741267678e+20,1.5486344101e-06
3.0103966064e+20,1.5633884655e-06
3.0466664450e+20,1.5777673609e-06
3.0829362837e+20,1.5917693709e-06
3.1192061223e+20,1.6053930320e-06
3.1554759609e+20,1.6186371355e-06
3.1917457995e+20,1.6315007208e-06
3.2280156382e+20,1.6439830690e-06
3.2642854768e+20,1.6560836961e-06
3.3005553154e+20,1.6678023467e-06
3.3368251541e+20,1.6791389876e-06
3.3730949927e+20,1.6900938010e-06
3.4093648313e+20,1.7006671786e-06
3.4456346700e+20,1.7108597153e-06
3.4819045086e+20,1.7206722027e-06
3.5181743472e+20,1.7301056235e-06
3.5544441859e+20,1.7391611451e-06
3.5907140245e+20,1.7478401135e-06
3.6269838631e+20,1.7561440479e-06
3.6632537018e+20,1.7640746345e-06
3.6995235404e+20,1.7716337207e-06
3.7357933790e+20,1.7788233098e-06
3.7720632176e+20,1.7856455552e-06
3.8083330563e+20,1.7921027548e-06
3.8446028949e+20,1.7981973457e-06
3.8808727335e+20,1.8039318988e-06
3.9171425722e+20,1.8093091137e-06
3.9534124108e+20,1.8143318133e-06
3.9896822494e+20,1.8190029386e-06
4.0259520881e+20,1.8233255443e-06
4.0622219267e+20,1.8273027930e-06
4.0984917653e+20,1.8309379510e-06
4.1347616040e+20,1.8342343835e-06
4.1710314426e+20,1.8371955494e-06
4.2073012812e+20,1.8398249973e-06
4.2435711199e+20,1.8421263608e-06
4.2798409585e+20,1.8441033540e-06
4.3161107971e+20,1.8457597672e-06
4.3523806357e+20,1.8470994626e-06
4.3886504744e+20,1.8481263703e-06
4.4249203130e+20,1.8488444841e-06
4.4611901516e+20,1.8492578577e-06
4.4974599903e+20,1.8493706004e-06
4.5337298289e+20,1.8491868736e-06
4.5699996675e+20,1.8487108872e-06
4.6062695062e+20,1.8479468954e-06
4.6425393448e+20,1.8468991937e-06
4.6788091834e+20,1.8455721152e-06
4.7150790221e+20,1.8439700269e-06
4.7513488607e+20,1.8420973272e-06
4.7876186993e+20,1.8399584416e-06
4.8238885379e+20,1.8375578205e-06
4.8601583766e+20,1.8348999355e-06
4.8964282152e+20,1.8319892767e-06
4.9326980538e+20,1.8288303497e-06
4.9689678925e+20,1.8254276728e-06
5.0052377311e+20,1.8217857741e-06
5.0415075697e+20,1.8179091893e-06
5.0777774084e+20,1.8138024585e-06
5.1140472470e+20,1.8094701238e-06
5.1503170856e+20,1.8049167274e-06
5.1865869243e+20,1.8001468084e-06
5.2228567629e+20,1.7951649012e-06
5.2591266015e+20,1.7899755328e-06
5.2953964402e+20,1.7845832209e-06
5.3316662788e+20,1.7789924718e-06
5.3679361174e+20,1.7732077782e-06
5.4042059560e+20,1.7672336175e-06
5.4404757947e+20,1.7610744498e-06
5.4767456333e+20,1.7547347158e-06
5.5130154719e+20,1.7482188357e-06
5.5492853106e+20,1.7415312071e-06
5.5855551492e+20,1.7346762032e-06
5.6218249878e+20,1.7276581716e-06
5.6580948265e+20,1.7204814329e-06
5.6943646651e+20,1.7131502787e-06
5.7306345037e+20,1.7056689707e-06
5.7669043424e+20,1.6980417395e-06
5.8031741810e+20,1.6902727827e-06
5.8394440196e+20,1.6823662643e-06
5.8757138583e+20,1.6743263134e-06
5.9119836969e+20,1.6661570230e-06
5.9482535355e+20,1.6578624490e-06
5.9845233741e+20,1.6494466091e-06
6.0207932128e+20,1.6409134823e-06
6.0570630514e+20,1.6322670075e-06
6.0933328900e+20,1.6235110828e-06
6.1296027287e+20,1.6146495650e-06
6.1658725673e+20,1.6056862684e-06
6.2021424059e+20,1.5966249644e-06
6.2384122446e+20,1.5874693809e-06
6.2746820832e+20,1.5782232014e-06
6.3109519218e+20,1.5688900646e-06
6.3472217605e+20,1.5594735642e-06
6.3834915991e+20,1.5499772476e-06
6.4197614377e+20,1.5404046162e-06
6.4560312764e+20,1.5307591248e-06
6.4923011150e+20,1.5210441811e-06
6.5285709536e+20,1.5112631452e-06
6.5648407922e+20,1.5014193299e-06
6.6011106309e+20,1.4915159998e-06
6.6373804695e+20,1.4815563714e-06
6.6736503081e+20,1.4715436130e-06
6.7099201468e+20,1.4614808441e-06
6.7461899854e+20,1.4513711357e-06
6.7824598240e+20,1.4412175101e-06
6.8187296627e+20,1.4310229405e-06
6.8549995013e+20,1.4207903514e-06
6.8912693399e+20,1.4105226183e-06
6.9275391786e+20,1.4002225679e-06
6.9638090172e+20,1.3898929778e-06
7.0000788558e+20,1.3795365771e-06
