nu,B
0.0000000000e+00,-nan
3.6269838631e+18,3.9699277656e-10
7.2539677262e+18,1.5740410843e-09
1.0880951589e+19,3.5104347893e-09
1.4507935452e+19,6.1857102388e-09
1.8134919316e+19,9.5796501664e-09
2.1761903179e+19,1.3672283559e-08
2.5388887042e+19,1.8443885488e-08
2.9015870905e+19,2.3874976899e-08
3.2642854768e+19,2.9946324365e-08
3.6269838631e+19,3.6638939807e-08
3.9896822494e+19,4.3934080170e-08
4.3523806357e+19,5.1813247063e-08
4.7150790221e+19,6.0258186369e-08
5.0777774084e+19,6.9250887807e-08
5.4404757947e+19,7.8773584466e-08
5.8031741810e+19,8.8808752300e-08
6.1658725673e+19,9.9339109580e-08
6.5285709536e+19,1.1034761632e-07
6.8912693399e+19,1.2181747367e-07
7.2539677262e+19,1.3373212324e-07
7.6166661126e+19,1.4607524645e-07
7.9793644989e+19,1.5883076378e-07
8.3420628852e+19,1.7198283403e-07
8.7047612715e+19,1.8551585352e-07
9.0674596578e+19,1.9941445527e-07
9.4301580441e+19,2.1366350815e-07
9.7928564304e+19,2.2824811596e-07
1.0155554817e+20,2.4315361654e-07
1.0518253203e+20,2.5836558080e-07
1.0880951589e+20,2.7386981169e-07
1.1243649976e+20,2.8965234326e-07
1.1606348362e+20,3.0569943952e-07
1.1969046748e+20,3.2199759339e-07
1.2331745135e+20,3.3853352561e-07
1.2694443521e+20,3.5529418355e-07
1.3057141907e+20,3.7226674003e-07
1.3419840294e+20,3.8943859217e-07
1.3782538680e+20,4.0679736008e-07
1.4145237066e+20,4.2433088566e-07
1.4507935452e+20,4.4202723126e-07
1.4870633839e+20,4.5987467839e-07
1.5233332225e+20,4.7786172636e-07
1.5596030611e+20,4.9597709089e-07
1.5958728998e+20,5.1420970276e-07
1.6321427384e+20,5.3254870632e-07
1.6684125770e+20,5.5098345810e-07
1.7046824157e+20,5.6950352529e-07
1.7409522543e+20,5.8809868427e-07
1.7772220929e+20,6.0675891906e-07
1.8134919316e+20,6.2547441981e-07
1.8497617702e+20,6.4423558121e-07
1.8860316088e+20,6.6303300089e-07
1.9223014475e+20,6.8185747785e-07
1.9585712861e+20,7.0070001080e-07
1.9948411247e+20,7.1955179650e-07
2.0311109633e+20,7.3840422813e-07
2.0673808020e+20,7.5724889355e-07
2.1036506406e+20,7.7607757366e-07
2.1399204792e+20,7.9488224060e-07
2.1761903179e+20,8.1365505607e-07
2.2124601565e+20,8.3238836955e-07
2.2487299951e+20,8.5107471652e-07
2.2849998338e+20,8.6970681669e-07
2.3212696724e+20,8.8827757218e-07
2.3575395110e+20,9.0678006571e-07
2.3938093497e+20,9.2520755878e-07
2.4300791883e+20,9.4355348982e-07
2.4663490269e+20,9.6181147233e-07
2.5026188656e+20,9.7997529304e-07
2.5388887042e+20,9.9803891000e-07
2.5751585428e+20,1.0159964507e-06
2.6114283814e+20,1.0338422102e-06
2.6476982201e+20,1.0515706492e-06
2.6839680587e+20,1.0691763922e-06
2.7202378973e+20,1.0866542253e-06
2.7565077360e+20,1.1039990948e-06
2.7927775746e+20,1.1212061047e-06
2.8290474132e+20,1.1382705151e-06
2.8653172519e+20,1.1551877402e-06
2.9015870905e+20,1.1719533463e-06
2.9378569291e+20,1.1885630497e-06
2.9741267678e+20,1.2050127152e-06
3.0103966064e+20,1.2212983535e-06
3.0466664450e+20,1.2374161199e-06
3.0829362837e+20,1.2533623118e-06
3.1192061223e+20,1.2691333669e-06
3.1554759609e+20,1.2847258614e-06
3.1917457995e+20,1.3001365079e-06
3.2280156382e+20,1.3153621534e-06
3.2642854768e+20,1.3303997772e-06
3.3005553154e+20,1.3452464895e-06
3.3368251541e+20,1.3598995286e-06
3.3730949927e+20,1.3743562596e-06
3.4093648313e+20,1.3886141721e-06
3.4456346700e+20,1.4026708786e-06
3.4819045086e+20,1.4165241121e-06
3.5181743472e+20,1.4301717242e-06
3.5544441859e+20,1.4436116838e-06
3.5907140245e+20,1.4568420741e-06
3.6269838631e+20,1.4698610917e-06
3.6632537018e+20,1.4826670440e-06
3.6995235404e+20,1.4952583475e-06
3.7357933790e+20,1.5076335260e-06
3.7720632176e+20,1.5197912085e-06
3.8083330563e+20,1.5317301275e-06
3.8446028949e+20,1.5434491168e-06
3.8808727335e+20,1.5549471100e-06
3.9171425722e+20,1.5662231384e-06
3.9534124108e+20,1.5772763292e-06
3.9896822494e+20,1.5881059036e-06
4.0259520881e+20,1.5987111751e-06
4.0622219267e+20,1.6090915475e-06
4.0984917653e+20,1.6192465131e-06
4.1347616040e+20,1.6291756511e-06
4.1710314426e+20,1.6388786257e-06
4.2073012812e+20,1.6483551839e-06
4.2435711199e+20,1.6576051546e-06
4.2798409585e+20,1.6666284461e-06
4.3161107971e+20,1.6754250445e-06
4.3523806357e+20,1.6839950122e-06
4.3886504744e+20,1.6923384862e-06
4.4249203130e+20,1.7004556760e-06
4.4611901516e+20,1.7083468623e-06
4.4974599903e+20,1.7160123951e-06
4.5337298289e+20,1.7234526923e-06
4.5699996675e+20,1.7306682376e-06
4.6062695062e+20,1.7376595794e-06
4.6425393448e+20,1.7444273288e-06
4.6788091834e+20,1.7509721583e-06
4.7150790221e+20,1.7572947998e-06
4.7513488607e+20,1.7633960434e-06
4.7876186993e+20,1.7692767359e-06
4.8238885379e+20,1.7749377788e-06
4.8601583766e+20,1.7803801273e-06
4.8964282152e+20,1.7856047885e-06
4.9326980538e+20,1.7906128199e-06
4.9689678925e+20,1.7954053281e-06
5.0052377311e+20,1.7999834673e-06
5.0415075697e+20,1.8043484377e-06
5.0777774084e+20,1.8085014844e-06
5.1140472470e+20,1.8124438956e-06
5.1503170856e+20,1.8161770017e-06
5.1865869243e+20,1.8197021732e-06
5.2228567629e+20,1.8230208203e-06
5.2591266015e+20,1.8261343909e-06
5.2953964402e+20,1.8290443693e-06
5.3316662788e+20,1.8317522753e-06
5.3679361174e+20,1.8342596625e-06
5.4042059560e+20,1.8365681175e-06
5.4404757947e+20,1.8386792581e-06
5.4767456333e+20,1.8405947325e-06
5.5130154719e+20,1.8423162180e-06
5.5492853106e+20,1.8438454198e-06
5.5855551492e+20,1.8451840695e-06
5.6218249878e+20,1.8463339247e-06
5.6580948265e+20,1.8472967671e-06
5.6943646651e+20,1.8480744017e-06
5.7306345037e+20,1.8486686559e-06
5.7669043424e+20,1.8490813781e-06
5.8031741810e+20,1.8493144367e-06
5.8394440196e+20,1.8493697193e-06
5.8757138583e+20,1.8492491312e-06
5.9119836969e+20,1.8489545949e-06
5.9482535355e+20,1.8484880487e-06
5.9845233741e+20,1.8478514462e-06
6.0207932128e+20,1.8470467548e-06
6.0570630514e+20,1.8460759550e-06
6.0933328900e+20,1.8449410395e-06
6.1296027287e+20,1.8436440126e-06
6.1658725673e+20,1.8421868885e-06
