r,P,m,rho
8.200000e-03,1.501584e+02,1.006877e-05,8.644619e+00
8.300000e-03,1.501581e+02,1.007215e-05,8.644615e+00
8.400000e-03,1.501579e+02,1.007565e-05,8.644611e+00
8.500000e-03,1.501576e+02,1.007927e-05,8.644607e+00
8.600000e-03,1.501574e+02,1.008302e-05,8.644603e+00
8.700000e-03,1.501571e+02,1.008691e-05,8.644598e+00
8.800000e-03,1.501568e+02,1.009092e-05,8.644594e+00
8.900000e-03,1.501565e+02,1.009508e-05,8.644589e+00
9.000000e-03,1.501563e+02,1.009938e-05,8.644584e+00
9.100000e-03,1.501560e+02,1.010382e-05,8.644580e+00
9.200000e-03,1.501557e+02,1.010840e-05,8.644575e+00
9.300000e-03,1.501554e+02,1.011314e-05,8.644570e+00
9.400000e-03,1.501551e+02,1.011803e-05,8.644565e+00
9.500000e-03,1.501548e+02,1.012308e-05,8.644560e+00
9.600000e-03,1.501545e+02,1.012829e-05,8.644554e+00
9.700000e-03,1.501541e+02,1.013366e-05,8.644549e+00
9.800000e-03,1.501538e+02,1.013920e-05,8.644544e+00
9.900000e-03,1.501535e+02,1.014491e-05,8.644538e+00
1.000000e-02,1.501532e+02,1.015080e-05,8.644532e+00
1.010000e-02,1.501528e+02,1.015686e-05,8.644527e+00
1.020000e-02,1.501525e+02,1.016310e-05,8.644521e+00
1.030000e-02,1.501521e+02,1.016953e-05,8.644515e+00
1.040000e-02,1.501517e+02,1.017614e-05,8.644509e+00
1.050000e-02,1.501514e+02,1.018295e-05,8.644503e+00
1.060000e-02,1.501510e+02,1.018995e-05,8.644496e+00
1.070000e-02,1.501506e+02,1.019715e-05,8.644490e+00
1.080000e-02,1.501502e+02,1.020456e-05,8.644483e+00
1.090000e-02,1.501498e+02,1.021217e-05,8.644477e+00
1.100000e-02,1.501494e+02,1.021999e-05,8.644470e+00
1.110000e-02,1.501490e+02,1.022802e-05,8.644463e+00
1.120000e-02,1.501486e+02,1.023627e-05,8.644456e+00
1.130000e-02,1.501482e+02,1.024475e-05,8.644449e+00
1.140000e-02,1.501478e+02,1.025345e-05,8.644442e+00
1.150000e-02,1.501473e+02,1.026238e-05,8.644435e+00
1.160000e-02,1.501469e+02,1.027155e-05,8.644427e+00
1.170000e-02,1.501464e+02,1.028095e-05,8.644420e+00
1.180000e-02,1.501460e+02,1.029059e-05,8.644412e+00
1.190000e-02,1.501455e+02,1.030049e-05,8.644404e+00
1.200000e-02,1.501450e+02,1.031063e-05,8.644396e+00
1.210000e-02,1.501446e+02,1.032102e-05,8.644388e+00
1.220000e-02,1.501441e+02,1.033168e-05,8.644380e+00
1.230000e-02,1.501436e+02,1.034260e-05,8.644372e+00
1.240000e-02,1.501431e+02,1.035378e-05,8.644364e+00
1.250000e-02,1.501426e+02,1.036524e-05,8.644355e+00
1.260000e-02,1.501420e+02,1.037697e-05,8.644346e+00
1.270000e-02,1.501415e+02,1.038898e-05,8.644338e+00
1.280000e-02,1.501410e+02,1.040128e-05,8.644329e+00
1.290000e-02,1.501404e+02,1.041387e-05,8.644320e+00
1.300000e-02,1.501399e+02,1.042675e-05,8.644310e+00
1.310000e-02,1.501393e+02,1.043993e-05,8.644301e+00
1.320000e-02,1.501388e+02,1.045341e-05,8.644292e+00
1.330000e-02,1.501382e+02,1.046720e-05,8.644282e+00
1.340000e-02,1.501376e+02,1.048131e-05,8.644272e+00
1.350000e-02,1.501370e+02,1.049573e-05,8.644262e+00
1.360000e-02,1.501364e+02,1.051047e-05,8.644252e+00
1.370000e-02,1.501358e+02,1.052553e-05,8.644242e+00
1.380000e-02,1.501352e+02,1.054093e-05,8.644232e+00
1.390000e-02,1.501346e+02,1.055667e-05,8.644221e+00
1.400000e-02,1.501339e+02,1.057274e-05,8.644211e+00
1.410000e-02,1.501333e+02,1.058916e-05,8.644200e+00
1.420000e-02,1.501326e+02,1.060593e-05,8.644189e+00
1.430000e-02,1.501320e+02,1.062306e-05,8.644178e+00
1.440000e-02,1.501313e+02,1.064054e-05,8.644167e+00
1.450000e-02,1.501306e+02,1.065840e-05,8.644155e+00
1.460000e-02,1.501300e+02,1.067662e-05,8.644144e+00
1.470000e-02,1.501293e+02,1.069522e-05,8.644132e+00
1.480000e-02,1.501286e+02,1.071420e-05,8.644121e+00
1.490000e-02,1.501278e+02,1.073356e-05,8.644109e+00
1.500000e-02,1.501271e+02,1.075332e-05,8.644096e+00
1.510000e-02,1.501264e+02,1.077347e-05,8.644084e+00
1.520000e-02,1.501256e+02,1.079403e-05,8.644072e+00
1.530000e-02,1.501249e+02,1.081499e-05,8.644059e+00
1.540000e-02,1.501241e+02,1.083636e-05,8.644046e+00
1.550000e-02,1.501234e+02,1.085815e-05,8.644033e+00
1.560000e-02,1.501226e+02,1.088037e-05,8.644020e+00
1.570000e-02,1.501218e+02,1.090301e-05,8.644007e+00
1.580000e-02,1.501210e+02,1.092608e-05,8.643994e+00
1.590000e-02,1.501202e+02,1.094960e-05,8.643980e+00
1.600000e-02,1.501194e+02,1.097356e-05,8.643966e+00
1.610000e-02,1.501185e+02,1.099797e-05,8.643953e+00
1.620000e-02,1.501177e+02,1.102284e-05,8.643939e+00
1.630000e-02,1.501168e+02,1.104817e-05,8.643924e+00
1.640000e-02,1.501160e+02,1.107397e-05,8.643910e+00
1.650000e-02,1.501151e+02,1.110024e-05,8.643895e+00
1.660000e-02,1.501142e+02,1.112699e-05,8.643881e+00
1.670000e-02,1.501133e+02,1.115422e-05,8.643866e+00
1.680000e-02,1.501124e+02,1.118194e-05,8.643851e+00
1.690000e-02,1.501115e+02,1.121016e-05,8.643835e+00
1.700000e-02,1.501106e+02,1.123889e-05,8.643820e+00
1.710000e-02,1.501097e+02,1.126812e-05,8.643804e+00
1.720000e-02,1.501087e+02,1.129786e-05,8.643788e+00
1.730000e-02,1.501078e+02,1.132813e-05,8.643772e+00
1.740000e-02,1.501068e+02,1.135892e-05,8.643756e+00
1.750000e-02,1.501058e+02,1.139024e-05,8.643740e+00
1.760000e-02,1.501048e+02,1.142211e-05,8.643723e+00
1.770000e-02,1.501038e+02,1.145451e-05,8.643707e+00
