r,P,m,rho
0.000000e+00,1.501740e+02,0.000000e+00,3.273268e-01
2.006145e-04,1.501740e+02,1.718755e-13,3.273268e-01
4.012290e-04,1.501740e+02,6.383948e-13,3.273268e-01
6.018435e-04,1.501740e+02,1.546880e-12,3.273268e-01
8.024580e-04,1.501740e+02,3.044652e-12,3.273268e-01
1.003072e-03,1.501740e+02,5.279034e-12,3.273268e-01
1.203687e-03,1.501740e+02,8.397346e-12,3.273268e-01
1.404302e-03,1.501740e+02,1.254691e-11,3.273268e-01
1.604916e-03,1.501740e+02,1.787505e-11,3.273268e-01
1.805531e-03,1.501740e+02,2.452909e-11,3.273268e-01
2.006145e-03,1.501740e+02,3.265635e-11,3.273268e-01
2.206760e-03,1.501740e+02,4.240414e-11,3.273268e-01
2.407374e-03,1.501740e+02,5.391980e-11,3.273268e-01
2.607989e-03,1.501740e+02,6.735064e-11,3.273268e-01
2.808603e-03,1.501740e+02,8.284399e-11,3.273268e-01
3.009218e-03,1.501740e+02,1.005472e-10,3.273268e-01
3.209832e-03,1.501740e+02,1.206075e-10,3.273268e-01
3.410447e-03,1.501740e+02,1.431723e-10,3.273268e-01
3.611061e-03,1.501739e+02,1.683889e-10,3.273268e-01
3.811676e-03,1.501739e+02,1.964046e-10,3.273268e-01
4.012290e-03,1.501739e+02,2.273667e-10,3.273268e-01
4.212905e-03,1.501739e+02,2.614226e-10,3.273268e-01
4.413519e-03,1.501739e+02,2.987196e-10,3.273268e-01
4.614134e-03,1.501739e+02,3.394050e-10,3.273268e-01
4.814748e-03,1.501739e+02,3.836261e-10,3.273268e-01
5.015363e-03,1.501739e+02,4.315302e-10,3.273267e-01
5.215977e-03,1.501739e+02,4.832647e-10,3.273267e-01
5.416592e-03,1.501739e+02,5.389769e-10,3.273267e-01
5.617206e-03,1.501739e+02,5.988142e-10,3.273267e-01
5.817821e-03,1.501739e+02,6.629237e-10,3.273267e-01
6.018435e-03,1.501739e+02,7.314529e-10,3.273267e-01
6.219050e-03,1.501738e+02,8.045491e-10,3.273267e-01
6.419664e-03,1.501738e+02,8.823595e-10,3.273267e-01
6.620279e-03,1.501738e+02,9.650316e-10,3.273267e-01
6.820893e-03,1.501738e+02,1.052713e-09,3.273267e-01
7.021508e-03,1.501738e+02,1.145550e-09,3.273267e-01
7.222122e-03,1.501738e+02,1.243691e-09,3.273267e-01
