r,P,m
0.0000000000e+00,8.8521140000e+02,0.0000000000e+00
1.9996542543e-04,8.8521139774e+02,2.6166318238e-13
3.9993085086e-04,8.8521139323e+02,9.7189181884e-13
5.9989627629e-04,8.8521138683e+02,2.3549686329e-12
7.9986170172e-04,8.8521137857e+02,4.6351763439e-12
9.9982712715e-04,8.8521136846e+02,8.0367976656e-12
1.1997925526e-03,8.8521135649e+02,1.2784115304e-11
1.3997579780e-03,8.8521134269e+02,1.9101411959e-11
1.5997234034e-03,8.8521132704e+02,2.7212970317e-11
1.7996888289e-03,8.8521130954e+02,3.7343073056e-11
1.9996542543e-03,8.8521129020e+02,4.9716002840e-11
2.1996196797e-03,8.8521126902e+02,6.4556042320e-11
2.3995851052e-03,8.8521124600e+02,8.2087474130e-11
2.5995505306e-03,8.8521122113e+02,1.0253458089e-10
2.7995159560e-03,8.8521119442e+02,1.2612164519e-10
2.9994813815e-03,8.8521116587e+02,1.5307294963e-10
3.1994468069e-03,8.8521113547e+02,1.8361277675e-10
3.3994122323e-03,8.8521110323e+02,2.1796540909e-10
3.5993776577e-03,8.8521106915e+02,2.5635512917e-10
3.7993430832e-03,8.8521103323e+02,2.9900621947e-10
3.9993085086e-03,8.8521099547e+02,3.4614296245e-10
4.1992739340e-03,8.8521095586e+02,3.9798964055e-10
4.3992393595e-03,8.8521091441e+02,4.5477053616e-10
4.5992047849e-03,8.8521087112e+02,5.1670993166e-10
4.7991702103e-03,8.8521082598e+02,5.8403210939e-10
4.9991356358e-03,8.8521077901e+02,6.5696135165e-10
5.1991010612e-03,8.8521073019e+02,7.3572194071e-10
5.3990664866e-03,8.8521067952e+02,8.2053815881e-10
5.5990319120e-03,8.8521062702e+02,9.1163428814e-10
5.7989973375e-03,8.8521057267e+02,1.0092346109e-09
5.9989627629e-03,8.8521051649e+02,1.1135634091e-09
6.1989281883e-03,8.8521045846e+02,1.2248449649e-09
6.3988936138e-03,8.8521039858e+02,1.3433035603e-09
6.5988590392e-03,8.8521033687e+02,1.4691634773e-09
6.7988244646e-03,8.8521027331e+02,1.6026489978e-09
6.9987898901e-03,8.8521020791e+02,1.7439844037e-09
7.1987553155e-03,8.8521014067e+02,1.8933939769e-09
7.3987207409e-03,8.8521007158e+02,2.0511019991e-09
7.5986861663e-03,8.8521000066e+02,2.2173327521e-09
7.7986515918e-03,8.8520992789e+02,2.3923105176e-09
7.9986170172e-03,8.8520985328e+02,2.5762595772e-09
8.1985824426e-03,8.8520977682e+02,2.7694042125e-09
8.3985478681e-03,8.8520969853e+02,2.9719687049e-09
8.5985132935e-03,8.8520961839e+02,3.1841773360e-09
8.7984787189e-03,8.8520953641e+02,3.4062543871e-09
8.9984441444e-03,8.8520945259e+02,3.6384241396e-09
9.1984095698e-03,8.8520936692e+02,3.8809108747e-09
9.3983749952e-03,8.8520927941e+02,4.1339388737e-09
9.5983404206e-03,8.8520919006e+02,4.3977324176e-09
9.7983058461e-03,8.8520909887e+02,4.6725157876e-09
9.9982712715e-03,8.8520900584e+02,4.9585132647e-09
1.0198236697e-02,8.8520891096e+02,5.2559491298e-09
1.0398202122e-02,8.8520881424e+02,5.5650476637e-09
1.0598167548e-02,8.8520871568e+02,5.8860331472e-09
1.0798132973e-02,8.8520861528e+02,6.2191298612e-09
1.0998098399e-02,8.8520851303e+02,6.5645620860e-09
1.1198063824e-02,8.8520840895e+02,6.9225541025e-09
1.1398029250e-02,8.8520830302e+02,7.2933301909e-09
1.1597994675e-02,8.8520819524e+02,7.6771146318e-09
1.1797960100e-02,8.8520808563e+02,8.0741317055e-09
1.1997925526e-02,8.8520797417e+02,8.4846056921e-09
1.2197890951e-02,8.8520786088e+02,8.9087608718e-09
1.2397856377e-02,8.8520774573e+02,9.3468215248e-09
1.2597821802e-02,8.8520762875e+02,9.7990119309e-09
1.2797787228e-02,8.8520750993e+02,1.0265556370e-08
1.2997752653e-02,8.8520738926e+02,1.0746679122e-08
1.3197718078e-02,8.8520726675e+02,1.1242604467e-08
1.3397683504e-02,8.8520714239e+02,1.1753556683e-08
1.3597648929e-02,8.8520701620e+02,1.2279760052e-08
1.3797614355e-02,8.8520688816e+02,1.2821438851e-08
1.3997579780e-02,8.8520675828e+02,1.3378817362e-08
1.4197545206e-02,8.8520662656e+02,1.3952119861e-08
1.4397510631e-02,8.8520649300e+02,1.4541570630e-08
1.4597476056e-02,8.8520635759e+02,1.5147393946e-08
1.4797441482e-02,8.8520622035e+02,1.5769814089e-08
1.4997406907e-02,8.8520608126e+02,1.6409055338e-08
1.5197372333e-02,8.8520594032e+02,1.7065341971e-08
1.5397337758e-02,8.8520579755e+02,1.7738898267e-08
1.5597303184e-02,8.8520565293e+02,1.8429948504e-08
1.5797268609e-02,8.8520550647e+02,1.9138716961e-08
1.5997234034e-02,8.8520535817e+02,1.9865427916e-08
1.6197199460e-02,8.8520520803e+02,2.0610305647e-08
1.6397164885e-02,8.8520505604e+02,2.1373574433e-08
1.6597130311e-02,8.8520490221e+02,2.2155458551e-08
1.6797095736e-02,8.8520474654e+02,2.2956182279e-08
1.6997061162e-02,8.8520458903e+02,2.3775969894e-08
1.7197026587e-02,8.8520442968e+02,2.4615045675e-08
1.7396992012e-02,8.8520426848e+02,2.5473633899e-08
1.7596957438e-02,8.8520410544e+02,2.6351958843e-08
1.7796922863e-02,8.8520394056e+02,2.7250244784e-08
1.7996888289e-02,8.8520377383e+02,2.8168715999e-08
1.8196853714e-02,8.8520360527e+02,2.9107596766e-08
1.8396819140e-02,8.8520343486e+02,3.0067111361e-08
1.8596784565e-02,8.8520326261e+02,3.1047484061e-08
1.8796749990e-02,8.8520308852e+02,3.2048939142e-08
1.8996715416e-02,8.8520291258e+02,3.3071700882e-08
1.9196680841e-02,8.8520273481e+02,3.4115993555e-08
1.9396646267e-02,8.8520255519e+02,3.5182041439e-08
1.9596611692e-02,8.8520237373e+02,3.6270068809e-08
1.9796577118e-02,8.8520219042e+02,3.7380299942e-08
1.9996542543e-02,8.8520200528e+02,3.8512959113e-08
2.0196507968e-02,8.8520181829e+02,3.9668270597e-08
2.0396473394e-02,8.8520162946e+02,4.0846458671e-08
2.0596438819e-02,8.8520143878e+02,4.2047747609e-08
2.0796404245e-02,8.8520124627e+02,4.3272361687e-08
2.0996369670e-02,8.8520105191e+02,4.4520525179e-08
2.1196335096e-02,8.8520085571e+02,4.5792462361e-08
2.1396300521e-02,8.8520065767e+02,4.7088397508e-08
2.1596265946e-02,8.8520045779e+02,4.8408554893e-08
2.1796231372e-02,8.8520025606e+02,4.9753158792e-08
2.1996196797e-02,8.8520005250e+02,5.1122433478e-08
2.2196162223e-02,8.8519984709e+02,5.2516603226e-08
2.2396127648e-02,8.8519963983e+02,5.3935892310e-08
2.2596093074e-02,8.8519943074e+02,5.5380525004e-08
2.2796058499e-02,8.8519921980e+02,5.6850725580e-08
2.2996023924e-02,8.8519900702e+02,5.8346718314e-08
2.3195989350e-02,8.8519879240e+02,5.9868727477e-08
2.3395954775e-02,8.8519857594e+02,6.1416977344e-08
2.3595920201e-02,8.8519835763e+02,6.2991692187e-08
2.3795885626e-02,8.8519813749e+02,6.4593096279e-08
2.3995851052e-02,8.8519791550e+02,6.6221413893e-08
2.4195816477e-02,8.8519769166e+02,6.7876869301e-08
2.4395781902e-02,8.8519746599e+02,6.9559686776e-08
2.4595747328e-02,8.8519723847e+02,7.1270090590e-08
2.4795712753e-02,8.8519700911e+02,7.3008305014e-08
2.4995678179e-02,8.8519677791e+02,7.4774554320e-08
2.5195643604e-02,8.8519654487e+02,7.6569062781e-08
2.5395609030e-02,8.8519630999e+02,7.8392054668e-08
2.5595574455e-02,8.8519607326e+02,8.0243754252e-08
2.5795539880e-02,8.8519583469e+02,8.2124385803e-08
2.5995505306e-02,8.8519559428e+02,8.4034173594e-08
2.6195470731e-02,8.8519535202e+02,8.5973341894e-08
2.6395436157e-02,8.8519510793e+02,8.7942114974e-08
2.6595401582e-02,8.8519486199e+02,8.9940717105e-08
2.6795367008e-02,8.8519461421e+02,9.1969372557e-08
2.6995332433e-02,8.8519436459e+02,9.4028305600e-08
2.7195297858e-02,8.8519411312e+02,9.6117740503e-08
2.7395263284e-02,8.8519385981e+02,9.8237901536e-08
2.7595228709e-02,8.8519360467e+02,1.0038901297e-07
2.7795194135e-02,8.8519334767e+02,1.0257129907e-07
2.7995159560e-02,8.8519308884e+02,1.0478498411e-07
2.8195124986e-02,8.8519282817e+02,1.0703029236e-07
2.8395090411e-02,8.8519256565e+02,1.0930744808e-07
2.8595055836e-02,8.8519230129e+02,1.1161667554e-07
2.8795021262e-02,8.8519203509e+02,1.1395819902e-07
2.8994986687e-02,8.8519176704e+02,1.1633224278e-07
2.9194952113e-02,8.8519149716e+02,1.1873903108e-07
2.9394917538e-02,8.8519122543e+02,1.2117878820e-07
2.9594882964e-02,8.8519095186e+02,1.2365173841e-07
2.9794848389e-02,8.8519067644e+02,1.2615810596e-07
2.9994813815e-02,8.8519039919e+02,1.2869811513e-07
3.0194779240e-02,8.8519012009e+02,1.3127199018e-07
3.0394744665e-02,8.8518983915e+02,1.3387995539e-07
3.0594710091e-02,8.8518955637e+02,1.3652223501e-07
3.0794675516e-02,8.8518927175e+02,1.3919905331e-07
3.0994640942e-02,8.8518898528e+02,1.4191063456e-07
