r,P,m
0.0000000000e+00,2.1729360000e+02,0.0000000000e+00
1.9996542543e-04,2.1729359884e+02,3.7185294363e-13
3.9993085086e-04,2.1729359630e+02,1.3811680704e-12
5.9989627629e-04,2.1729359263e+02,3.3466764562e-12
7.9986170172e-04,2.1729358787e+02,6.5871091579e-12
9.9982712715e-04,2.1729358203e+02,1.1421197207e-11
1.1997925526e-03,2.1729357512e+02,1.8167671605e-11
1.3997579780e-03,2.1729356713e+02,2.7145263312e-11
1.5997234034e-03,2.1729355808e+02,3.8672703247e-11
1.7996888289e-03,2.1729354796e+02,5.3068722277e-11
1.9996542543e-03,2.1729353677e+02,7.0652051212e-11
2.1996196797e-03,2.1729352451e+02,9.1741420800e-11
2.3995851052e-03,2.1729351119e+02,1.1665556172e-10
2.5995505306e-03,2.1729349680e+02,1.4571320457e-10
2.7995159560e-03,2.1729348134e+02,1.7923307987e-10
2.9994813815e-03,2.1729346481e+02,2.1753391805e-10
3.1994468069e-03,2.1729344722e+02,2.6093444946e-10
3.3994122323e-03,2.1729342856e+02,3.0975340431e-10
3.5993776577e-03,2.1729340884e+02,3.6430951275e-10
3.7993430832e-03,2.1729338805e+02,4.2492150479e-10
3.9993085086e-03,2.1729336619e+02,4.9190811031e-10
4.1992739340e-03,2.1729334327e+02,5.6558805909e-10
4.3992393595e-03,2.1729331927e+02,6.4628008076e-10
4.5992047849e-03,2.1729329422e+02,7.3430290481e-10
4.7991702103e-03,2.1729326809e+02,8.2997526060e-10
4.9991356358e-03,2.1729324090e+02,9.3361587733e-10
5.1991010612e-03,2.1729321265e+02,1.0455434840e-09
5.3990664866e-03,2.1729318332e+02,1.1660768096e-09
5.5990319120e-03,2.1729315293e+02,1.2955345827e-09
5.7989973375e-03,2.1729312148e+02,1.4342355319e-09
5.9989627629e-03,2.1729308895e+02,1.5824983855e-09
6.1989281883e-03,2.1729305537e+02,1.7406418717e-09
6.3988936138e-03,2.1729302071e+02,1.9089847184e-09
6.5988590392e-03,2.1729298499e+02,2.0878456534e-09
6.7988244646e-03,2.1729294820e+02,2.2775434043e-09
6.9987898901e-03,2.1729291035e+02,2.4783966984e-09
7.1987553155e-03,2.1729287143e+02,2.6907242627e-09
7.3987207409e-03,2.1729283144e+02,2.9148448242e-09
7.5986861663e-03,2.1729279038e+02,3.1510771096e-09
7.7986515918e-03,2.1729274827e+02,3.3997398452e-09
7.9986170172e-03,2.1729270508e+02,3.6611517571e-09
8.1985824426e-03,2.1729266083e+02,3.9356315714e-09
8.3985478681e-03,2.1729261551e+02,4.2234980137e-09
8.5985132935e-03,2.1729256912e+02,4.5250698093e-09
8.7984787189e-03,2.1729252167e+02,4.8406656833e-09
8.9984441444e-03,2.1729247315e+02,5.1706043607e-09
9.1984095698e-03,2.1729242357e+02,5.5152045659e-09
9.3983749952e-03,2.1729237292e+02,5.8747850232e-09
9.5983404206e-03,2.1729232120e+02,6.2496644566e-09
9.7983058461e-03,2.1729226842e+02,6.6401615897e-09
9.9982712715e-03,2.1729221457e+02,7.0465951458e-09
1.0198236697e-02,2.1729215965e+02,7.4692838481e-09
1.0398202122e-02,2.1729210367e+02,7.9085464193e-09
1.0598167548e-02,2.1729204662e+02,8.3647015816e-09
1.0798132973e-02,2.1729198851e+02,8.8380680572e-09
1.0998098399e-02,2.1729192933e+02,9.3289645677e-09
1.1198063824e-02,2.1729186908e+02,9.8377098346e-09
1.1398029250e-02,2.1729180777e+02,1.0364622579e-08
1.1597994675e-02,2.1729174539e+02,1.0910021521e-08
1.1797960100e-02,2.1729168194e+02,1.1474225381e-08
1.1997925526e-02,2.1729161743e+02,1.2057552880e-08
1.2197890951e-02,2.1729155185e+02,1.2660322736e-08
