h,P0,R,M
1.000000e-05,2.328343e-04,3.998849e+01,2.271829e-02
1.000000e-05,2.382577e-04,3.989730e+01,2.281678e-02
1.000000e-05,2.438075e-04,3.980632e+01,2.291567e-02
1.000000e-05,2.494865e-04,3.971493e+01,2.301479e-02
1.000000e-05,2.552978e-04,3.962355e+01,2.311425e-02
1.000000e-05,2.612444e-04,3.953176e+01,2.321401e-02
1.000000e-05,2.673296e-04,3.943978e+01,2.331406e-02
1.000000e-05,2.735565e-04,3.934780e+01,2.341444e-02
1.000000e-05,2.799284e-04,3.925561e+01,2.351516e-02
1.000000e-05,2.864488e-04,3.916323e+01,2.361617e-02
1.000000e-05,2.931210e-04,3.907084e+01,2.371753e-02
1.000000e-05,2.999487e-04,3.897806e+01,2.381917e-02
1.000000e-05,3.069354e-04,3.888528e+01,2.392116e-02
1.000000e-05,3.140848e-04,3.879229e+01,2.402348e-02
1.000000e-05,3.214008e-04,3.869931e+01,2.412615e-02
1.000000e-05,3.288872e-04,3.860612e+01,2.422914e-02
1.000000e-05,3.365480e-04,3.851274e+01,2.433247e-02
1.000000e-05,3.443872e-04,3.841916e+01,2.443611e-02
1.000000e-05,3.524090e-04,3.832557e+01,2.454012e-02
1.000000e-05,3.606177e-04,3.823179e+01,2.464446e-02
1.000000e-05,3.690175e-04,3.813801e+01,2.474917e-02
1.000000e-05,3.776130e-04,3.804422e+01,2.485423e-02
1.000000e-05,3.864088e-04,3.795024e+01,2.495964e-02
1.000000e-05,3.954094e-04,3.785605e+01,2.506539e-02
1.000000e-05,4.046197e-04,3.776167e+01,2.517148e-02
1.000000e-05,4.140445e-04,3.766729e+01,2.527795e-02
1.000000e-05,4.236888e-04,3.757290e+01,2.538479e-02
1.000000e-05,4.335578e-04,3.747852e+01,2.549199e-02
1.000000e-05,4.436566e-04,3.738394e+01,2.559957e-02
1.000000e-05,4.539907e-04,3.728935e+01,2.570751e-02
1.000000e-05,4.645655e-04,3.719457e+01,2.581581e-02
1.000000e-05,4.753867e-04,3.709979e+01,2.592450e-02
1.000000e-05,4.864598e-04,3.700500e+01,2.603357e-02
1.000000e-05,4.977909e-04,3.691002e+01,2.614300e-02
1.000000e-05,5.093860e-04,3.681503e+01,2.625283e-02
1.000000e-05,5.212511e-04,3.672005e+01,2.636303e-02
1.000000e-05,5.333926e-04,3.662507e+01,2.647365e-02
1.000000e-05,5.458169e-04,3.653008e+01,2.658464e-02
1.000000e-05,5.585306e-04,3.643470e+01,2.669599e-02
1.000000e-05,5.715405e-04,3.633972e+01,2.680779e-02
1.000000e-05,5.848534e-04,3.624433e+01,2.691995e-02
1.000000e-05,5.984763e-04,3.614915e+01,2.703252e-02
1.000000e-05,6.124166e-04,3.605397e+01,2.714551e-02
