r,P,m
2.1196335096e-02,9.4850071712e+02,8.1709986417e-08
2.1396300521e-02,9.4850033429e+02,8.4022388371e-08
2.1596265946e-02,9.4849994789e+02,8.6378011008e-08
2.1796231372e-02,9.4849955794e+02,8.8777254500e-08
2.1996196797e-02,9.4849916442e+02,9.1220519018e-08
2.2196162223e-02,9.4849876734e+02,9.3708204731e-08
2.2396127648e-02,9.4849836670e+02,9.6240711811e-08
2.2596093074e-02,9.4849796250e+02,9.8818440425e-08
2.2796058499e-02,9.4849755474e+02,1.0144179074e-07
2.2996023924e-02,9.4849714342e+02,1.0411116293e-07
2.3195989350e-02,9.4849672853e+02,1.0682695717e-07
2.3395954775e-02,9.4849631009e+02,1.0958957360e-07
2.3595920201e-02,9.4849588809e+02,1.1239941241e-07
2.3795885626e-02,9.4849546252e+02,1.1525687376e-07
2.3995851052e-02,9.4849503339e+02,1.1816235781e-07
2.4195816477e-02,9.4849460070e+02,1.2111626474e-07
2.4395781902e-02,9.4849416445e+02,1.2411899469e-07
2.4595747328e-02,9.4849372464e+02,1.2717094784e-07
2.4795712753e-02,9.4849328127e+02,1.3027252435e-07
2.4995678179e-02,9.4849283434e+02,1.3342412438e-07
2.5195643604e-02,9.4849238384e+02,1.3662614809e-07
2.5395609030e-02,9.4849192979e+02,1.3987899565e-07
2.5595574455e-02,9.4849147217e+02,1.4318306720e-07
2.5795539880e-02,9.4849101100e+02,1.4653876293e-07
2.5995505306e-02,9.4849054626e+02,1.4994648297e-07
2.6195470731e-02,9.4849007796e+02,1.5340662749e-07
2.6395436157e-02,9.4848960610e+02,1.5691959665e-07
2.6595401582e-02,9.4848913068e+02,1.6048579061e-07
2.6795367008e-02,9.4848865170e+02,1.6410560951e-07
2.6995332433e-02,9.4848816915e+02,1.6777945352e-07
2.7195297858e-02,9.4848768305e+02,1.7150772279e-07
2.7395263284e-02,9.4848719338e+02,1.7529081748e-07
2.7595228709e-02,9.4848670016e+02,1.7912913774e-07
2.7795194135e-02,9.4848620337e+02,1.8302308371e-07
2.7995159560e-02,9.4848570302e+02,1.8697305557e-07
2.8195124986e-02,9.4848519912e+02,1.9097945344e-07
2.8395090411e-02,9.4848469165e+02,1.9504267749e-07
2.8595055836e-02,9.4848418062e+02,1.9916312787e-07
2.8795021262e-02,9.4848366602e+02,2.0334120472e-07
2.8994986687e-02,9.4848314787e+02,2.0757730820e-07
2.9194952113e-02,9.4848262616e+02,2.1187183844e-07
2.9394917538e-02,9.4848210088e+02,2.1622519560e-07
2.9594882964e-02,9.4848157205e+02,2.2063777983e-07
2.9794848389e-02,9.4848103965e+02,2.2510999127e-07
2.9994813815e-02,9.4848050369e+02,2.2964223006e-07
3.0194779240e-02,9.4847996418e+02,2.3423489635e-07
3.0394744665e-02,9.4847942110e+02,2.3888839028e-07
3.0594710091e-02,9.4847887446e+02,2.4360311200e-07
3.0794675516e-02,9.4847832426e+02,2.4837946164e-07
3.0994640942e-02,9.4847777049e+02,2.5321783935e-07
3.1194606367e-02,9.4847721317e+02,2.5811864526e-07
3.1394571793e-02,9.4847665229e+02,2.6308227952e-07
3.1594537218e-02,9.4847608784e+02,2.6810914227e-07
3.1794502643e-02,9.4847551984e+02,2.7319963364e-07
3.1994468069e-02,9.4847494827e+02,2.7835415377e-07
