h,P0,R,M
1.000000e-05,6.871428e-05,3.007080e+00,1.159673e-04
1.000000e-05,7.031484e-05,3.014479e+00,1.178855e-04
1.000000e-05,7.195268e-05,3.021878e+00,1.198354e-04
1.000000e-05,7.362868e-05,3.029276e+00,1.218175e-04
1.000000e-05,7.534371e-05,3.036675e+00,1.238324e-04
1.000000e-05,7.709869e-05,3.044274e+00,1.258807e-04
1.000000e-05,7.889455e-05,3.051672e+00,1.279628e-04
1.000000e-05,8.073224e-05,3.059071e+00,1.300793e-04
1.000000e-05,8.261273e-05,3.066670e+00,1.322309e-04
1.000000e-05,8.453703e-05,3.074068e+00,1.344179e-04
1.000000e-05,8.650615e-05,3.081667e+00,1.366413e-04
1.000000e-05,8.852114e-05,3.089266e+00,1.389014e-04
1.000000e-05,9.058306e-05,3.096865e+00,1.411988e-04
1.000000e-05,9.269301e-05,3.104463e+00,1.435342e-04
1.000000e-05,9.485211e-05,3.112062e+00,1.459083e-04
1.000000e-05,9.706150e-05,3.119661e+00,1.483216e-04
1.000000e-05,9.932235e-05,3.127259e+00,1.507748e-04
1.000000e-05,1.016359e-04,3.134858e+00,1.532685e-04
1.000000e-05,1.040033e-04,3.142657e+00,1.558036e-04
1.000000e-05,1.064258e-04,3.150255e+00,1.583805e-04
1.000000e-05,1.089048e-04,3.158054e+00,1.610001e-04
1.000000e-05,1.114415e-04,3.165653e+00,1.636628e-04
1.000000e-05,1.140373e-04,3.173451e+00,1.663698e-04
1.000000e-05,1.166936e-04,3.181250e+00,1.691215e-04
1.000000e-05,1.194117e-04,3.189049e+00,1.719186e-04
1.000000e-05,1.221932e-04,3.196847e+00,1.747620e-04
1.000000e-05,1.250394e-04,3.204646e+00,1.776525e-04
1.000000e-05,1.279520e-04,3.212445e+00,1.805906e-04
1.000000e-05,1.309324e-04,3.220443e+00,1.835776e-04
1.000000e-05,1.339822e-04,3.228242e+00,1.866137e-04
1.000000e-05,1.371030e-04,3.236240e+00,1.897002e-04
1.000000e-05,1.402965e-04,3.244039e+00,1.928375e-04
1.000000e-05,1.435645e-04,3.252038e+00,1.960269e-04
1.000000e-05,1.469085e-04,3.260036e+00,1.992690e-04
1.000000e-05,1.503305e-04,3.268035e+00,2.025646e-04
1.000000e-05,1.538321e-04,3.276034e+00,2.059148e-04
1.000000e-05,1.574153e-04,3.284032e+00,2.093203e-04
1.000000e-05,1.610820e-04,3.292031e+00,2.127821e-04
1.000000e-05,1.648341e-04,3.300229e+00,2.163013e-04
1.000000e-05,1.686736e-04,3.308228e+00,2.198785e-04
1.000000e-05,1.726025e-04,3.316427e+00,2.235150e-04
1.000000e-05,1.766229e-04,3.324425e+00,2.272115e-04
1.000000e-05,1.807370e-04,3.332624e+00,2.309692e-04
1.000000e-05,1.849469e-04,3.340822e+00,2.347890e-04
1.000000e-05,1.892548e-04,3.349021e+00,2.386720e-04
1.000000e-05,1.936631e-04,3.357220e+00,2.426191e-04
1.000000e-05,1.981741e-04,3.365418e+00,2.466315e-04
1.000000e-05,2.027902e-04,3.373617e+00,2.507102e-04
1.000000e-05,2.075138e-04,3.381815e+00,2.548563e-04
1.000000e-05,2.123474e-04,3.390214e+00,2.590712e-04
1.000000e-05,2.172936e-04,3.398412e+00,2.633555e-04
1.000000e-05,2.223550e-04,3.406811e+00,2.677108e-04
1.000000e-05,2.275344e-04,3.415210e+00,2.721381e-04
1.000000e-05,2.328343e-04,3.423408e+00,2.766384e-04
1.000000e-05,2.382577e-04,3.431807e+00,2.812132e-04
1.000000e-05,2.438075e-04,3.440205e+00,2.858637e-04
1.000000e-05,2.494865e-04,3.448804e+00,2.905911e-04
1.000000e-05,2.552978e-04,3.457202e+00,2.953966e-04
1.000000e-05,2.612444e-04,3.465601e+00,3.002815e-04
1.000000e-05,2.673296e-04,3.474199e+00,3.052473e-04
1.000000e-05,2.735565e-04,3.482598e+00,3.102949e-04
1.000000e-05,2.799284e-04,3.491196e+00,3.154262e-04
1.000000e-05,2.864488e-04,3.499595e+00,3.206421e-04
1.000000e-05,2.931210e-04,3.508193e+00,3.259444e-04
1.000000e-05,2.999487e-04,3.516792e+00,3.313343e-04
1.000000e-05,3.069354e-04,3.525390e+00,3.368133e-04
1.000000e-05,3.140848e-04,3.533989e+00,3.423828e-04
1.000000e-05,3.214008e-04,3.542787e+00,3.480446e-04
1.000000e-05,3.288872e-04,3.551386e+00,3.537998e-04
1.000000e-05,3.365480e-04,3.560184e+00,3.596502e-04
1.000000e-05,3.443872e-04,3.568783e+00,3.655971e-04
1.000000e-05,3.524090e-04,3.577581e+00,3.716425e-04
1.000000e-05,3.606177e-04,3.586380e+00,3.777878e-04
1.000000e-05,3.690175e-04,3.595178e+00,3.840347e-04
1.000000e-05,3.776130e-04,3.603977e+00,3.903848e-04
1.000000e-05,3.864088e-04,3.612775e+00,3.968398e-04
1.000000e-05,3.954094e-04,3.621574e+00,4.034015e-04
1.000000e-05,4.046197e-04,3.630372e+00,4.100715e-04
1.000000e-05,4.140445e-04,3.639371e+00,4.168521e-04
1.000000e-05,4.236888e-04,3.648169e+00,4.237444e-04
1.000000e-05,4.335578e-04,3.657168e+00,4.307509e-04
1.000000e-05,4.436566e-04,3.666166e+00,4.378731e-04
1.000000e-05,4.539907e-04,3.675165e+00,4.451130e-04
1.000000e-05,4.645655e-04,3.684163e+00,4.524726e-04
1.000000e-05,4.753867e-04,3.693161e+00,4.599537e-04
1.000000e-05,4.864598e-04,3.702160e+00,4.675584e-04
1.000000e-05,4.977909e-04,3.711158e+00,4.752888e-04
1.000000e-05,5.093860e-04,3.720357e+00,4.831471e-04
1.000000e-05,5.212511e-04,3.729355e+00,4.911351e-04
1.000000e-05,5.333926e-04,3.738554e+00,4.992552e-04
1.000000e-05,5.458169e-04,3.747752e+00,5.075095e-04
1.000000e-05,5.585306e-04,3.756750e+00,5.158999e-04
1.000000e-05,5.715405e-04,3.765949e+00,5.244291e-04
1.000000e-05,5.848534e-04,3.775147e+00,5.330993e-04
1.000000e-05,5.984763e-04,3.784546e+00,5.419130e-04
1.000000e-05,6.124166e-04,3.793744e+00,5.508720e-04
1.000000e-05,6.266817e-04,3.802942e+00,5.599790e-04
