r,Phi
0.0000000000e+00,0.0000000000e+00
1.9996542543e-04,-nan
3.9993085086e-04,-1.4444251154e+00
5.9989627629e-04,-1.4444251126e+00
7.9986170172e-04,-1.4444251093e+00
9.9982712715e-04,-1.4444251052e+00
1.1997925526e-03,-1.4444251003e+00
1.3997579780e-03,-1.4444250946e+00
1.5997234034e-03,-1.4444250880e+00
1.7996888289e-03,-1.4444250806e+00
1.9996542543e-03,-1.4444250723e+00
2.1996196797e-03,-1.4444250631e+00
2.3995851052e-03,-1.4444250532e+00
2.5995505306e-03,-1.4444250423e+00
2.7995159560e-03,-1.4444250306e+00
2.9994813815e-03,-1.4444250180e+00
3.1994468069e-03,-1.4444250046e+00
3.3994122323e-03,-1.4444249903e+00
3.5993776577e-03,-1.4444249752e+00
3.7993430832e-03,-1.4444249592e+00
3.9993085086e-03,-1.4444249423e+00
4.1992739340e-03,-1.4444249246e+00
4.3992393595e-03,-1.4444249060e+00
4.5992047849e-03,-1.4444248865e+00
4.7991702103e-03,-1.4444248662e+00
4.9991356358e-03,-1.4444248450e+00
5.1991010612e-03,-1.4444248229e+00
5.3990664866e-03,-1.4444248000e+00
5.5990319120e-03,-1.4444247762e+00
5.7989973375e-03,-1.4444247516e+00
5.9989627629e-03,-1.4444247261e+00
6.1989281883e-03,-1.4444246997e+00
6.3988936138e-03,-1.4444246725e+00
6.5988590392e-03,-1.4444246444e+00
6.7988244646e-03,-1.4444246154e+00
6.9987898901e-03,-1.4444245856e+00
7.1987553155e-03,-1.4444245549e+00
7.3987207409e-03,-1.4444245234e+00
7.5986861663e-03,-1.4444244909e+00
7.7986515918e-03,-1.4444244577e+00
7.9986170172e-03,-1.4444244235e+00
8.1985824426e-03,-1.4444243885e+00
8.3985478681e-03,-1.4444243526e+00
8.5985132935e-03,-1.4444243159e+00
8.7984787189e-03,-1.4444242783e+00
8.9984441444e-03,-1.4444242398e+00
9.1984095698e-03,-1.4444242005e+00
9.3983749952e-03,-1.4444241603e+00
9.5983404206e-03,-1.4444241192e+00
9.7983058461e-03,-1.4444240773e+00
9.9982712715e-03,-1.4444240345e+00
1.0198236697e-02,-1.4444239908e+00
1.0398202122e-02,-1.4444239463e+00
1.0598167548e-02,-1.4444239009e+00
1.0798132973e-02,-1.4444238547e+00
1.0998098399e-02,-1.4444238076e+00
1.1198063824e-02,-1.4444237596e+00
1.1398029250e-02,-1.4444237107e+00
1.1597994675e-02,-1.4444236610e+00
1.1797960100e-02,-1.4444236105e+00
1.1997925526e-02,-1.4444235590e+00
1.2197890951e-02,-1.4444235067e+00
1.2397856377e-02,-1.4444234536e+00
1.2597821802e-02,-1.4444233995e+00
1.2797787228e-02,-1.4444233446e+00
1.2997752653e-02,-1.4444232889e+00
1.3197718078e-02,-1.4444232322e+00
1.3397683504e-02,-1.4444231747e+00
1.3597648929e-02,-1.4444231164e+00
1.3797614355e-02,-1.4444230572e+00
1.3997579780e-02,-1.4444229971e+00
1.4197545206e-02,-1.4444229361e+00
1.4397510631e-02,-1.4444228743e+00
1.4597476056e-02,-1.4444228117e+00
