h,P0,R,M
1.000000e-05,2.371374e+00,2.097800e+00,9.527311e-01
1.000000e-05,7.498942e+00,2.044390e+00,9.157896e-01
1.000000e-05,5.623413e+00,2.053150e+00,9.226008e-01
1.000000e-05,4.216965e+00,2.064690e+00,9.309684e-01
1.000000e-05,3.162278e+00,2.079450e+00,9.410012e-01
1.000000e-05,1.778279e+00,2.120000e+00,9.660963e-01
1.000000e-05,1.333521e+00,2.146120e+00,9.808928e-01
1.000000e-05,1.000000e+01,2.037930e+00,9.103616e-01
1.000000e-05,1.333521e+01,2.033320e+00,9.061294e-01
1.000000e-05,1.778279e+01,2.030160e+00,9.029064e-01
1.000000e-05,2.371374e+01,2.028090e+00,9.005011e-01
1.000000e-05,3.162278e+01,2.026820e+00,8.987469e-01
1.000000e-05,4.216965e+01,2.026110e+00,8.974922e-01
1.000000e-05,5.623413e+01,2.025780e+00,8.966144e-01
1.000000e-05,7.498942e+01,2.025700e+00,8.960181e-01
1.000000e-05,4.216965e+02,2.026770e+00,8.951313e-01
1.000000e-05,2.371374e+02,2.026370e+00,8.951699e-01
1.000000e-05,1.000000e+02,2.025780e+00,8.956307e-01
1.000000e-05,1.333521e+02,2.025940e+00,8.953832e-01
1.000000e-05,1.778279e+02,2.026150e+00,8.952433e-01
1.000000e-05,3.162278e+02,2.026580e+00,8.951380e-01
1.000000e-05,5.623413e+02,2.026940e+00,8.951421e-01
1.000000e-05,7.498942e+02,2.027090e+00,8.951639e-01
1.000000e-05,1.000000e+03,2.027220e+00,8.951914e-01
1.000000e-05,1.333521e+03,2.027320e+00,8.952121e-01
1.000000e-05,1.778279e+03,2.027410e+00,8.952382e-01
1.000000e-05,2.371374e+03,2.027480e+00,8.952589e-01
1.000000e-05,3.162278e+03,2.027540e+00,8.952797e-01
1.000000e-05,4.216965e+03,2.027590e+00,8.952989e-01
1.000000e-05,5.623413e+03,2.027620e+00,8.953072e-01
1.000000e-05,2.371374e+04,2.027720e+00,8.953495e-01
1.000000e-05,1.333521e+04,2.027700e+00,8.953428e-01
1.000000e-05,7.498942e+03,2.027650e+00,8.953191e-01
1.000000e-05,1.000000e+04,2.027680e+00,8.953338e-01
1.000000e-05,1.778279e+04,2.027710e+00,8.953455e-01
1.000000e-05,4.216965e+04,2.027740e+00,8.953601e-01
1.000000e-05,3.162278e+04,2.027730e+00,8.953545e-01
1.000000e-05,5.623413e+04,2.027740e+00,8.953585e-01
1.000000e-05,7.498942e+04,2.027750e+00,8.953651e-01
1.000000e-05,1.000000e+05,2.027750e+00,8.953642e-01
1.000000e-05,1.333521e+05,2.027750e+00,8.953635e-01
1.000000e-05,1.778279e+05,2.027760e+00,8.953708e-01
1.000000e-05,2.371374e+05,2.027760e+00,8.953704e-01
1.000000e-05,3.162278e+05,2.027760e+00,8.953701e-01
1.000000e-05,4.216965e+05,2.027760e+00,8.953699e-01
1.000000e-05,5.623413e+05,2.027760e+00,8.953697e-01
1.000000e-05,7.498942e+05,2.027760e+00,8.953696e-01
1.000000e-05,1.333521e+06,2.027760e+00,8.953694e-01
1.000000e-05,1.000000e+06,2.027760e+00,8.953695e-01
1.000000e-05,3.162278e+06,2.027760e+00,8.953693e-01
1.000000e-05,1.778279e+06,2.027760e+00,8.953693e-01
1.000000e-05,2.371374e+06,2.027760e+00,8.953693e-01
1.000000e-05,1.333521e+07,2.027760e+00,8.953692e-01
1.000000e-05,4.216965e+06,2.027760e+00,8.953692e-01
1.000000e-05,5.623413e+06,2.027760e+00,8.953692e-01
1.000000e-05,1.000000e+07,2.027760e+00,8.953692e-01
1.000000e-05,7.498942e+06,2.027760e+00,8.953692e-01
1.000000e-05,2.371374e+07,2.027760e+00,8.953692e-01
1.000000e-05,1.778279e+07,2.027760e+00,8.953692e-01
