h,P0,R,M
1.000000e-05,7.889455e-03,3.992590e+01,1.245786e-01
1.000000e-05,8.073224e-03,3.983151e+01,1.254150e-01
1.000000e-05,8.261273e-03,3.973713e+01,1.262568e-01
1.000000e-05,8.453703e-03,3.964315e+01,1.271039e-01
1.000000e-05,8.650615e-03,3.954916e+01,1.279565e-01
1.000000e-05,8.852114e-03,3.945558e+01,1.288146e-01
1.000000e-05,9.058306e-03,3.936219e+01,1.296781e-01
1.000000e-05,9.269301e-03,3.926881e+01,1.305472e-01
1.000000e-05,9.485211e-03,3.917583e+01,1.314218e-01
1.000000e-05,9.706150e-03,3.908284e+01,1.323020e-01
1.000000e-05,9.932235e-03,3.899026e+01,1.331878e-01
1.000000e-05,1.016359e-02,3.889767e+01,1.340793e-01
1.000000e-05,1.040033e-02,3.880549e+01,1.349764e-01
1.000000e-05,1.064258e-02,3.871331e+01,1.358793e-01
1.000000e-05,1.089048e-02,3.862132e+01,1.367878e-01
1.000000e-05,1.114415e-02,3.852974e+01,1.377022e-01
1.000000e-05,1.140373e-02,3.843815e+01,1.386223e-01
1.000000e-05,1.166936e-02,3.834677e+01,1.395483e-01
1.000000e-05,1.194117e-02,3.825559e+01,1.404801e-01
1.000000e-05,1.221932e-02,3.816460e+01,1.414179e-01
1.000000e-05,1.250394e-02,3.807382e+01,1.423616e-01
1.000000e-05,1.279520e-02,3.798343e+01,1.433112e-01
1.000000e-05,1.309324e-02,3.789285e+01,1.442668e-01
1.000000e-05,1.339822e-02,3.780266e+01,1.452285e-01
1.000000e-05,1.371030e-02,3.771268e+01,1.461962e-01
1.000000e-05,1.402965e-02,3.762289e+01,1.471700e-01
1.000000e-05,1.435645e-02,3.753331e+01,1.481500e-01
1.000000e-05,1.469085e-02,3.744373e+01,1.491360e-01
1.000000e-05,1.503305e-02,3.735454e+01,1.501283e-01
1.000000e-05,1.538321e-02,3.726536e+01,1.511268e-01
1.000000e-05,1.574153e-02,3.717657e+01,1.521316e-01
1.000000e-05,1.610820e-02,3.708779e+01,1.531426e-01
1.000000e-05,1.648341e-02,3.699920e+01,1.541600e-01
1.000000e-05,1.686736e-02,3.691082e+01,1.551837e-01
1.000000e-05,1.726025e-02,3.682283e+01,1.562138e-01
1.000000e-05,1.766229e-02,3.673465e+01,1.572504e-01
1.000000e-05,1.807370e-02,3.664686e+01,1.582934e-01
1.000000e-05,1.849469e-02,3.655928e+01,1.593429e-01
1.000000e-05,1.892548e-02,3.647189e+01,1.603989e-01
1.000000e-05,1.936631e-02,3.638451e+01,1.614614e-01
1.000000e-05,1.981741e-02,3.629752e+01,1.625306e-01
1.000000e-05,2.027902e-02,3.621054e+01,1.636063e-01
1.000000e-05,2.075138e-02,3.612375e+01,1.646888e-01
1.000000e-05,2.123474e-02,3.603717e+01,1.657779e-01
1.000000e-05,2.172936e-02,3.595078e+01,1.668737e-01
1.000000e-05,2.223550e-02,3.586460e+01,1.679763e-01
1.000000e-05,2.275344e-02,3.577861e+01,1.690857e-01
1.000000e-05,2.328343e-02,3.569283e+01,1.702019e-01
1.000000e-05,2.382577e-02,3.560704e+01,1.713250e-01
1.000000e-05,2.438075e-02,3.552146e+01,1.724550e-01
1.000000e-05,2.494865e-02,3.543627e+01,1.735919e-01
1.000000e-05,2.552978e-02,3.535109e+01,1.747357e-01
1.000000e-05,2.612444e-02,3.526610e+01,1.758866e-01
1.000000e-05,2.673296e-02,3.518112e+01,1.770445e-01
1.000000e-05,2.735565e-02,3.509653e+01,1.782094e-01
1.000000e-05,2.799284e-02,3.501195e+01,1.793815e-01
1.000000e-05,2.864488e-02,3.492776e+01,1.805606e-01
1.000000e-05,2.931210e-02,3.484358e+01,1.817470e-01
1.000000e-05,2.999487e-02,3.475959e+01,1.829405e-01
1.000000e-05,3.069354e-02,3.467580e+01,1.841413e-01
1.000000e-05,3.140848e-02,3.459222e+01,1.853494e-01
1.000000e-05,3.214008e-02,3.450863e+01,1.865648e-01
1.000000e-05,3.288872e-02,3.442545e+01,1.877875e-01
1.000000e-05,3.365480e-02,3.434226e+01,1.890175e-01
1.000000e-05,3.443872e-02,3.425928e+01,1.902550e-01
1.000000e-05,3.524090e-02,3.417649e+01,1.914999e-01
1.000000e-05,3.606177e-02,3.409371e+01,1.927523e-01
1.000000e-05,3.690175e-02,3.401132e+01,1.940122e-01
1.000000e-05,3.776130e-02,3.392893e+01,1.952797e-01
1.000000e-05,3.864088e-02,3.384675e+01,1.965547e-01
1.000000e-05,3.954094e-02,3.376476e+01,1.978374e-01
1.000000e-05,4.046197e-02,3.368298e+01,1.991277e-01
1.000000e-05,4.140445e-02,3.360119e+01,2.004256e-01
1.000000e-05,4.236888e-02,3.351980e+01,2.017313e-01
1.000000e-05,4.335578e-02,3.343842e+01,2.030448e-01
1.000000e-05,4.436566e-02,3.335723e+01,2.043660e-01
1.000000e-05,4.539907e-02,3.327625e+01,2.056950e-01
1.000000e-05,4.645655e-02,3.319526e+01,2.070319e-01
1.000000e-05,4.753867e-02,3.311447e+01,2.083767e-01
1.000000e-05,4.864598e-02,3.303389e+01,2.097294e-01
1.000000e-05,4.977909e-02,3.295350e+01,2.110900e-01
1.000000e-05,5.093860e-02,3.287332e+01,2.124586e-01
1.000000e-05,5.212511e-02,3.279313e+01,2.138353e-01
1.000000e-05,5.333926e-02,3.271334e+01,2.152200e-01
