r,Phi
0.0000000000e+00,-1.8740692787e-01
1.9996542543e-04,-nan
3.9993085086e-04,-1.0979974846e+00
5.9989627629e-04,-1.0979974804e+00
7.9986170172e-04,-1.0979974755e+00
9.9982712715e-04,-1.0979974696e+00
1.1997925526e-03,-1.0979974628e+00
1.3997579780e-03,-1.0979974548e+00
1.5997234034e-03,-1.0979974458e+00
1.7996888289e-03,-1.0979974357e+00
1.9996542543e-03,-1.0979974245e+00
2.1996196797e-03,-1.0979974122e+00
2.3995851052e-03,-1.0979973988e+00
2.5995505306e-03,-1.0979973843e+00
2.7995159560e-03,-1.0979973686e+00
2.9994813815e-03,-1.0979973519e+00
3.1994468069e-03,-1.0979973340e+00
3.3994122323e-03,-1.0979973150e+00
3.5993776577e-03,-1.0979972949e+00
3.7993430832e-03,-1.0979972737e+00
3.9993085086e-03,-1.0979972513e+00
4.1992739340e-03,-1.0979972279e+00
4.3992393595e-03,-1.0979972033e+00
4.5992047849e-03,-1.0979971776e+00
4.7991702103e-03,-1.0979971508e+00
4.9991356358e-03,-1.0979971228e+00
5.1991010612e-03,-1.0979970938e+00
5.3990664866e-03,-1.0979970636e+00
5.5990319120e-03,-1.0979970323e+00
5.7989973375e-03,-1.0979969999e+00
5.9989627629e-03,-1.0979969663e+00
6.1989281883e-03,-1.0979969316e+00
6.3988936138e-03,-1.0979968958e+00
6.5988590392e-03,-1.0979968589e+00
6.7988244646e-03,-1.0979968209e+00
6.9987898901e-03,-1.0979967817e+00
7.1987553155e-03,-1.0979967415e+00
7.3987207409e-03,-1.0979967000e+00
7.5986861663e-03,-1.0979966575e+00
7.7986515918e-03,-1.0979966139e+00
7.9986170172e-03,-1.0979965691e+00
8.1985824426e-03,-1.0979965232e+00
8.3985478681e-03,-1.0979964762e+00
8.5985132935e-03,-1.0979964281e+00
8.7984787189e-03,-1.0979963788e+00
8.9984441444e-03,-1.0979963284e+00
9.1984095698e-03,-1.0979962769e+00
9.3983749952e-03,-1.0979962243e+00
9.5983404206e-03,-1.0979961705e+00
9.7983058461e-03,-1.0979961156e+00
9.9982712715e-03,-1.0979960597e+00
1.0198236697e-02,-1.0979960025e+00
1.0398202122e-02,-1.0979959443e+00
1.0598167548e-02,-1.0979958849e+00
1.0798132973e-02,-1.0979958244e+00
