P,rho
6.500000e-01,1.818479e+00
6.600000e-01,1.826000e+00
6.700000e-01,1.833444e+00
6.800000e-01,1.840815e+00
6.900000e-01,1.848113e+00
7.000000e-01,1.855341e+00
7.100000e-01,1.862500e+00
7.200000e-01,1.869592e+00
7.300000e-01,1.876618e+00
7.400000e-01,1.883579e+00
7.500000e-01,1.890478e+00
7.600000e-01,1.897315e+00
7.700000e-01,1.904091e+00
7.800000e-01,1.910809e+00
7.900000e-01,1.917469e+00
8.000000e-01,1.924072e+00
8.100000e-01,1.930620e+00
8.200000e-01,1.937113e+00
8.300000e-01,1.943554e+00
8.400000e-01,1.949942e+00
8.500000e-01,1.956279e+00
8.600000e-01,1.962566e+00
8.700000e-01,1.968803e+00
8.800000e-01,1.974992e+00
8.900000e-01,1.981134e+00
9.000000e-01,1.987229e+00
9.100000e-01,1.993278e+00
9.200000e-01,1.999283e+00
9.300000e-01,2.005243e+00
9.400000e-01,2.011160e+00
9.500000e-01,2.017034e+00
9.600000e-01,2.022867e+00
9.700000e-01,2.028658e+00
9.800000e-01,2.034409e+00
9.900000e-01,2.040120e+00
1.000000e+00,2.045793e+00
1.010000e+00,2.051426e+00
1.020000e+00,2.057022e+00
1.030000e+00,2.062581e+00
1.040000e+00,2.068103e+00
1.050000e+00,2.073589e+00
1.060000e+00,2.079039e+00
1.070000e+00,2.084455e+00
1.080000e+00,2.089836e+00
1.090000e+00,2.095183e+00
1.100000e+00,2.100497e+00
1.110000e+00,2.105778e+00
1.120000e+00,2.111027e+00
1.130000e+00,2.116243e+00
1.140000e+00,2.121429e+00
1.150000e+00,2.126583e+00
1.160000e+00,2.131707e+00
1.170000e+00,2.136800e+00
1.180000e+00,2.141864e+00
1.190000e+00,2.146899e+00
1.200000e+00,2.151905e+00
1.210000e+00,2.156882e+00
1.220000e+00,2.161832e+00
1.230000e+00,2.166753e+00
1.240000e+00,2.171647e+00
1.250000e+00,2.176515e+00
1.260000e+00,2.181355e+00
1.270000e+00,2.186170e+00
1.280000e+00,2.190959e+00
1.290000e+00,2.195721e+00
1.300000e+00,2.200459e+00
1.310000e+00,2.205172e+00
1.320000e+00,2.209860e+00
1.330000e+00,2.214524e+00
1.340000e+00,2.219164e+00
1.350000e+00,2.223780e+00
1.360000e+00,2.228373e+00
1.370000e+00,2.232942e+00
1.380000e+00,2.237489e+00
1.390000e+00,2.242013e+00
1.400000e+00,2.246515e+00
1.410000e+00,2.250995e+00
1.420000e+00,2.255453e+00
1.430000e+00,2.259889e+00
1.440000e+00,2.264305e+00
1.450000e+00,2.268699e+00
1.460000e+00,2.273072e+00
1.470000e+00,2.277425e+00
1.480000e+00,2.281758e+00
1.490000e+00,2.286070e+00
1.500000e+00,2.290362e+00
1.510000e+00,2.294635e+00
1.520000e+00,2.298889e+00
1.530000e+00,2.303123e+00
1.540000e+00,2.307338e+00
1.550000e+00,2.311534e+00
1.560000e+00,2.315712e+00
1.570000e+00,2.319871e+00
1.580000e+00,2.324013e+00
1.590000e+00,2.328136e+00
1.600000e+00,2.332241e+00
1.610000e+00,2.336328e+00
1.620000e+00,2.340399e+00
1.630000e+00,2.344451e+00
1.640000e+00,2.348487e+00
1.650000e+00,2.352506e+00
1.660000e+00,2.356508e+00
1.670000e+00,2.360493e+00
1.680000e+00,2.364462e+00
1.690000e+00,2.368415e+00
1.700000e+00,2.372351e+00
1.710000e+00,2.376272e+00
1.720000e+00,2.380177e+00
1.730000e+00,2.384066e+00
1.740000e+00,2.387940e+00
1.750000e+00,2.391798e+00
1.760000e+00,2.395641e+00
1.770000e+00,2.399469e+00
1.780000e+00,2.403282e+00
1.790000e+00,2.407080e+00
1.800000e+00,2.410864e+00
1.810000e+00,2.414633e+00
1.820000e+00,2.418388e+00
1.830000e+00,2.422129e+00
1.840000e+00,2.425855e+00
1.850000e+00,2.429568e+00
1.860000e+00,2.433266e+00
1.870000e+00,2.436951e+00
1.880000e+00,2.440622e+00
1.890000e+00,2.444280e+00
1.900000e+00,2.447925e+00
1.910000e+00,2.451556e+00
1.920000e+00,2.455174e+00
1.930000e+00,2.458779e+00
1.940000e+00,2.462371e+00
1.950000e+00,2.465950e+00
1.960000e+00,2.469517e+00
1.970000e+00,2.473071e+00
1.980000e+00,2.476613e+00
1.990000e+00,2.480142e+00
2.000000e+00,2.483659e+00
2.010000e+00,2.487164e+00
2.020000e+00,2.490656e+00
2.030000e+00,2.494137e+00
2.040000e+00,2.497606e+00
2.050000e+00,2.501063e+00
2.060000e+00,2.504508e+00
2.070000e+00,2.507942e+00
2.080000e+00,2.511365e+00
2.090000e+00,2.514776e+00
2.100000e+00,2.518175e+00
2.110000e+00,2.521564e+00
2.120000e+00,2.524941e+00
2.130000e+00,2.528308e+00
2.140000e+00,2.531663e+00
2.150000e+00,2.535008e+00
2.160000e+00,2.538341e+00
2.170000e+00,2.541664e+00
2.180000e+00,2.544977e+00
2.190000e+00,2.548279e+00
2.200000e+00,2.551570e+00
2.210000e+00,2.554851e+00
2.220000e+00,2.558122e+00
2.230000e+00,2.561383e+00
2.240000e+00,2.564633e+00
2.250000e+00,2.567874e+00
2.260000e+00,2.571104e+00
2.270000e+00,2.574325e+00
2.280000e+00,2.577536e+00
2.290000e+00,2.580736e+00
2.300000e+00,2.583928e+00
2.310000e+00,2.587109e+00
2.320000e+00,2.590281e+00
2.330000e+00,2.593444e+00
2.340000e+00,2.596597e+00
2.350000e+00,2.599741e+00
2.360000e+00,2.602875e+00
2.370000e+00,2.606001e+00
2.380000e+00,2.609117e+00
2.390000e+00,2.612224e+00
2.400000e+00,2.615322e+00
2.410000e+00,2.618411e+00
2.420000e+00,2.621491e+00
2.430000e+00,2.624563e+00
2.440000e+00,2.627625e+00
2.450000e+00,2.630679e+00
2.460000e+00,2.633724e+00
2.470000e+00,2.636761e+00
2.480000e+00,2.639789e+00
2.490000e+00,2.642809e+00
2.500000e+00,2.645820e+00
2.510000e+00,2.648822e+00
2.520000e+00,2.651817e+00
2.530000e+00,2.654803e+00
2.540000e+00,2.657781e+00
2.550000e+00,2.660751e+00
2.560000e+00,2.663713e+00
2.570000e+00,2.666667e+00
2.580000e+00,2.669612e+00
2.590000e+00,2.672550e+00
2.600000e+00,2.675480e+00
2.610000e+00,2.678402e+00
2.620000e+00,2.681317e+00
2.630000e+00,2.684223e+00
2.640000e+00,2.687122e+00
2.650000e+00,2.690013e+00
2.660000e+00,2.692897e+00
2.670000e+00,2.695773e+00
2.680000e+00,2.698642e+00
2.690000e+00,2.701503e+00
2.700000e+00,2.704357e+00
2.710000e+00,2.707203e+00
2.720000e+00,2.710043e+00
2.730000e+00,2.712875e+00
2.740000e+00,2.715699e+00
2.750000e+00,2.718517e+00
2.760000e+00,2.721327e+00
2.770000e+00,2.724130e+00
2.780000e+00,2.726927e+00
2.790000e+00,2.729716e+00
2.800000e+00,2.732498e+00
2.810000e+00,2.735274e+00
2.820000e+00,2.738042e+00
2.830000e+00,2.740804e+00
2.840000e+00,2.743559e+00
2.850000e+00,2.746307e+00
2.860000e+00,2.749048e+00
2.870000e+00,2.751783e+00
2.880000e+00,2.754511e+00
2.890000e+00,2.757233e+00
2.900000e+00,2.759948e+00
2.910000e+00,2.762656e+00
2.920000e+00,2.765358e+00
2.930000e+00,2.768054e+00
2.940000e+00,2.770743e+00
2.950000e+00,2.773425e+00
2.960000e+00,2.776102e+00
2.970000e+00,2.778772e+00
2.980000e+00,2.781436e+00
2.990000e+00,2.784093e+00
3.000000e+00,2.786745e+00
3.010000e+00,2.789390e+00
3.020000e+00,2.792029e+00
3.030000e+00,2.794662e+00
3.040000e+00,2.797289e+00
3.050000e+00,2.799910e+00
3.060000e+00,2.802525e+00
3.070000e+00,2.805134e+00
3.080000e+00,2.807738e+00
3.090000e+00,2.810335e+00
3.100000e+00,2.812926e+00
3.110000e+00,2.815512e+00
3.120000e+00,2.818091e+00
3.130000e+00,2.820665e+00
3.140000e+00,2.823234e+00
3.150000e+00,2.825796e+00
3.160000e+00,2.828353e+00
3.170000e+00,2.830904e+00
3.180000e+00,2.833450e+00
3.190000e+00,2.835990e+00
3.200000e+00,2.838524e+00
3.210000e+00,2.841053e+00
3.220000e+00,2.843577e+00
3.230000e+00,2.846095e+00
3.240000e+00,2.848607e+00
3.250000e+00,2.851115e+00
3.260000e+00,2.853616e+00
3.270000e+00,2.856113e+00
3.280000e+00,2.858604e+00
3.290000e+00,2.861090e+00
3.300000e+00,2.863570e+00
3.310000e+00,2.866046e+00
3.320000e+00,2.868516e+00
3.330000e+00,2.870981e+00
3.340000e+00,2.873440e+00
3.350000e+00,2.875895e+00
3.360000e+00,2.878344e+00
3.370000e+00,2.880789e+00
3.380000e+00,2.883228e+00
3.390000e+00,2.885662e+00
3.400000e+00,2.888092e+00
3.410000e+00,2.890516e+00
3.420000e+00,2.892935e+00
3.430000e+00,2.895350e+00
3.440000e+00,2.897759e+00
3.450000e+00,2.900164e+00
3.460000e+00,2.902563e+00
3.470000e+00,2.904958e+00
3.480000e+00,2.907348e+00
3.490000e+00,2.909733e+00
3.500000e+00,2.912114e+00
3.510000e+00,2.914490e+00
3.520000e+00,2.916861e+00
3.530000e+00,2.919227e+00
3.540000e+00,2.921589e+00
3.550000e+00,2.923946e+00
3.560000e+00,2.926298e+00
3.570000e+00,2.928646e+00
3.580000e+00,2.930989e+00
3.590000e+00,2.933327e+00
3.600000e+00,2.935661e+00
3.610000e+00,2.937991e+00
3.620000e+00,2.940316e+00
3.630000e+00,2.942636e+00
3.640000e+00,2.944952e+00
3.650000e+00,2.947264e+00
3.660000e+00,2.949571e+00
3.670000e+00,2.951874e+00
3.680000e+00,2.954172e+00
3.690000e+00,2.956466e+00
3.700000e+00,2.958756e+00
3.710000e+00,2.961041e+00
3.720000e+00,2.963322e+00
3.730000e+00,2.965599e+00
3.740000e+00,2.967871e+00
3.750000e+00,2.970140e+00
3.760000e+00,2.972404e+00
3.770000e+00,2.974663e+00
3.780000e+00,2.976919e+00
3.790000e+00,2.979170e+00
3.800000e+00,2.981418e+00
3.810000e+00,2.983661e+00
3.820000e+00,2.985900e+00
3.830000e+00,2.988135e+00
3.840000e+00,2.990366e+00
3.850000e+00,2.992593e+00
3.860000e+00,2.994815e+00
3.870000e+00,2.997034e+00
3.880000e+00,2.999249e+00
3.890000e+00,3.001460e+00
3.900000e+00,3.003666e+00
3.910000e+00,3.005869e+00
3.920000e+00,3.008068e+00
3.930000e+00,3.010263e+00
3.940000e+00,3.012454e+00
3.950000e+00,3.014641e+00
3.960000e+00,3.016824e+00
3.970000e+00,3.019004e+00
3.980000e+00,3.021179e+00
3.990000e+00,3.023351e+00
4.000000e+00,3.025519e+00
4.010000e+00,3.027683e+00
4.020000e+00,3.029844e+00
4.030000e+00,3.032000e+00
4.040000e+00,3.034153e+00
4.050000e+00,3.036302e+00
4.060000e+00,3.038448e+00
4.070000e+00,3.040590e+00
4.080000e+00,3.042728e+00
4.090000e+00,3.044862e+00
4.100000e+00,3.046993e+00
4.110000e+00,3.049120e+00
4.120000e+00,3.051243e+00
4.130000e+00,3.053363e+00
4.140000e+00,3.055480e+00
4.150000e+00,3.057592e+00
4.160000e+00,3.059702e+00
4.170000e+00,3.061807e+00
4.180000e+00,3.063909e+00
4.190000e+00,3.066008e+00
4.200000e+00,3.068103e+00
4.210000e+00,3.070194e+00
4.220000e+00,3.072283e+00
4.230000e+00,3.074367e+00
4.240000e+00,3.076448e+00
4.250000e+00,3.078526e+00
