h,P0,R,M
1.000000e-05,1.192874e+02,4.418113e+01,1.277987e+01
1.000000e-05,1.501740e+02,4.365331e+01,1.261445e+01
1.000000e-05,1.890579e+02,4.316823e+01,1.245314e+01
1.000000e-05,2.380098e+02,4.273049e+01,1.229961e+01
1.000000e-05,2.996365e+02,4.234270e+01,1.215667e+01
1.000000e-05,3.772200e+02,4.200527e+01,1.202616e+01
1.000000e-05,5.978535e+02,4.147444e+01,1.180578e+01
1.000000e-05,4.748919e+02,4.171678e+01,1.190908e+01
1.000000e-05,7.526529e+02,4.127463e+01,1.171614e+01
1.000000e-05,9.475339e+02,4.111273e+01,1.163949e+01
1.000000e-05,1.192874e+03,4.098414e+01,1.157496e+01
1.000000e-05,1.501740e+03,4.088383e+01,1.152131e+01
1.000000e-05,1.890579e+03,4.080740e+01,1.147743e+01
1.000000e-05,2.380098e+03,4.075042e+01,1.144196e+01
1.000000e-05,2.996365e+03,4.070910e+01,1.141368e+01
1.000000e-05,3.772200e+03,4.068021e+01,1.139148e+01
1.000000e-05,4.748919e+03,4.066095e+01,1.137432e+01
1.000000e-05,5.978535e+03,4.064871e+01,1.136113e+01
1.000000e-05,7.526529e+03,4.064189e+01,1.135123e+01
1.000000e-05,9.475339e+03,4.063908e+01,1.134401e+01
1.000000e-05,1.192874e+04,4.063868e+01,1.133866e+01
1.000000e-05,1.501740e+04,4.064008e+01,1.133488e+01
1.000000e-05,1.890579e+04,4.064269e+01,1.133232e+01
1.000000e-05,2.380098e+04,4.064570e+01,1.133053e+01
1.000000e-05,2.996365e+04,4.064931e+01,1.132955e+01
1.000000e-05,3.772200e+04,4.065272e+01,1.132890e+01
1.000000e-05,4.748919e+04,4.065613e+01,1.132865e+01
1.000000e-05,5.978535e+04,4.065914e+01,1.132852e+01
1.000000e-05,7.526529e+04,4.066195e+01,1.132858e+01
1.000000e-05,9.475339e+04,4.066456e+01,1.132877e+01
1.000000e-05,1.192874e+05,4.066697e+01,1.132907e+01
1.000000e-05,1.501740e+05,4.066897e+01,1.132932e+01
1.000000e-05,1.890579e+05,4.067058e+01,1.132952e+01
1.000000e-05,2.380098e+05,4.067218e+01,1.132983e+01
1.000000e-05,2.996365e+05,4.067339e+01,1.133003e+01
1.000000e-05,3.772200e+05,4.067439e+01,1.133020e+01
1.000000e-05,4.748919e+05,4.067539e+01,1.133044e+01
1.000000e-05,5.978535e+05,4.067619e+01,1.133063e+01
1.000000e-05,7.526529e+05,4.067680e+01,1.133076e+01
1.000000e-05,9.475339e+05,4.067740e+01,1.133092e+01
1.000000e-05,1.192874e+06,4.067780e+01,1.133101e+01
1.000000e-05,1.501740e+06,4.067820e+01,1.133113e+01
1.000000e-05,1.890579e+06,4.067840e+01,1.133116e+01
1.000000e-05,2.380098e+06,4.067880e+01,1.133130e+01
1.000000e-05,2.996365e+06,4.067900e+01,1.133135e+01
1.000000e-05,7.526529e+06,4.067940e+01,1.133145e+01
1.000000e-05,4.748919e+06,4.067920e+01,1.133139e+01
1.000000e-05,3.772200e+06,4.067900e+01,1.133132e+01
1.000000e-05,5.978535e+06,4.067940e+01,1.133146e+01
1.000000e-05,9.475339e+06,4.067961e+01,1.133153e+01
1.000000e-05,1.192874e+07,4.067961e+01,1.133152e+01
1.000000e-05,1.501740e+07,4.067961e+01,1.133151e+01
1.000000e-05,1.890579e+07,4.067961e+01,1.133150e+01
1.000000e-05,2.380098e+07,4.067981e+01,1.133160e+01
1.000000e-05,3.772200e+07,4.067981e+01,1.133159e+01
1.000000e-05,2.996365e+07,4.067981e+01,1.133159e+01
1.000000e-05,4.748919e+07,4.067981e+01,1.133159e+01
1.000000e-05,5.978535e+07,4.067981e+01,1.133158e+01
1.000000e-05,7.526529e+07,4.067981e+01,1.133158e+01
1.000000e-05,9.475339e+07,4.067981e+01,1.133158e+01
1.000000e-05,1.192874e+08,4.067981e+01,1.133158e+01
1.000000e-05,1.890579e+08,4.067981e+01,1.133158e+01
1.000000e-05,1.501740e+08,4.067981e+01,1.133158e+01
1.000000e-05,2.380098e+08,4.067981e+01,1.133158e+01
1.000000e-05,2.996365e+08,4.067981e+01,1.133158e+01
1.000000e-05,3.772200e+08,4.067981e+01,1.133158e+01
1.000000e-05,4.748919e+08,4.067981e+01,1.133158e+01
1.000000e-05,5.978535e+08,4.067981e+01,1.133157e+01
1.000000e-05,7.526529e+08,4.067981e+01,1.133157e+01
1.000000e-05,1.192874e+09,4.067981e+01,1.133157e+01
1.000000e-05,9.475339e+08,4.067981e+01,1.133157e+01
1.000000e-05,1.501740e+09,4.067981e+01,1.133157e+01
1.000000e-05,1.890579e+09,4.067981e+01,1.133157e+01
1.000000e-05,2.380098e+09,4.067981e+01,1.133157e+01
1.000000e-05,2.996365e+09,4.067981e+01,1.133157e+01
1.000000e-05,3.772200e+09,4.067981e+01,1.133157e+01
1.000000e-05,4.748919e+09,4.067981e+01,1.133157e+01
1.000000e-05,5.978535e+09,4.067981e+01,1.133157e+01
1.000000e-05,7.526529e+09,4.067981e+01,1.133157e+01
1.000000e-05,9.475339e+09,4.067981e+01,1.133157e+01
1.000000e-05,1.192874e+10,4.067981e+01,1.133157e+01
1.000000e-05,1.501740e+10,4.067981e+01,1.133157e+01
1.000000e-05,1.890579e+10,4.067981e+01,1.133157e+01
1.000000e-05,2.380098e+10,4.067981e+01,1.133157e+01
1.000000e-05,2.996365e+10,4.067981e+01,1.133157e+01
1.000000e-05,3.772200e+10,4.067981e+01,1.133157e+01
1.000000e-05,4.748919e+10,4.067981e+01,1.133157e+01
1.000000e-05,5.978535e+10,4.067981e+01,1.133157e+01
1.000000e-05,7.526529e+10,4.067981e+01,1.133157e+01
1.000000e-05,9.475339e+10,4.067981e+01,1.133157e+01
1.000000e-05,1.192874e+11,4.067981e+01,1.133157e+01
1.000000e-05,1.501740e+11,4.067981e+01,1.133157e+01
1.000000e-05,1.890579e+11,4.067981e+01,1.133157e+01
1.000000e-05,2.380098e+11,4.067981e+01,1.133157e+01
1.000000e-05,2.996365e+11,4.067981e+01,1.133157e+01
1.000000e-05,3.772200e+11,4.067981e+01,1.133157e+01
1.000000e-05,4.748919e+11,4.067981e+01,1.133157e+01
1.000000e-05,5.978535e+11,4.067981e+01,1.133157e+01
1.000000e-05,7.526529e+11,4.067981e+01,1.133157e+01
1.000000e-05,9.475339e+11,4.067981e+01,1.133157e+01
1.000000e-05,1.192874e+12,4.067981e+01,1.133157e+01
