r,P,m
2.1265137000e-02,9.4751353833e+02,7.6362220393e-08
2.1465751500e-02,9.4751315590e+02,7.8523279958e-08
2.1666366000e-02,9.4751276991e+02,8.0724731493e-08
2.1866980500e-02,9.4751238036e+02,8.2966948978e-08
2.2067595000e-02,9.4751198725e+02,8.5250306396e-08
2.2268209500e-02,9.4751159058e+02,8.7575177725e-08
2.2468824000e-02,9.4751119036e+02,8.9941936946e-08
2.2669438500e-02,9.4751078658e+02,9.2350958036e-08
2.2870053000e-02,9.4751037925e+02,9.4802614975e-08
2.3070667500e-02,9.4750996835e+02,9.7297281741e-08
2.3271282000e-02,9.4750955390e+02,9.9835332311e-08
2.3471896500e-02,9.4750913589e+02,1.0241714066e-07
2.3672511000e-02,9.4750871433e+02,1.0504308077e-07
2.3873125500e-02,9.4750828920e+02,1.0771352661e-07
2.4073740000e-02,9.4750786052e+02,1.1042885216e-07
2.4274354500e-02,9.4750742828e+02,1.1318943139e-07
2.4474969000e-02,9.4750699249e+02,1.1599563827e-07
2.4675583500e-02,9.4750655313e+02,1.1884784679e-07
2.4876198000e-02,9.4750611022e+02,1.2174643091e-07
2.5076812500e-02,9.4750566376e+02,1.2469176460e-07
2.5277427000e-02,9.4750521373e+02,1.2768422184e-07
2.5478041500e-02,9.4750476015e+02,1.3072417660e-07
2.5678656000e-02,9.4750430301e+02,1.3381200284e-07
2.5879270500e-02,9.4750384231e+02,1.3694807454e-07
2.6079885000e-02,9.4750337806e+02,1.4013276567e-07
2.6280499500e-02,9.4750291025e+02,1.4336645020e-07
2.6481114000e-02,9.4750243888e+02,1.4664950209e-07
2.6681728500e-02,9.4750196395e+02,1.4998229531e-07
2.6882343000e-02,9.4750148547e+02,1.5336520382e-07
2.7082957500e-02,9.4750100343e+02,1.5679860161e-07
2.7283572000e-02,9.4750051783e+02,1.6028286262e-07
2.7484186500e-02,9.4750002867e+02,1.6381836082e-07
2.7684801000e-02,9.4749953596e+02,1.6740547018e-07
2.7885415500e-02,9.4749903969e+02,1.7104456467e-07
2.8086030000e-02,9.4749853986e+02,1.7473601824e-07
2.8286644500e-02,9.4749803648e+02,1.7848020485e-07
2.8487259000e-02,9.4749752954e+02,1.8227749848e-07
2.8687873500e-02,9.4749701904e+02,1.8612827307e-07
2.8888488000e-02,9.4749650498e+02,1.9003290260e-07
2.9089102500e-02,9.4749598737e+02,1.9399176101e-07
2.9289717000e-02,9.4749546620e+02,1.9800522227e-07
2.9490331500e-02,9.4749494147e+02,2.0207366034e-07
2.9690946000e-02,9.4749441319e+02,2.0619744917e-07
2.9891560500e-02,9.4749388135e+02,2.1037696272e-07
3.0092175000e-02,9.4749334595e+02,2.1461257494e-07
3.0292789500e-02,9.4749280699e+02,2.1890465980e-07
3.0493404000e-02,9.4749226448e+02,2.2325359125e-07
3.0694018500e-02,9.4749171840e+02,2.2765974323e-07
3.0894633000e-02,9.4749116878e+02,2.3212348971e-07
3.1095247500e-02,9.4749061559e+02,2.3664520463e-07
3.1295862000e-02,9.4749005885e+02,2.4122526195e-07
3.1496476500e-02,9.4748949855e+02,2.4586403562e-07
3.1697091000e-02,9.4748893469e+02,2.5056189958e-07
3.1897705500e-02,9.4748836728e+02,2.5531922780e-07
3.2098320000e-02,9.4748779631e+02,2.6013639421e-07
3.2298934500e-02,9.4748722178e+02,2.6501377276e-07
3.2499549000e-02,9.4748664369e+02,2.6995173741e-07
3.2700163500e-02,9.4748606205e+02,2.7495066210e-07
3.2900778000e-02,9.4748547685e+02,2.8001092077e-07
3.3101392500e-02,9.4748488809e+02,2.8513288736e-07
3.3302007000e-02,9.4748429578e+02,2.9031693583e-07
3.3502621500e-02,9.4748369991e+02,2.9556344012e-07
3.3703236000e-02,9.4748310048e+02,3.0087277417e-07
3.3903850500e-02,9.4748249750e+02,3.0624531191e-07
3.4104465000e-02,9.4748189095e+02,3.1168142730e-07
3.4305079500e-02,9.4748128085e+02,3.1718149427e-07
3.4505694000e-02,9.4748066720e+02,3.2274588676e-07
3.4706308500e-02,9.4748004998e+02,3.2837497871e-07
3.4906923000e-02,9.4747942921e+02,3.3406914405e-07
3.5107537500e-02,9.4747880489e+02,3.3982875673e-07
3.5308152000e-02,9.4747817700e+02,3.4565419068e-07
3.5508766500e-02,9.4747754556e+02,3.5154581984e-07
3.5709381000e-02,9.4747691056e+02,3.5750401813e-07
3.5909995500e-02,9.4747627200e+02,3.6352915950e-07
3.6110610000e-02,9.4747562989e+02,3.6962161787e-07
3.6311224500e-02,9.4747498422e+02,3.7578176718e-07
3.6511839000e-02,9.4747433499e+02,3.8200998136e-07
3.6712453500e-02,9.4747368221e+02,3.8830663433e-07
3.6913068000e-02,9.4747302587e+02,3.9467210004e-07
3.7113682500e-02,9.4747236597e+02,4.0110675240e-07
3.7314297000e-02,9.4747170251e+02,4.0761096534e-07
3.7514911500e-02,9.4747103550e+02,4.1418511279e-07
3.7715526000e-02,9.4747036493e+02,4.2082956868e-07
3.7916140500e-02,9.4746969081e+02,4.2754470693e-07
3.8116755000e-02,9.4746901312e+02,4.3433090147e-07
3.8317369500e-02,9.4746833188e+02,4.4118852621e-07
3.8517984000e-02,9.4746764709e+02,4.4811795508e-07
3.8718598500e-02,9.4746695873e+02,4.5511956201e-07
3.8919213000e-02,9.4746626682e+02,4.6219372090e-07
3.9119827500e-02,9.4746557136e+02,4.6934080569e-07
3.9320442000e-02,9.4746487233e+02,4.7656119028e-07
3.9521056500e-02,9.4746416975e+02,4.8385524860e-07
3.9721671000e-02,9.4746346361e+02,4.9122335457e-07
3.9922285500e-02,9.4746275392e+02,4.9866588209e-07
4.0122900000e-02,9.4746204066e+02,5.0618320509e-07
4.0323514500e-02,9.4746132385e+02,5.1377569748e-07
4.0524129000e-02,9.4746060349e+02,5.2144373316e-07
4.0724743500e-02,9.4745987956e+02,5.2918768606e-07
4.0925358000e-02,9.4745915208e+02,5.3700793008e-07
4.1125972500e-02,9.4745842105e+02,5.4490483913e-07
4.1326587000e-02,9.4745768645e+02,5.5287878713e-07
4.1527201500e-02,9.4745694830e+02,5.6093014798e-07
4.1727816000e-02,9.4745620660e+02,5.6905929558e-07
4.1928430500e-02,9.4745546133e+02,5.7726660385e-07
4.2129045000e-02,9.4745471251e+02,5.8555244668e-07
4.2329659500e-02,9.4745396013e+02,5.9391719799e-07
4.2530274000e-02,9.4745320420e+02,6.0236123167e-07
4.2730888500e-02,9.4745244471e+02,6.1088492163e-07
4.2931503000e-02,9.4745168166e+02,6.1948864177e-07
4.3132117500e-02,9.4745091505e+02,6.2817276599e-07
4.3332732000e-02,9.4745014489e+02,6.3693766818e-07
4.3533346500e-02,9.4744937117e+02,6.4578372225e-07
4.3733961000e-02,9.4744859390e+02,6.5471130209e-07
4.3934575500e-02,9.4744781307e+02,6.6372078160e-07
4.4135190000e-02,9.4744702868e+02,6.7281253468e-07
4.4335804500e-02,9.4744624073e+02,6.8198693521e-07
4.4536419000e-02,9.4744544923e+02,6.9124435709e-07
4.4737033500e-02,9.4744465417e+02,7.0058517421e-07
4.4937648000e-02,9.4744385556e+02,7.1000976047e-07
4.5138262500e-02,9.4744305338e+02,7.1951848975e-07
4.5338877000e-02,9.4744224765e+02,7.2911173593e-07
4.5539491500e-02,9.4744143837e+02,7.3878987292e-07
4.5740106000e-02,9.4744062552e+02,7.4855327459e-07
4.5940720500e-02,9.4743980913e+02,7.5840231483e-07
4.6141335000e-02,9.4743898917e+02,7.6833736753e-07
4.6341949500e-02,9.4743816566e+02,7.7835880656e-07
4.6542564000e-02,9.4743733859e+02,7.8846700581e-07
4.6743178500e-02,9.4743650796e+02,7.9866233917e-07
4.6943793000e-02,9.4743567378e+02,8.0894518050e-07
4.7144407500e-02,9.4743483604e+02,8.1931590369e-07
4.7345022000e-02,9.4743399474e+02,8.2977488262e-07
4.7545636500e-02,9.4743314989e+02,8.4032249116e-07
4.7746251000e-02,9.4743230148e+02,8.5095910319e-07
4.7946865500e-02,9.4743144952e+02,8.6168509259e-07
4.8147480000e-02,9.4743059399e+02,8.7250083322e-07
4.8348094500e-02,9.4742973492e+02,8.8340669896e-07
4.8548709000e-02,9.4742887228e+02,8.9440306368e-07
4.8749323500e-02,9.4742800609e+02,9.0549030124e-07
4.8949938000e-02,9.4742713634e+02,9.1666878553e-07
4.9150552500e-02,9.4742626304e+02,9.2793889040e-07
4.9351167000e-02,9.4742538617e+02,9.3930098972e-07
4.9551781500e-02,9.4742450576e+02,9.5075545736e-07
4.9752396000e-02,9.4742362178e+02,9.6230266718e-07
4.9953010500e-02,9.4742273425e+02,9.7394299304e-07
5.0153625000e-02,9.4742184316e+02,9.8567680881e-07
5.0354239500e-02,9.4742094852e+02,9.9750448834e-07
5.0554854000e-02,9.4742005032e+02,1.0094264055e-06
5.0755468500e-02,9.4741914856e+02,1.0214429341e-06
5.0956083000e-02,9.4741824325e+02,1.0335544481e-06
5.1156697500e-02,9.4741733438e+02,1.0457613213e-06
5.1357312000e-02,9.4741642195e+02,1.0580639275e-06
5.1557926500e-02,9.4741550597e+02,1.0704626406e-06
5.1758541000e-02,9.4741458643e+02,1.0829578345e-06
5.1959155500e-02,9.4741366333e+02,1.0955498830e-06
5.2159770000e-02,9.4741273668e+02,1.1082391599e-06
5.2360384500e-02,9.4741180647e+02,1.1210260392e-06
5.2560999000e-02,9.4741087271e+02,1.1339108946e-06
