h,P0,R,M
1.000000e-05,1.501740e-04,5.986156e+01,3.615449e-02
1.000000e-05,1.536720e-04,5.972314e+01,3.640347e-02
1.000000e-05,1.572515e-04,5.958491e+01,3.665415e-02
1.000000e-05,1.609143e-04,5.944709e+01,3.690654e-02
1.000000e-05,1.646625e-04,5.930947e+01,3.716065e-02
1.000000e-05,1.684980e-04,5.917225e+01,3.741649e-02
1.000000e-05,1.724228e-04,5.903523e+01,3.767408e-02
1.000000e-05,1.764391e-04,5.889861e+01,3.793342e-02
1.000000e-05,1.805489e-04,5.876239e+01,3.819454e-02
1.000000e-05,1.847544e-04,5.862638e+01,3.845743e-02
1.000000e-05,1.890579e-04,5.849056e+01,3.872212e-02
1.000000e-05,1.934616e-04,5.835515e+01,3.898861e-02
1.000000e-05,1.979679e-04,5.822013e+01,3.925692e-02
1.000000e-05,2.025792e-04,5.808532e+01,3.952706e-02
1.000000e-05,2.072978e-04,5.795091e+01,3.979903e-02
1.000000e-05,2.121264e-04,5.781670e+01,4.007286e-02
1.000000e-05,2.170675e-04,5.768269e+01,4.034856e-02
1.000000e-05,2.221236e-04,5.754908e+01,4.062613e-02
1.000000e-05,2.272975e-04,5.741587e+01,4.090559e-02
1.000000e-05,2.325920e-04,5.728286e+01,4.118695e-02
1.000000e-05,2.380098e-04,5.715026e+01,4.147023e-02
1.000000e-05,2.435537e-04,5.701785e+01,4.175544e-02
1.000000e-05,2.492268e-04,5.688585e+01,4.204259e-02
1.000000e-05,2.550320e-04,5.675404e+01,4.233169e-02
1.000000e-05,2.609725e-04,5.662244e+01,4.262275e-02
1.000000e-05,2.670513e-04,5.649124e+01,4.291580e-02
1.000000e-05,2.732718e-04,5.636044e+01,4.321084e-02
1.000000e-05,2.796371e-04,5.622984e+01,4.350788e-02
1.000000e-05,2.861507e-04,5.609944e+01,4.380695e-02
1.000000e-05,2.928160e-04,5.596944e+01,4.410804e-02
1.000000e-05,2.996365e-04,5.583964e+01,4.441119e-02
