h,P0,R,M
1.000000e-05,6.555333e-05,3.002196e+00,1.048793e-04
1.000000e-05,6.708026e-05,3.009619e+00,1.066141e-04
1.000000e-05,6.864276e-05,3.016841e+00,1.083775e-04
1.000000e-05,7.024166e-05,3.024264e+00,1.101701e-04
1.000000e-05,7.187780e-05,3.031686e+00,1.119924e-04
1.000000e-05,7.355204e-05,3.039109e+00,1.138448e-04
1.000000e-05,7.526529e-05,3.046532e+00,1.157278e-04
1.000000e-05,7.701845e-05,3.054155e+00,1.176421e-04
1.000000e-05,7.881244e-05,3.061578e+00,1.195879e-04
1.000000e-05,8.064821e-05,3.069001e+00,1.215658e-04
1.000000e-05,8.252675e-05,3.076624e+00,1.235766e-04
1.000000e-05,8.444905e-05,3.084047e+00,1.256205e-04
1.000000e-05,8.641612e-05,3.091670e+00,1.276984e-04
1.000000e-05,8.842901e-05,3.099293e+00,1.298105e-04
1.000000e-05,9.048878e-05,3.106917e+00,1.319576e-04
1.000000e-05,9.259654e-05,3.114540e+00,1.341402e-04
1.000000e-05,9.475339e-05,3.122163e+00,1.363588e-04
1.000000e-05,9.696048e-05,3.129787e+00,1.386142e-04
1.000000e-05,9.921898e-05,3.137410e+00,1.409068e-04
1.000000e-05,1.015301e-04,3.145034e+00,1.432374e-04
1.000000e-05,1.038950e-04,3.152857e+00,1.456065e-04
1.000000e-05,1.063151e-04,3.160481e+00,1.480148e-04
1.000000e-05,1.087914e-04,3.168305e+00,1.504629e-04
1.000000e-05,1.113255e-04,3.175928e+00,1.529514e-04
1.000000e-05,1.139186e-04,3.183752e+00,1.554812e-04
1.000000e-05,1.165721e-04,3.191576e+00,1.580528e-04
1.000000e-05,1.192874e-04,3.199400e+00,1.606669e-04
1.000000e-05,1.220660e-04,3.207224e+00,1.633242e-04
1.000000e-05,1.249093e-04,3.215048e+00,1.660254e-04
1.000000e-05,1.278188e-04,3.222872e+00,1.687713e-04
1.000000e-05,1.307961e-04,3.230897e+00,1.715627e-04
1.000000e-05,1.338427e-04,3.238720e+00,1.744002e-04
1.000000e-05,1.369603e-04,3.246745e+00,1.772846e-04
1.000000e-05,1.401505e-04,3.254569e+00,1.802167e-04
1.000000e-05,1.434151e-04,3.262594e+00,1.831973e-04
1.000000e-05,1.467556e-04,3.270618e+00,1.862272e-04
1.000000e-05,1.501740e-04,3.278643e+00,1.893071e-04
1.000000e-05,1.536720e-04,3.286667e+00,1.924380e-04
1.000000e-05,1.572515e-04,3.294692e+00,1.956207e-04
1.000000e-05,1.609143e-04,3.302717e+00,1.988559e-04
1.000000e-05,1.646625e-04,3.310942e+00,2.021448e-04
1.000000e-05,1.684980e-04,3.318966e+00,2.054879e-04
1.000000e-05,1.724228e-04,3.327191e+00,2.088864e-04
