r,Pot
1.10429e+01,6.41815e+15
1.12429e+01,6.31152e+15
1.14428e+01,6.21349e+15
1.16428e+01,6.12305e+15
1.18428e+01,6.03930e+15
1.20427e+01,5.96152e+15
1.22427e+01,5.88907e+15
1.24426e+01,5.82141e+15
1.26426e+01,5.75806e+15
1.28426e+01,5.69861e+15
1.30425e+01,5.64271e+15
1.32425e+01,5.59004e+15
1.34425e+01,5.54032e+15
1.36424e+01,5.49331e+15
1.38424e+01,5.44878e+15
1.40424e+01,5.40654e+15
1.42423e+01,5.36642e+15
1.44423e+01,5.32825e+15
1.46423e+01,5.29189e+15
1.48422e+01,5.25722e+15
1.50422e+01,5.22411e+15
1.52422e+01,5.19247e+15
1.54421e+01,5.16219e+15
1.56421e+01,5.13320e+15
1.58421e+01,5.10539e+15
1.60420e+01,5.07872e+15
1.62420e+01,5.05309e+15
1.64420e+01,5.02847e+15
1.66419e+01,5.00477e+15
1.68419e+01,4.98196e+15
1.70419e+01,4.95999e+15
1.72418e+01,4.93880e+15
1.74418e+01,4.91836e+15
1.76417e+01,4.89862e+15
1.78417e+01,4.87956e+15
1.80417e+01,4.86113e+15
1.82416e+01,4.84330e+15
1.84416e+01,4.82605e+15
1.86416e+01,4.80935e+15
1.88415e+01,4.79317e+15
1.90415e+01,4.77748e+15
1.92415e+01,4.76227e+15
1.94414e+01,4.74752e+15
1.96414e+01,4.73319e+15
1.98414e+01,4.71928e+15
2.00413e+01,4.70577e+15
2.02413e+01,4.69263e+15
2.04413e+01,4.67986e+15
2.06412e+01,4.66744e+15
2.08412e+01,4.65535e+15
2.10412e+01,4.64358e+15
2.12411e+01,4.63211e+15
2.14411e+01,4.62095e+15
2.16411e+01,4.61007e+15
2.18410e+01,4.59946e+15
2.20410e+01,4.58912e+15
2.22410e+01,4.57903e+15
2.24409e+01,4.56918e+15
2.26409e+01,4.55957e+15
2.28409e+01,4.55018e+15
2.30408e+01,4.54102e+15
2.32408e+01,4.53207e+15
2.34407e+01,4.52332e+15
2.36407e+01,4.51477e+15
2.38407e+01,4.50641e+15
2.40406e+01,4.49823e+15
2.42406e+01,4.49023e+15
2.44406e+01,4.48240e+15
2.46405e+01,4.47474e+15
2.48405e+01,4.46725e+15
2.50405e+01,4.45990e+15
2.52404e+01,4.45271e+15
2.54404e+01,4.44567e+15
2.56404e+01,4.43877e+15
2.58403e+01,4.43201e+15
2.60403e+01,4.42538e+15
2.62403e+01,4.41888e+15
2.64402e+01,4.41251e+15
2.66402e+01,4.40626e+15
2.68402e+01,4.40013e+15
2.70401e+01,4.39411e+15
2.72401e+01,4.38821e+15
2.74401e+01,4.38242e+15
2.76400e+01,4.37673e+15
2.78400e+01,4.37114e+15
2.80400e+01,4.36566e+15
2.82399e+01,4.36027e+15
2.84399e+01,4.35498e+15
2.86398e+01,4.34979e+15
2.88398e+01,4.34468e+15
2.90398e+01,4.33966e+15
