T,Teff
1.0000000e-02,9.0085253e-03
1.1000000e-02,9.9093779e-03
1.2000000e-02,1.0810231e-02
1.3000000e-02,1.1711083e-02
1.4000000e-02,1.2611936e-02
1.5000000e-02,1.3512788e-02
1.6000000e-02,1.4413641e-02
1.7000000e-02,1.5314493e-02
1.8000000e-02,1.6215346e-02
1.9000000e-02,1.7116198e-02
2.0000000e-02,1.8017051e-02
2.1000000e-02,1.8917904e-02
2.2000000e-02,1.9818756e-02
2.3000000e-02,2.0719609e-02
2.4000000e-02,2.1620461e-02
2.5000000e-02,2.2521314e-02
2.6000000e-02,2.3422166e-02
2.7000000e-02,2.4323019e-02
2.8000000e-02,2.5223871e-02
2.9000000e-02,2.6124724e-02
3.0000000e-02,2.7025577e-02
3.1000000e-02,2.7926429e-02
3.2000000e-02,2.8827282e-02
3.3000000e-02,2.9728134e-02
3.4000000e-02,3.0628987e-02
3.5000000e-02,3.1529839e-02
3.6000000e-02,3.2430692e-02
3.7000000e-02,3.3331544e-02
3.8000000e-02,3.4232397e-02
3.9000000e-02,3.5133250e-02
4.0000000e-02,3.6034102e-02
4.1000000e-02,3.6934955e-02
4.2000000e-02,3.7835807e-02
4.3000000e-02,3.8736660e-02
4.4000000e-02,3.9637512e-02
4.5000000e-02,4.0538365e-02
4.6000000e-02,4.1439217e-02
4.7000000e-02,4.2340070e-02
4.8000000e-02,4.3240923e-02
4.9000000e-02,4.4141775e-02
5.0000000e-02,4.5042628e-02
5.1000000e-02,4.5943480e-02
5.2000000e-02,4.6844333e-02
5.3000000e-02,4.7745185e-02
5.4000000e-02,4.8646038e-02
5.5000000e-02,4.9546890e-02
5.6000000e-02,5.0447743e-02
5.7000000e-02,5.1348595e-02
5.8000000e-02,5.2249448e-02
5.9000000e-02,5.3150301e-02
6.0000000e-02,5.4051153e-02
6.1000000e-02,5.4952006e-02
6.2000000e-02,5.5852858e-02
6.3000000e-02,5.6753711e-02
6.4000000e-02,5.7654563e-02
6.5000000e-02,5.8555416e-02
6.6000000e-02,5.9456268e-02
6.7000000e-02,6.0357121e-02
6.8000000e-02,6.1257974e-02
6.9000000e-02,6.2158826e-02
7.0000000e-02,6.3059679e-02
7.1000000e-02,6.3960531e-02
7.2000000e-02,6.4861384e-02
7.3000000e-02,6.5762236e-02
7.4000000e-02,6.6663089e-02
7.5000000e-02,6.7563941e-02
7.6000000e-02,6.8464794e-02
7.7000000e-02,6.9365647e-02
7.8000000e-02,7.0266499e-02
7.9000000e-02,7.1167352e-02
8.0000000e-02,7.2068204e-02
8.1000000e-02,7.2969057e-02
8.2000000e-02,7.3869909e-02
8.3000000e-02,7.4770762e-02
8.4000000e-02,7.5671614e-02
8.5000000e-02,7.6572467e-02
8.6000000e-02,7.7473320e-02
8.7000000e-02,7.8374172e-02
8.8000000e-02,7.9275025e-02
8.9000000e-02,8.0175877e-02
9.0000000e-02,8.1076730e-02
9.1000000e-02,8.1977582e-02
9.2000000e-02,8.2878435e-02
9.3000000e-02,8.3779287e-02
9.4000000e-02,8.4680140e-02
9.5000000e-02,8.5580992e-02
9.6000000e-02,8.6481845e-02
9.7000000e-02,8.7382698e-02
9.8000000e-02,8.8283550e-02
9.9000000e-02,8.9184403e-02
1.0000000e-01,9.0085255e-02
1.0100000e-01,9.0986108e-02
1.0200000e-01,9.1886960e-02
1.0300000e-01,9.2787813e-02
1.0400000e-01,9.3688665e-02
1.0500000e-01,9.4589518e-02
1.0600000e-01,9.5490371e-02
1.0700000e-01,9.6391223e-02
1.0800000e-01,9.7292076e-02
1.0900000e-01,9.8192928e-02
1.1000000e-01,9.9093781e-02
1.1100000e-01,9.9994633e-02
1.1200000e-01,1.0089549e-01
1.1300000e-01,1.0179634e-01
1.1400000e-01,1.0269719e-01
1.1500000e-01,1.0359804e-01
1.1600000e-01,1.0449890e-01
1.1700000e-01,1.0539975e-01
1.1800000e-01,1.0630060e-01
1.1900000e-01,1.0720145e-01
1.2000000e-01,1.0810231e-01
1.2100000e-01,1.0900316e-01
1.2200000e-01,1.0990401e-01
1.2300000e-01,1.1080486e-01
1.2400000e-01,1.1170572e-01
1.2500000e-01,1.1260657e-01
1.2600000e-01,1.1350742e-01
1.2700000e-01,1.1440827e-01
1.2800000e-01,1.1530913e-01
1.2900000e-01,1.1620998e-01
1.3000000e-01,1.1711083e-01
1.3100000e-01,1.1801168e-01
1.3200000e-01,1.1891254e-01
1.3300000e-01,1.1981339e-01
1.3400000e-01,1.2071424e-01
1.3500000e-01,1.2161509e-01
1.3600000e-01,1.2251595e-01
1.3700000e-01,1.2341680e-01
1.3800000e-01,1.2431765e-01
1.3900000e-01,1.2521850e-01
1.4000000e-01,1.2611936e-01
1.4100000e-01,1.2702021e-01
1.4200000e-01,1.2792106e-01
1.4300000e-01,1.2882191e-01
1.4400000e-01,1.2972277e-01
1.4500000e-01,1.3062362e-01
1.4600000e-01,1.3152447e-01
1.4700000e-01,1.3242533e-01
1.4800000e-01,1.3332618e-01
1.4900000e-01,1.3422703e-01
1.5000000e-01,1.3512788e-01
1.5100000e-01,1.3602874e-01
1.5200000e-01,1.3692959e-01
1.5300000e-01,1.3783044e-01
1.5400000e-01,1.3873129e-01
1.5500000e-01,1.3963215e-01
1.5600000e-01,1.4053300e-01
1.5700000e-01,1.4143385e-01
1.5800000e-01,1.4233470e-01
1.5900000e-01,1.4323556e-01
1.6000000e-01,1.4413641e-01
1.6100000e-01,1.4503726e-01
1.6200000e-01,1.4593811e-01
1.6300000e-01,1.4683897e-01
1.6400000e-01,1.4773982e-01
1.6500000e-01,1.4864067e-01
1.6600000e-01,1.4954152e-01
1.6700000e-01,1.5044238e-01
1.6800000e-01,1.5134323e-01
1.6900000e-01,1.5224408e-01
1.7000000e-01,1.5314493e-01
1.7100000e-01,1.5404579e-01
1.7200000e-01,1.5494664e-01
1.7300000e-01,1.5584749e-01
1.7400000e-01,1.5674834e-01
1.7500000e-01,1.5764920e-01
1.7600000e-01,1.5855005e-01
1.7700000e-01,1.5945090e-01
1.7800000e-01,1.6035175e-01
1.7900000e-01,1.6125261e-01
1.8000000e-01,1.6215346e-01
1.8100000e-01,1.6305431e-01
1.8200000e-01,1.6395516e-01
1.8300000e-01,1.6485602e-01
1.8400000e-01,1.6575687e-01
1.8500000e-01,1.6665772e-01
1.8600000e-01,1.6755857e-01
1.8700000e-01,1.6845943e-01
1.8800000e-01,1.6936028e-01
1.8900000e-01,1.7026113e-01
1.9000000e-01,1.7116198e-01
1.9100000e-01,1.7206284e-01
1.9200000e-01,1.7296369e-01
1.9300000e-01,1.7386454e-01
1.9400000e-01,1.7476540e-01
1.9500000e-01,1.7566625e-01
1.9600000e-01,1.7656710e-01
1.9700000e-01,1.7746795e-01
1.9800000e-01,1.7836881e-01
1.9900000e-01,1.7926966e-01
2.0000000e-01,1.8017051e-01
2.0100000e-01,1.8107136e-01
2.0200000e-01,1.8197222e-01
2.0300000e-01,1.8287307e-01
2.0400000e-01,1.8377392e-01
2.0500000e-01,1.8467477e-01
2.0600000e-01,1.8557563e-01
2.0700000e-01,1.8647648e-01
2.0800000e-01,1.8737733e-01
2.0900000e-01,1.8827818e-01
2.1000000e-01,1.8917904e-01
2.1100000e-01,1.9007989e-01
2.1200000e-01,1.9098074e-01
2.1300000e-01,1.9188159e-01
2.1400000e-01,1.9278245e-01
2.1500000e-01,1.9368330e-01
2.1600000e-01,1.9458415e-01
2.1700000e-01,1.9548500e-01
2.1800000e-01,1.9638586e-01
2.1900000e-01,1.9728671e-01
2.2000000e-01,1.9818756e-01
2.2100000e-01,1.9908841e-01
2.2200000e-01,1.9998927e-01
2.2300000e-01,2.0089012e-01
2.2400000e-01,2.0179097e-01
2.2500000e-01,2.0269182e-01
2.2600000e-01,2.0359268e-01
2.2700000e-01,2.0449353e-01
2.2800000e-01,2.0539438e-01
2.2900000e-01,2.0629523e-01
2.3000000e-01,2.0719609e-01
2.3100000e-01,2.0809694e-01
2.3200000e-01,2.0899779e-01
2.3300000e-01,2.0989864e-01
2.3400000e-01,2.1079950e-01
2.3500000e-01,2.1170035e-01
2.3600000e-01,2.1260120e-01
2.3700000e-01,2.1350205e-01
2.3800000e-01,2.1440291e-01
2.3900000e-01,2.1530376e-01
2.4000000e-01,2.1620461e-01
2.4100000e-01,2.1710547e-01
2.4200000e-01,2.1800632e-01
2.4300000e-01,2.1890717e-01
2.4400000e-01,2.1980802e-01
2.4500000e-01,2.2070888e-01
2.4600000e-01,2.2160973e-01
2.4700000e-01,2.2251058e-01
2.4800000e-01,2.2341143e-01
2.4900000e-01,2.2431229e-01
2.5000000e-01,2.2521314e-01
2.5100000e-01,2.2611399e-01
2.5200000e-01,2.2701484e-01
2.5300000e-01,2.2791570e-01
2.5400000e-01,2.2881655e-01
2.5500000e-01,2.2971740e-01
2.5600000e-01,2.3061825e-01
2.5700000e-01,2.3151911e-01
2.5800000e-01,2.3241996e-01
2.5900000e-01,2.3332081e-01
2.6000000e-01,2.3422166e-01
2.6100000e-01,2.3512252e-01
2.6200000e-01,2.3602337e-01
