T,Teff
1.0000000e-02,9.6157956e-03
1.1000000e-02,1.0577375e-02
1.2000000e-02,1.1538955e-02
1.3000000e-02,1.2500534e-02
1.4000000e-02,1.3462114e-02
1.5000000e-02,1.4423694e-02
1.6000000e-02,1.5385273e-02
1.7000000e-02,1.6346853e-02
1.8000000e-02,1.7308432e-02
1.9000000e-02,1.8270012e-02
2.0000000e-02,1.9231591e-02
2.1000000e-02,2.0193171e-02
2.2000000e-02,2.1154751e-02
2.3000000e-02,2.2116330e-02
2.4000000e-02,2.3077910e-02
2.5000000e-02,2.4039489e-02
2.6000000e-02,2.5001069e-02
2.7000000e-02,2.5962649e-02
2.8000000e-02,2.6924228e-02
2.9000000e-02,2.7885808e-02
3.0000000e-02,2.8847387e-02
3.1000000e-02,2.9808967e-02
3.2000000e-02,3.0770546e-02
3.3000000e-02,3.1732126e-02
3.4000000e-02,3.2693706e-02
3.5000000e-02,3.3655285e-02
3.6000000e-02,3.4616865e-02
3.7000000e-02,3.5578444e-02
3.8000000e-02,3.6540024e-02
3.9000000e-02,3.7501603e-02
4.0000000e-02,3.8463183e-02
4.1000000e-02,3.9424763e-02
4.2000000e-02,4.0386342e-02
4.3000000e-02,4.1347922e-02
4.4000000e-02,4.2309501e-02
4.5000000e-02,4.3271081e-02
4.6000000e-02,4.4232660e-02
4.7000000e-02,4.5194240e-02
4.8000000e-02,4.6155820e-02
4.9000000e-02,4.7117399e-02
5.0000000e-02,4.8078979e-02
5.1000000e-02,4.9040558e-02
5.2000000e-02,5.0002138e-02
5.3000000e-02,5.0963717e-02
5.4000000e-02,5.1925297e-02
5.5000000e-02,5.2886877e-02
5.6000000e-02,5.3848456e-02
5.7000000e-02,5.4810036e-02
5.8000000e-02,5.5771615e-02
5.9000000e-02,5.6733195e-02
6.0000000e-02,5.7694775e-02
6.1000000e-02,5.8656354e-02
6.2000000e-02,5.9617934e-02
6.3000000e-02,6.0579513e-02
6.4000000e-02,6.1541093e-02
6.5000000e-02,6.2502672e-02
6.6000000e-02,6.3464252e-02
6.7000000e-02,6.4425832e-02
6.8000000e-02,6.5387411e-02
6.9000000e-02,6.6348991e-02
7.0000000e-02,6.7310570e-02
7.1000000e-02,6.8272150e-02
7.2000000e-02,6.9233729e-02
7.3000000e-02,7.0195309e-02
7.4000000e-02,7.1156889e-02
7.5000000e-02,7.2118468e-02
7.6000000e-02,7.3080048e-02
7.7000000e-02,7.4041627e-02
7.8000000e-02,7.5003207e-02
7.9000000e-02,7.5964786e-02
8.0000000e-02,7.6926366e-02
8.1000000e-02,7.7887946e-02
8.2000000e-02,7.8849525e-02
8.3000000e-02,7.9811105e-02
8.4000000e-02,8.0772684e-02
8.5000000e-02,8.1734264e-02
8.6000000e-02,8.2695843e-02
8.7000000e-02,8.3657423e-02
8.8000000e-02,8.4619003e-02
8.9000000e-02,8.5580582e-02
9.0000000e-02,8.6542162e-02
9.1000000e-02,8.7503741e-02
9.2000000e-02,8.8465321e-02
9.3000000e-02,8.9426901e-02
9.4000000e-02,9.0388480e-02
9.5000000e-02,9.1350060e-02
9.6000000e-02,9.2311639e-02
9.7000000e-02,9.3273219e-02
9.8000000e-02,9.4234798e-02
9.9000000e-02,9.5196378e-02
1.0000000e-01,9.6157958e-02
1.0100000e-01,9.7119537e-02
1.0200000e-01,9.8081117e-02
1.0300000e-01,9.9042696e-02
1.0400000e-01,1.0000428e-01
1.0500000e-01,1.0096586e-01
1.0600000e-01,1.0192743e-01
1.0700000e-01,1.0288901e-01
1.0800000e-01,1.0385059e-01
1.0900000e-01,1.0481217e-01
1.1000000e-01,1.0577375e-01
1.1100000e-01,1.0673533e-01
1.1200000e-01,1.0769691e-01
1.1300000e-01,1.0865849e-01
1.1400000e-01,1.0962007e-01
1.1500000e-01,1.1058165e-01
1.1600000e-01,1.1154323e-01
1.1700000e-01,1.1250481e-01
1.1800000e-01,1.1346639e-01
1.1900000e-01,1.1442797e-01
1.2000000e-01,1.1538955e-01
1.2100000e-01,1.1635113e-01
1.2200000e-01,1.1731271e-01
1.2300000e-01,1.1827429e-01
1.2400000e-01,1.1923587e-01
1.2500000e-01,1.2019745e-01
1.2600000e-01,1.2115903e-01
1.2700000e-01,1.2212061e-01
1.2800000e-01,1.2308219e-01
1.2900000e-01,1.2404377e-01
1.3000000e-01,1.2500534e-01
1.3100000e-01,1.2596692e-01
1.3200000e-01,1.2692850e-01
1.3300000e-01,1.2789008e-01
1.3400000e-01,1.2885166e-01
1.3500000e-01,1.2981324e-01
1.3600000e-01,1.3077482e-01
1.3700000e-01,1.3173640e-01
1.3800000e-01,1.3269798e-01
1.3900000e-01,1.3365956e-01
1.4000000e-01,1.3462114e-01
1.4100000e-01,1.3558272e-01
1.4200000e-01,1.3654430e-01
1.4300000e-01,1.3750588e-01
1.4400000e-01,1.3846746e-01
1.4500000e-01,1.3942904e-01
1.4600000e-01,1.4039062e-01
1.4700000e-01,1.4135220e-01
1.4800000e-01,1.4231378e-01
1.4900000e-01,1.4327536e-01
1.5000000e-01,1.4423694e-01
1.5100000e-01,1.4519852e-01
1.5200000e-01,1.4616010e-01
1.5300000e-01,1.4712168e-01
1.5400000e-01,1.4808325e-01
1.5500000e-01,1.4904483e-01
1.5600000e-01,1.5000641e-01
1.5700000e-01,1.5096799e-01
1.5800000e-01,1.5192957e-01
1.5900000e-01,1.5289115e-01
1.6000000e-01,1.5385273e-01
1.6100000e-01,1.5481431e-01
1.6200000e-01,1.5577589e-01
1.6300000e-01,1.5673747e-01
1.6400000e-01,1.5769905e-01
1.6500000e-01,1.5866063e-01
1.6600000e-01,1.5962221e-01
1.6700000e-01,1.6058379e-01
1.6800000e-01,1.6154537e-01
1.6900000e-01,1.6250695e-01
1.7000000e-01,1.6346853e-01
1.7100000e-01,1.6443011e-01
1.7200000e-01,1.6539169e-01
1.7300000e-01,1.6635327e-01
1.7400000e-01,1.6731485e-01
1.7500000e-01,1.6827643e-01
1.7600000e-01,1.6923801e-01
1.7700000e-01,1.7019958e-01
1.7800000e-01,1.7116116e-01
1.7900000e-01,1.7212274e-01
1.8000000e-01,1.7308432e-01
1.8100000e-01,1.7404590e-01
1.8200000e-01,1.7500748e-01
1.8300000e-01,1.7596906e-01
1.8400000e-01,1.7693064e-01
1.8500000e-01,1.7789222e-01
1.8600000e-01,1.7885380e-01
1.8700000e-01,1.7981538e-01
1.8800000e-01,1.8077696e-01
1.8900000e-01,1.8173854e-01
1.9000000e-01,1.8270012e-01
1.9100000e-01,1.8366170e-01
1.9200000e-01,1.8462328e-01
1.9300000e-01,1.8558486e-01
1.9400000e-01,1.8654644e-01
1.9500000e-01,1.8750802e-01
1.9600000e-01,1.8846960e-01
1.9700000e-01,1.8943118e-01
1.9800000e-01,1.9039276e-01
1.9900000e-01,1.9135434e-01
2.0000000e-01,1.9231592e-01
2.0100000e-01,1.9327749e-01
2.0200000e-01,1.9423907e-01
2.0300000e-01,1.9520065e-01
2.0400000e-01,1.9616223e-01
2.0500000e-01,1.9712381e-01
2.0600000e-01,1.9808539e-01
2.0700000e-01,1.9904697e-01
2.0800000e-01,2.0000855e-01
2.0900000e-01,2.0097013e-01
2.1000000e-01,2.0193171e-01
2.1100000e-01,2.0289329e-01
2.1200000e-01,2.0385487e-01
2.1300000e-01,2.0481645e-01
2.1400000e-01,2.0577803e-01
2.1500000e-01,2.0673961e-01
2.1600000e-01,2.0770119e-01
2.1700000e-01,2.0866277e-01
2.1800000e-01,2.0962435e-01
2.1900000e-01,2.1058593e-01
2.2000000e-01,2.1154751e-01
2.2100000e-01,2.1250909e-01
2.2200000e-01,2.1347067e-01
2.2300000e-01,2.1443225e-01
2.2400000e-01,2.1539382e-01
2.2500000e-01,2.1635540e-01
2.2600000e-01,2.1731698e-01
2.2700000e-01,2.1827856e-01
2.2800000e-01,2.1924014e-01
2.2900000e-01,2.2020172e-01
2.3000000e-01,2.2116330e-01
2.3100000e-01,2.2212488e-01
2.3200000e-01,2.2308646e-01
2.3300000e-01,2.2404804e-01
2.3400000e-01,2.2500962e-01
2.3500000e-01,2.2597120e-01
2.3600000e-01,2.2693278e-01
2.3700000e-01,2.2789436e-01
2.3800000e-01,2.2885594e-01
2.3900000e-01,2.2981752e-01
2.4000000e-01,2.3077910e-01
2.4100000e-01,2.3174068e-01
2.4200000e-01,2.3270226e-01
2.4300000e-01,2.3366384e-01
2.4400000e-01,2.3462542e-01
2.4500000e-01,2.3558700e-01
2.4600000e-01,2.3654858e-01
2.4700000e-01,2.3751016e-01
2.4800000e-01,2.3847173e-01
2.4900000e-01,2.3943331e-01
2.5000000e-01,2.4039489e-01
2.5100000e-01,2.4135647e-01
2.5200000e-01,2.4231805e-01
2.5300000e-01,2.4327963e-01
2.5400000e-01,2.4424121e-01
2.5500000e-01,2.4520279e-01
2.5600000e-01,2.4616437e-01
2.5700000e-01,2.4712595e-01
2.5800000e-01,2.4808753e-01
2.5900000e-01,2.4904911e-01
2.6000000e-01,2.5001069e-01
2.6100000e-01,2.5097227e-01
2.6200000e-01,2.5193385e-01
2.6300000e-01,2.5289543e-01
2.6400000e-01,2.5385701e-01
2.6500000e-01,2.5481859e-01
2.6600000e-01,2.5578017e-01
2.6700000e-01,2.5674175e-01
2.6800000e-01,2.5770333e-01
2.6900000e-01,2.5866491e-01
2.7000000e-01,2.5962649e-01
2.7100000e-01,2.6058806e-01
2.7200000e-01,2.6154964e-01
2.7300000e-01,2.6251122e-01
2.7400000e-01,2.6347280e-01
2.7500000e-01,2.6443438e-01
2.7600000e-01,2.6539596e-01
2.7700000e-01,2.6635754e-01
2.7800000e-01,2.6731912e-01
2.7900000e-01,2.6828070e-01
2.8000000e-01,2.6924228e-01
2.8100000e-01,2.7020386e-01
2.8200000e-01,2.7116544e-01
2.8300000e-01,2.7212702e-01
2.8400000e-01,2.7308860e-01
2.8500000e-01,2.7405018e-01
2.8600000e-01,2.7501176e-01
2.8700000e-01,2.7597334e-01
2.8800000e-01,2.7693492e-01
2.8900000e-01,2.7789650e-01
2.9000000e-01,2.7885808e-01
2.9100000e-01,2.7981966e-01
2.9200000e-01,2.8078124e-01
2.9300000e-01,2.8174282e-01
2.9400000e-01,2.8270440e-01
2.9500000e-01,2.8366597e-01
2.9600000e-01,2.8462755e-01
2.9700000e-01,2.8558913e-01
2.9800000e-01,2.8655071e-01
2.9900000e-01,2.8751229e-01
3.0000000e-01,2.8847387e-01
3.0100000e-01,2.8943545e-01
3.0200000e-01,2.9039703e-01
3.0300000e-01,2.9135861e-01
3.0400000e-01,2.9232019e-01
3.0500000e-01,2.9328177e-01
3.0600000e-01,2.9424335e-01
3.0700000e-01,2.9520493e-01
3.0800000e-01,2.9616651e-01
3.0900000e-01,2.9712809e-01
3.1000000e-01,2.9808967e-01
3.1100000e-01,2.9905125e-01
3.1200000e-01,3.0001283e-01
3.1300000e-01,3.0097441e-01
3.1400000e-01,3.0193599e-01
3.1500000e-01,3.0289757e-01
3.1600000e-01,3.0385915e-01
3.1700000e-01,3.0482073e-01
3.1800000e-01,3.0578230e-01
3.1900000e-01,3.0674388e-01
3.2000000e-01,3.0770546e-01
3.2100000e-01,3.0866704e-01
3.2200000e-01,3.0962862e-01
3.2300000e-01,3.1059020e-01
3.2400000e-01,3.1155178e-01
3.2500000e-01,3.1251336e-01
3.2600000e-01,3.1347494e-01
3.2700000e-01,3.1443652e-01
3.2800000e-01,3.1539810e-01
3.2900000e-01,3.1635968e-01
3.3000000e-01,3.1732126e-01
3.3100000e-01,3.1828284e-01
3.3200000e-01,3.1924442e-01
3.3300000e-01,3.2020600e-01
3.3400000e-01,3.2116758e-01
3.3500000e-01,3.2212916e-01
3.3600000e-01,3.2309074e-01
3.3700000e-01,3.2405232e-01
3.3800000e-01,3.2501390e-01
3.3900000e-01,3.2597548e-01
3.4000000e-01,3.2693706e-01
3.4100000e-01,3.2789864e-01
3.4200000e-01,3.2886021e-01
3.4300000e-01,3.2982179e-01
3.4400000e-01,3.3078337e-01
3.4500000e-01,3.3174495e-01
3.4600000e-01,3.3270653e-01
3.4700000e-01,3.3366811e-01
3.4800000e-01,3.3462969e-01
3.4900000e-01,3.3559127e-01
3.5000000e-01,3.3655285e-01
3.5100000e-01,3.3751443e-01
3.5200000e-01,3.3847601e-01
3.5300000e-01,3.3943759e-01
3.5400000e-01,3.4039917e-01
3.5500000e-01,3.4136075e-01
3.5600000e-01,3.4232233e-01
3.5700000e-01,3.4328391e-01
3.5800000e-01,3.4424549e-01
3.5900000e-01,3.4520707e-01
3.6000000e-01,3.4616865e-01
3.6100000e-01,3.4713023e-01
3.6200000e-01,3.4809181e-01
3.6300000e-01,3.4905339e-01
3.6400000e-01,3.5001497e-01
3.6500000e-01,3.5097654e-01
3.6600000e-01,3.5193812e-01
3.6700000e-01,3.5289970e-01
3.6800000e-01,3.5386128e-01
3.6900000e-01,3.5482286e-01
3.7000000e-01,3.5578444e-01
3.7100000e-01,3.5674602e-01
3.7200000e-01,3.5770760e-01
3.7300000e-01,3.5866918e-01
3.7400000e-01,3.5963076e-01
3.7500000e-01,3.6059234e-01
3.7600000e-01,3.6155392e-01
3.7700000e-01,3.6251550e-01
3.7800000e-01,3.6347708e-01
3.7900000e-01,3.6443866e-01
3.8000000e-01,3.6540024e-01
