r,Pot
4.84815e+01,4.45563e+15
4.86821e+01,4.45461e+15
4.88827e+01,4.45360e+15
4.90833e+01,4.45260e+15
4.92840e+01,4.45161e+15
4.94846e+01,4.45063e+15
4.96852e+01,4.44965e+15
4.98858e+01,4.44868e+15
5.00864e+01,4.44773e+15
5.02870e+01,4.44678e+15
5.04876e+01,4.44583e+15
5.06883e+01,4.44490e+15
5.08889e+01,4.44397e+15
5.10895e+01,4.44306e+15
5.12901e+01,4.44215e+15
5.14907e+01,4.44124e+15
5.16913e+01,4.44035e+15
5.18919e+01,4.43946e+15
5.20926e+01,4.43858e+15
5.22932e+01,4.43771e+15
5.24938e+01,4.43684e+15
5.26944e+01,4.43598e+15
5.28950e+01,4.43513e+15
5.30956e+01,4.43429e+15
5.32963e+01,4.43345e+15
5.34969e+01,4.43262e+15
5.36975e+01,4.43179e+15
5.38981e+01,4.43097e+15
5.40987e+01,4.43016e+15
5.42993e+01,4.42936e+15
5.44999e+01,4.42856e+15
5.47006e+01,4.42777e+15
5.49012e+01,4.42698e+15
5.51018e+01,4.42620e+15
5.53024e+01,4.42543e+15
5.55030e+01,4.42466e+15
5.57036e+01,4.42390e+15
5.59042e+01,4.42314e+15
5.61049e+01,4.42239e+15
5.63055e+01,4.42164e+15
5.65061e+01,4.42091e+15
5.67067e+01,4.42017e+15
5.69073e+01,4.41944e+15
5.71079e+01,4.41872e+15
5.73085e+01,4.41801e+15
5.75092e+01,4.41729e+15
5.77098e+01,4.41659e+15
5.79104e+01,4.41589e+15
5.81110e+01,4.41519e+15
5.83116e+01,4.41450e+15
5.85122e+01,4.41381e+15
5.87128e+01,4.41313e+15
5.89135e+01,4.41246e+15
5.91141e+01,4.41179e+15
5.93147e+01,4.41112e+15
5.95153e+01,4.41046e+15
5.97159e+01,4.40980e+15
5.99165e+01,4.40915e+15
6.01171e+01,4.40850e+15
6.03178e+01,4.40786e+15
6.05184e+01,4.40722e+15
6.07190e+01,4.40659e+15
6.09196e+01,4.40596e+15
6.11202e+01,4.40533e+15
6.13208e+01,4.40471e+15
6.15214e+01,4.40410e+15
6.17221e+01,4.40349e+15
6.19227e+01,4.40288e+15
6.21233e+01,4.40227e+15
6.23239e+01,4.40168e+15
6.25245e+01,4.40108e+15
6.27251e+01,4.40049e+15
6.29257e+01,4.39990e+15
6.31264e+01,4.39932e+15
6.33270e+01,4.39874e+15
6.35276e+01,4.39816e+15
6.37282e+01,4.39759e+15
6.39288e+01,4.39702e+15
6.41294e+01,4.39646e+15
6.43300e+01,4.39590e+15
6.45307e+01,4.39534e+15
6.47313e+01,4.39479e+15
6.49319e+01,4.39424e+15
6.51325e+01,4.39370e+15
