r,Pot
1.09028e+01,6.41815e+15
1.11034e+01,6.39691e+15
1.13040e+01,6.37663e+15
1.15046e+01,6.35723e+15
1.17053e+01,6.33867e+15
1.19059e+01,6.32088e+15
1.21065e+01,6.30383e+15
1.23071e+01,6.28746e+15
1.25077e+01,6.27174e+15
1.27083e+01,6.25663e+15
1.29089e+01,6.24209e+15
1.31096e+01,6.22809e+15
1.33102e+01,6.21461e+15
1.35108e+01,6.20160e+15
1.37114e+01,6.18906e+15
1.39120e+01,6.17695e+15
1.41126e+01,6.16525e+15
1.43132e+01,6.15395e+15
1.45139e+01,6.14301e+15
1.47145e+01,6.13243e+15
1.49151e+01,6.12219e+15
1.51157e+01,6.11226e+15
1.53163e+01,6.10265e+15
1.55169e+01,6.09332e+15
1.57175e+01,6.08428e+15
1.59182e+01,6.07550e+15
1.61188e+01,6.06698e+15
1.63194e+01,6.05870e+15
1.65200e+01,6.05065e+15
1.67206e+01,6.04283e+15
1.69212e+01,6.03522e+15
1.71218e+01,6.02782e+15
1.73225e+01,6.02062e+15
1.75231e+01,6.01360e+15
1.77237e+01,6.00677e+15
1.79243e+01,6.00011e+15
1.81249e+01,5.99363e+15
1.83255e+01,5.98730e+15
1.85262e+01,5.98113e+15
1.87268e+01,5.97512e+15
1.89274e+01,5.96924e+15
1.91280e+01,5.96351e+15
1.93286e+01,5.95791e+15
1.95292e+01,5.95244e+15
1.97298e+01,5.94710e+15
1.99305e+01,5.94188e+15
2.01311e+01,5.93678e+15
2.03317e+01,5.93179e+15
2.05323e+01,5.92691e+15
2.07329e+01,5.92213e+15
2.09335e+01,5.91746e+15
2.11341e+01,5.91289e+15
2.13348e+01,5.90841e+15
2.15354e+01,5.90403e+15
2.17360e+01,5.89974e+15
2.19366e+01,5.89554e+15
2.21372e+01,5.89142e+15
2.23378e+01,5.88738e+15
2.25384e+01,5.88342e+15
2.27391e+01,5.87954e+15
2.29397e+01,5.87574e+15
2.31403e+01,5.87201e+15
2.33409e+01,5.86835e+15
2.35415e+01,5.86476e+15
2.37421e+01,5.86123e+15
2.39427e+01,5.85777e+15
2.41434e+01,5.85438e+15
2.43440e+01,5.85105e+15
2.45446e+01,5.84777e+15
2.47452e+01,5.84456e+15
2.49458e+01,5.84140e+15
2.51464e+01,5.83830e+15
2.53470e+01,5.83525e+15
2.55477e+01,5.83225e+15
2.57483e+01,5.82931e+15
2.59489e+01,5.82641e+15
2.61495e+01,5.82356e+15
2.63501e+01,5.82076e+15
2.65507e+01,5.81801e+15
2.67513e+01,5.81530e+15
2.69520e+01,5.81264e+15
2.71526e+01,5.81002e+15
2.73532e+01,5.80744e+15
2.75538e+01,5.80490e+15
2.77544e+01,5.80240e+15
2.79550e+01,5.79995e+15
2.81556e+01,5.79752e+15
2.83563e+01,5.79514e+15
2.85569e+01,5.79279e+15
2.87575e+01,5.79048e+15
2.89581e+01,5.78820e+15
2.91587e+01,5.78596e+15
2.93593e+01,5.78375e+15
2.95599e+01,5.78157e+15
2.97606e+01,5.77943e+15
2.99612e+01,5.77731e+15
3.01618e+01,5.77523e+15
3.03624e+01,5.77317e+15
3.05630e+01,5.77115e+15
3.07636e+01,5.76915e+15
