r,Pot
5.08251e+01,5.65270e+15
5.10257e+01,5.65202e+15
5.12263e+01,5.65134e+15
5.14269e+01,5.65067e+15
5.16275e+01,5.65001e+15
5.18282e+01,5.64935e+15
5.20288e+01,5.64870e+15
5.22294e+01,5.64805e+15
5.24300e+01,5.64741e+15
5.26306e+01,5.64677e+15
5.28312e+01,5.64613e+15
5.30318e+01,5.64551e+15
5.32325e+01,5.64488e+15
5.34331e+01,5.64427e+15
5.36337e+01,5.64365e+15
5.38343e+01,5.64304e+15
5.40349e+01,5.64244e+15
5.42355e+01,5.64184e+15
5.44361e+01,5.64125e+15
5.46368e+01,5.64066e+15
5.48374e+01,5.64007e+15
5.50380e+01,5.63949e+15
5.52386e+01,5.63891e+15
5.54392e+01,5.63834e+15
5.56398e+01,5.63777e+15
5.58404e+01,5.63721e+15
5.60411e+01,5.63665e+15
5.62417e+01,5.63610e+15
5.64423e+01,5.63555e+15
5.66429e+01,5.63500e+15
5.68435e+01,5.63446e+15
5.70441e+01,5.63392e+15
5.72447e+01,5.63338e+15
5.74454e+01,5.63285e+15
5.76460e+01,5.63232e+15
5.78466e+01,5.63180e+15
5.80472e+01,5.63128e+15
5.82478e+01,5.63076e+15
5.84484e+01,5.63025e+15
5.86491e+01,5.62974e+15
5.88497e+01,5.62924e+15
5.90503e+01,5.62874e+15
5.92509e+01,5.62824e+15
5.94515e+01,5.62774e+15
5.96521e+01,5.62725e+15
5.98527e+01,5.62676e+15
6.00534e+01,5.62628e+15
6.02540e+01,5.62580e+15
6.04546e+01,5.62532e+15
6.06552e+01,5.62485e+15
6.08558e+01,5.62438e+15
6.10564e+01,5.62391e+15
6.12570e+01,5.62344e+15
6.14577e+01,5.62298e+15
6.16583e+01,5.62252e+15
6.18589e+01,5.62207e+15
6.20595e+01,5.62161e+15
6.22601e+01,5.62117e+15
6.24607e+01,5.62072e+15
6.26613e+01,5.62028e+15
6.28620e+01,5.61984e+15
6.30626e+01,5.61940e+15
6.32632e+01,5.61896e+15
6.34638e+01,5.61853e+15
6.36644e+01,5.61810e+15
6.38650e+01,5.61768e+15
6.40656e+01,5.61725e+15
6.42663e+01,5.61683e+15
6.44669e+01,5.61641e+15
6.46675e+01,5.61600e+15
6.48681e+01,5.61559e+15
6.50687e+01,5.61518e+15
6.52693e+01,5.61477e+15
6.54699e+01,5.61436e+15
6.56706e+01,5.61396e+15
6.58712e+01,5.61356e+15
6.60718e+01,5.61316e+15
6.62724e+01,5.61277e+15
6.64730e+01,5.61238e+15
6.66736e+01,5.61199e+15
6.68742e+01,5.61160e+15
6.70749e+01,5.61122e+15
6.72755e+01,5.61083e+15
6.74761e+01,5.61045e+15
6.76767e+01,5.61007e+15
6.78773e+01,5.60970e+15
6.80779e+01,5.60933e+15
6.82785e+01,5.60895e+15
6.84792e+01,5.60859e+15
6.86798e+01,5.60822e+15
6.88804e+01,5.60785e+15
6.90810e+01,5.60749e+15
6.92816e+01,5.60713e+15
6.94822e+01,5.60677e+15
6.96828e+01,5.60642e+15
6.98835e+01,5.60607e+15
7.00841e+01,5.60571e+15
7.02847e+01,5.60536e+15
7.04853e+01,5.60502e+15
7.06859e+01,5.60467e+15
7.08865e+01,5.60433e+15
7.10871e+01,5.60399e+15
7.12878e+01,5.60365e+15
7.14884e+01,5.60331e+15
7.16890e+01,5.60297e+15
7.18896e+01,5.60264e+15
7.20902e+01,5.60231e+15
7.22908e+01,5.60198e+15
7.24915e+01,5.60165e+15
7.26921e+01,5.60133e+15
7.28927e+01,5.60100e+15
7.30933e+01,5.60068e+15
7.32939e+01,5.60036e+15
7.34945e+01,5.60004e+15
7.36951e+01,5.59972e+15
7.38958e+01,5.59941e+15
7.40964e+01,5.59910e+15
7.42970e+01,5.59878e+15
7.44976e+01,5.59847e+15
7.46982e+01,5.59817e+15
7.48988e+01,5.59786e+15
7.50994e+01,5.59755e+15
7.53001e+01,5.59725e+15
7.55007e+01,5.59695e+15
7.57013e+01,5.59665e+15
7.59019e+01,5.59635e+15
7.61025e+01,5.59606e+15
7.63031e+01,5.59576e+15
7.65037e+01,5.59547e+15
7.67044e+01,5.59518e+15
7.69050e+01,5.59489e+15
