r,Pot
8.55922e+00,6.41810e+15
8.75983e+00,6.32425e+15
8.96045e+00,6.23835e+15
9.16106e+00,6.15939e+15
9.36168e+00,6.08656e+15
9.56229e+00,6.01916e+15
9.76290e+00,5.95658e+15
9.96352e+00,5.89833e+15
1.01641e+01,5.84395e+15
1.03647e+01,5.79307e+15
1.05654e+01,5.74536e+15
1.07660e+01,5.70052e+15
1.09666e+01,5.65829e+15
1.11672e+01,5.61847e+15
1.13678e+01,5.58083e+15
1.15684e+01,5.54521e+15
1.17691e+01,5.51144e+15
1.19697e+01,5.47938e+15
1.21703e+01,5.44891e+15
1.23709e+01,5.41990e+15
1.25715e+01,5.39225e+15
1.27721e+01,5.36588e+15
1.29727e+01,5.34068e+15
1.31734e+01,5.31659e+15
1.33740e+01,5.29353e+15
1.35746e+01,5.27143e+15
1.37752e+01,5.25024e+15
1.39758e+01,5.22990e+15
1.41764e+01,5.21037e+15
1.43770e+01,5.19158e+15
1.45777e+01,5.17351e+15
1.47783e+01,5.15611e+15
1.49789e+01,5.13934e+15
1.51795e+01,5.12317e+15
1.53801e+01,5.10757e+15
1.55807e+01,5.09250e+15
1.57813e+01,5.07795e+15
1.59820e+01,5.06388e+15
1.61826e+01,5.05027e+15
1.63832e+01,5.03710e+15
1.65838e+01,5.02435e+15
1.67844e+01,5.01200e+15
1.69850e+01,5.00002e+15
1.71856e+01,4.98841e+15
1.73863e+01,4.97714e+15
1.75869e+01,4.96620e+15
1.77875e+01,4.95558e+15
1.79881e+01,4.94526e+15
1.81887e+01,4.93524e+15
1.83893e+01,4.92548e+15
1.85899e+01,4.91600e+15
1.87906e+01,4.90677e+15
1.89912e+01,4.89779e+15
1.91918e+01,4.88904e+15
1.93924e+01,4.88052e+15
1.95930e+01,4.87221e+15
1.97936e+01,4.86411e+15
1.99942e+01,4.85622e+15
2.01949e+01,4.84852e+15
2.03955e+01,4.84101e+15
2.05961e+01,4.83367e+15
2.07967e+01,4.82651e+15
2.09973e+01,4.81952e+15
2.11979e+01,4.81269e+15
2.13985e+01,4.80602e+15
2.15992e+01,4.79950e+15
2.17998e+01,4.79312e+15
2.20004e+01,4.78688e+15
2.22010e+01,4.78078e+15
2.24016e+01,4.77482e+15
2.26022e+01,4.76898e+15
2.28028e+01,4.76326e+15
2.30035e+01,4.75766e+15
2.32041e+01,4.75218e+15
2.34047e+01,4.74681e+15
2.36053e+01,4.74155e+15
2.38059e+01,4.73640e+15
2.40065e+01,4.73135e+15
2.42071e+01,4.72640e+15
2.44078e+01,4.72154e+15
2.46084e+01,4.71678e+15
2.48090e+01,4.71211e+15
2.50096e+01,4.70753e+15
2.52102e+01,4.70303e+15
2.54108e+01,4.69862e+15
2.56115e+01,4.69428e+15
2.58121e+01,4.69003e+15
2.60127e+01,4.68586e+15
2.62133e+01,4.68176e+15
2.64139e+01,4.67773e+15
2.66145e+01,4.67377e+15
2.68151e+01,4.66988e+15
2.70158e+01,4.66606e+15
2.72164e+01,4.66231e+15
2.74170e+01,4.65861e+15
2.76176e+01,4.65498e+15
2.78182e+01,4.65142e+15
2.80188e+01,4.64791e+15
2.82194e+01,4.64445e+15
2.84201e+01,4.64106e+15
2.86207e+01,4.63772e+15
2.88213e+01,4.63443e+15
2.90219e+01,4.63119e+15
2.92225e+01,4.62801e+15
2.94231e+01,4.62488e+15
2.96237e+01,4.62179e+15
2.98244e+01,4.61875e+15
3.00250e+01,4.61576e+15
3.02256e+01,4.61281e+15
3.04262e+01,4.60991e+15
3.06268e+01,4.60705e+15
3.08274e+01,4.60424e+15
3.10280e+01,4.60146e+15
3.12287e+01,4.59873e+15
3.14293e+01,4.59604e+15
3.16299e+01,4.59338e+15
3.18305e+01,4.59076e+15
3.20311e+01,4.58818e+15
3.22317e+01,4.58564e+15
3.24323e+01,4.58313e+15
3.26330e+01,4.58066e+15
3.28336e+01,4.57822e+15
3.30342e+01,4.57581e+15
3.32348e+01,4.57344e+15
3.34354e+01,4.57110e+15
3.36360e+01,4.56879e+15
3.38366e+01,4.56651e+15
3.40373e+01,4.56426e+15
3.42379e+01,4.56204e+15
3.44385e+01,4.55985e+15
3.46391e+01,4.55769e+15
3.48397e+01,4.55556e+15
3.50403e+01,4.55345e+15
3.52409e+01,4.55137e+15
3.54416e+01,4.54932e+15
3.56422e+01,4.54729e+15
3.58428e+01,4.54529e+15
3.60434e+01,4.54331e+15
3.62440e+01,4.54136e+15
3.64446e+01,4.53943e+15
3.66452e+01,4.53753e+15
3.68459e+01,4.53565e+15
3.70465e+01,4.53379e+15
3.72471e+01,4.53195e+15
3.74477e+01,4.53014e+15
3.76483e+01,4.52834e+15
3.78489e+01,4.52657e+15
3.80495e+01,4.52482e+15
3.82502e+01,4.52309e+15
3.84508e+01,4.52138e+15
3.86514e+01,4.51968e+15
3.88520e+01,4.51801e+15
3.90526e+01,4.51636e+15
3.92532e+01,4.51472e+15
3.94539e+01,4.51311e+15
3.96545e+01,4.51151e+15
3.98551e+01,4.50993e+15
4.00557e+01,4.50837e+15
4.02563e+01,4.50682e+15
4.04569e+01,4.50529e+15
4.06575e+01,4.50378e+15
4.08582e+01,4.50228e+15
4.10588e+01,4.50080e+15
4.12594e+01,4.49934e+15
4.14600e+01,4.49789e+15
4.16606e+01,4.49646e+15
4.18612e+01,4.49504e+15
4.20618e+01,4.49364e+15
4.22625e+01,4.49225e+15
4.24631e+01,4.49087e+15
4.26637e+01,4.48951e+15
4.28643e+01,4.48817e+15
4.30649e+01,4.48684e+15
4.32655e+01,4.48552e+15
4.34661e+01,4.48421e+15
4.36668e+01,4.48292e+15
4.38674e+01,4.48164e+15
4.40680e+01,4.48037e+15
4.42686e+01,4.47912e+15
4.44692e+01,4.47788e+15
4.46698e+01,4.47665e+15
4.48704e+01,4.47543e+15
4.50711e+01,4.47422e+15
4.52717e+01,4.47303e+15
4.54723e+01,4.47185e+15
4.56729e+01,4.47068e+15
4.58735e+01,4.46952e+15
4.60741e+01,4.46837e+15
4.62747e+01,4.46723e+15
4.64754e+01,4.46610e+15
4.66760e+01,4.46498e+15
4.68766e+01,4.46388e+15
4.70772e+01,4.46278e+15
4.72778e+01,4.46169e+15
4.74784e+01,4.46062e+15
4.76790e+01,4.45955e+15
4.78797e+01,4.45849e+15
4.80803e+01,4.45745e+15
4.82809e+01,4.45641e+15
4.84815e+01,4.45538e+15
4.86821e+01,4.45436e+15
4.88827e+01,4.45335e+15
4.90833e+01,4.45235e+15
4.92840e+01,4.45136e+15
4.94846e+01,4.45037e+15
4.96852e+01,4.44940e+15
4.98858e+01,4.44843e+15
5.00864e+01,4.44747e+15
5.02870e+01,4.44652e+15
5.04876e+01,4.44558e+15
5.06883e+01,4.44465e+15
5.08889e+01,4.44372e+15
5.10895e+01,4.44280e+15
5.12901e+01,4.44189e+15
5.14907e+01,4.44099e+15
5.16913e+01,4.44009e+15
5.18919e+01,4.43920e+15
5.20926e+01,4.43832e+15
5.22932e+01,4.43745e+15
5.24938e+01,4.43659e+15
5.26944e+01,4.43573e+15
5.28950e+01,4.43487e+15
5.30956e+01,4.43403e+15
5.32963e+01,4.43319e+15
5.34969e+01,4.43236e+15
5.36975e+01,4.43154e+15
5.38981e+01,4.43072e+15
5.40987e+01,4.42991e+15
5.42993e+01,4.42910e+15
5.44999e+01,4.42830e+15
5.47006e+01,4.42751e+15
5.49012e+01,4.42672e+15
5.51018e+01,4.42594e+15
5.53024e+01,4.42517e+15
5.55030e+01,4.42440e+15
5.57036e+01,4.42364e+15
5.59042e+01,4.42288e+15
5.61049e+01,4.42213e+15
5.63055e+01,4.42139e+15
5.65061e+01,4.42065e+15
5.67067e+01,4.41991e+15
5.69073e+01,4.41919e+15
5.71079e+01,4.41846e+15
5.73085e+01,4.41775e+15
5.75092e+01,4.41703e+15
5.77098e+01,4.41633e+15
5.79104e+01,4.41563e+15
5.81110e+01,4.41493e+15
5.83116e+01,4.41424e+15
5.85122e+01,4.41355e+15
5.87128e+01,4.41287e+15
5.89135e+01,4.41220e+15
5.91141e+01,4.41153e+15
5.93147e+01,4.41086e+15
5.95153e+01,4.41020e+15
5.97159e+01,4.40954e+15
5.99165e+01,4.40889e+15
6.01171e+01,4.40824e+15
6.03178e+01,4.40760e+15
6.05184e+01,4.40696e+15
6.07190e+01,4.40633e+15
6.09196e+01,4.40570e+15
6.11202e+01,4.40507e+15
6.13208e+01,4.40445e+15
6.15214e+01,4.40384e+15
6.17221e+01,4.40322e+15
6.19227e+01,4.40262e+15
6.21233e+01,4.40201e+15
6.23239e+01,4.40141e+15
6.25245e+01,4.40082e+15
6.27251e+01,4.40023e+15
6.29257e+01,4.39964e+15
6.31264e+01,4.39906e+15
6.33270e+01,4.39848e+15
6.35276e+01,4.39790e+15
6.37282e+01,4.39733e+15
6.39288e+01,4.39676e+15
6.41294e+01,4.39620e+15
6.43300e+01,4.39564e+15
6.45307e+01,4.39508e+15
6.47313e+01,4.39453e+15
6.49319e+01,4.39398e+15
6.51325e+01,4.39343e+15
6.53331e+01,4.39289e+15
6.55337e+01,4.39235e+15
6.57344e+01,4.39182e+15
6.59350e+01,4.39128e+15
6.61356e+01,4.39076e+15
6.63362e+01,4.39023e+15
6.65368e+01,4.38971e+15
6.67374e+01,4.38919e+15
6.69380e+01,4.38868e+15
6.71387e+01,4.38816e+15
6.73393e+01,4.38766e+15
6.75399e+01,4.38715e+15
6.77405e+01,4.38665e+15
6.79411e+01,4.38615e+15
6.81417e+01,4.38565e+15
6.83423e+01,4.38516e+15
6.85430e+01,4.38467e+15
6.87436e+01,4.38418e+15
6.89442e+01,4.38370e+15
6.91448e+01,4.38322e+15
6.93454e+01,4.38274e+15
6.95460e+01,4.38227e+15
6.97466e+01,4.38179e+15
6.99473e+01,4.38132e+15
7.01479e+01,4.38086e+15
7.03485e+01,4.38039e+15
7.05491e+01,4.37993e+15
7.07497e+01,4.37948e+15
7.09503e+01,4.37902e+15
7.11509e+01,4.37857e+15
7.13516e+01,4.37812e+15
7.15522e+01,4.37767e+15
