P,Teff
1.5017400e-04,9.9976043e-01
1.5367200e-04,9.9975822e-01
1.5725150e-04,9.9975599e-01
1.6091430e-04,9.9975374e-01
1.6466250e-04,9.9975146e-01
1.6849800e-04,9.9974917e-01
1.7242280e-04,9.9974686e-01
1.7643910e-04,9.9974452e-01
1.8054890e-04,9.9974216e-01
1.8475440e-04,9.9973978e-01
1.8905790e-04,9.9973738e-01
1.9346160e-04,9.9973496e-01
1.9796790e-04,9.9973252e-01
2.0257920e-04,9.9973005e-01
2.0729780e-04,9.9972756e-01
2.1212640e-04,9.9972504e-01
2.1706750e-04,9.9972251e-01
2.2212360e-04,9.9971995e-01
2.2729750e-04,9.9971736e-01
2.3259200e-04,9.9971476e-01
2.3800980e-04,9.9971213e-01
2.4355370e-04,9.9970947e-01
2.4922680e-04,9.9970679e-01
2.5503200e-04,9.9970409e-01
2.6097250e-04,9.9970136e-01
2.6705130e-04,9.9969860e-01
2.7327180e-04,9.9969582e-01
2.7963710e-04,9.9969302e-01
2.8615070e-04,9.9969019e-01
2.9281600e-04,9.9968733e-01
2.9963650e-04,9.9968445e-01
3.0661600e-04,9.9968154e-01
3.1375800e-04,9.9967860e-01
3.2106630e-04,9.9967564e-01
3.2854490e-04,9.9967265e-01
3.3619770e-04,9.9966963e-01
3.4402880e-04,9.9966658e-01
3.5204220e-04,9.9966351e-01
3.6024230e-04,9.9966041e-01
3.6863350e-04,9.9965727e-01
3.7722000e-04,9.9965412e-01
3.8600660e-04,9.9965093e-01
3.9499790e-04,9.9964771e-01
4.0419850e-04,9.9964446e-01
4.1361350e-04,9.9964119e-01
4.2324780e-04,9.9963788e-01
4.3310650e-04,9.9963454e-01
4.4319490e-04,9.9963117e-01
4.5351820e-04,9.9962777e-01
4.6408200e-04,9.9962434e-01
4.7489190e-04,9.9962088e-01
4.8595350e-04,9.9961739e-01
4.9727290e-04,9.9961386e-01
5.0885580e-04,9.9961030e-01
5.2070860e-04,9.9960671e-01
5.3283750e-04,9.9960309e-01
5.4524880e-04,9.9959943e-01
