P,Teff
6.5553330e-05,9.9998616e-03
6.7080260e-05,9.9998596e-03
6.8642760e-05,9.9998576e-03
7.0241660e-05,9.9998556e-03
7.1877800e-05,9.9998536e-03
7.3552040e-05,9.9998515e-03
7.5265290e-05,9.9998495e-03
7.7018450e-05,9.9998473e-03
7.8812440e-05,9.9998452e-03
8.0648210e-05,9.9998430e-03
8.2526750e-05,9.9998408e-03
8.4449050e-05,9.9998386e-03
8.6416120e-05,9.9998363e-03
8.8429010e-05,9.9998340e-03
9.0488780e-05,9.9998317e-03
9.2596540e-05,9.9998293e-03
9.4753390e-05,9.9998269e-03
9.6960480e-05,9.9998245e-03
9.9218980e-05,9.9998220e-03
1.0153010e-04,9.9998195e-03
1.0389500e-04,9.9998170e-03
1.0631510e-04,9.9998144e-03
1.0879140e-04,9.9998118e-03
1.1132550e-04,9.9998091e-03
1.1391860e-04,9.9998065e-03
1.1657210e-04,9.9998037e-03
1.1928740e-04,9.9998010e-03
1.2206600e-04,9.9997982e-03
1.2490930e-04,9.9997953e-03
1.2781880e-04,9.9997925e-03
1.3079610e-04,9.9997896e-03
1.3384270e-04,9.9997866e-03
1.3696030e-04,9.9997836e-03
1.4015050e-04,9.9997805e-03
1.4341510e-04,9.9997775e-03
1.4675560e-04,9.9997743e-03
1.5017400e-04,9.9997712e-03
1.5367200e-04,9.9997679e-03
1.5725150e-04,9.9997647e-03
1.6091430e-04,9.9997614e-03
1.6466250e-04,9.9997580e-03
1.6849800e-04,9.9997546e-03
1.7242280e-04,9.9997512e-03
1.7643910e-04,9.9997477e-03
1.8054890e-04,9.9997441e-03
1.8475440e-04,9.9997405e-03
1.8905790e-04,9.9997369e-03
1.9346160e-04,9.9997332e-03
1.9796790e-04,9.9997294e-03
2.0257920e-04,9.9997256e-03
2.0729780e-04,9.9997218e-03
2.1212640e-04,9.9997179e-03
2.1706750e-04,9.9997139e-03
2.2212360e-04,9.9997099e-03
2.2729750e-04,9.9997058e-03
2.3259200e-04,9.9997017e-03
2.3800980e-04,9.9996975e-03
2.4355370e-04,9.9996932e-03
