P,Teff
2.3283430e-04,9.9979010e-01
2.3825770e-04,9.9978871e-01
2.4380750e-04,9.9978730e-01
2.4948650e-04,9.9978589e-01
2.5529780e-04,9.9978447e-01
2.6124440e-04,9.9978304e-01
2.6732960e-04,9.9978159e-01
2.7355650e-04,9.9978014e-01
2.7992840e-04,9.9977867e-01
2.8644880e-04,9.9977720e-01
2.9312100e-04,9.9977571e-01
2.9994870e-04,9.9977421e-01
3.0693540e-04,9.9977270e-01
3.1408480e-04,9.9977118e-01
3.2140080e-04,9.9976965e-01
3.2888720e-04,9.9976811e-01
3.3654800e-04,9.9976655e-01
3.4438720e-04,9.9976499e-01
3.5240900e-04,9.9976341e-01
3.6061770e-04,9.9976182e-01
3.6901750e-04,9.9976022e-01
3.7761300e-04,9.9975861e-01
3.8640880e-04,9.9975698e-01
3.9540940e-04,9.9975534e-01
4.0461970e-04,9.9975369e-01
4.1404450e-04,9.9975203e-01
4.2368880e-04,9.9975035e-01
4.3355780e-04,9.9974867e-01
4.4365660e-04,9.9974697e-01
4.5399070e-04,9.9974525e-01
4.6456550e-04,9.9974353e-01
4.7538670e-04,9.9974179e-01
4.8645980e-04,9.9974004e-01
4.9779090e-04,9.9973827e-01
5.0938600e-04,9.9973649e-01
5.2125110e-04,9.9973470e-01
5.3339260e-04,9.9973289e-01
5.4581690e-04,9.9973107e-01
5.5853060e-04,9.9972924e-01
5.7154050e-04,9.9972739e-01
5.8485340e-04,9.9972553e-01
5.9847630e-04,9.9972365e-01
6.1241660e-04,9.9972177e-01
6.2668170e-04,9.9971986e-01
6.4127900e-04,9.9971794e-01
6.5621630e-04,9.9971601e-01
6.7150150e-04,9.9971406e-01
6.8714280e-04,9.9971210e-01
7.0314840e-04,9.9971012e-01
7.1952680e-04,9.9970813e-01
7.3628680e-04,9.9970612e-01
7.5343710e-04,9.9970409e-01
7.7098690e-04,9.9970205e-01
7.8894550e-04,9.9970000e-01
8.0732240e-04,9.9969793e-01
8.2612730e-04,9.9969585e-01
8.4537030e-04,9.9969376e-01
8.6506150e-04,9.9969165e-01
8.8521140e-04,9.9968952e-01
9.0583060e-04,9.9968738e-01
9.2693010e-04,9.9968522e-01
9.4852110e-04,9.9968305e-01
9.7061500e-04,9.9968086e-01
9.9322350e-04,9.9967865e-01
1.0163590e-03,9.9967642e-01
1.0400330e-03,9.9967418e-01
1.0642580e-03,9.9967192e-01
1.0890480e-03,9.9966964e-01
1.1144150e-03,9.9966734e-01
1.1403730e-03,9.9966502e-01
1.1669360e-03,9.9966269e-01
1.1941170e-03,9.9966034e-01
1.2219320e-03,9.9965796e-01
1.2503940e-03,9.9965557e-01
1.2795200e-03,9.9965317e-01
1.3093240e-03,9.9965074e-01
1.3398220e-03,9.9964829e-01
1.3710300e-03,9.9964583e-01
1.4029650e-03,9.9964334e-01
1.4356450e-03,9.9964084e-01
1.4690850e-03,9.9963831e-01
1.5033050e-03,9.9963577e-01
1.5383210e-03,9.9963320e-01
1.5741530e-03,9.9963062e-01
1.6108200e-03,9.9962802e-01
1.6483410e-03,9.9962539e-01
1.6867360e-03,9.9962274e-01
1.7260250e-03,9.9962008e-01
1.7662290e-03,9.9961739e-01
1.8073700e-03,9.9961468e-01
1.8494690e-03,9.9961196e-01
1.8925480e-03,9.9960920e-01
1.9366310e-03,9.9960643e-01
1.9817410e-03,9.9960364e-01
2.0279020e-03,9.9960083e-01
2.0751380e-03,9.9959799e-01
2.1234740e-03,9.9959513e-01
2.1729360e-03,9.9959224e-01
2.2235500e-03,9.9958934e-01
2.2753440e-03,9.9958641e-01
2.3283430e-03,9.9958346e-01
2.3825770e-03,9.9958049e-01
2.4380750e-03,9.9957749e-01
2.4948650e-03,9.9957448e-01
2.5529780e-03,9.9957143e-01
2.6124440e-03,9.9956837e-01
2.6732960e-03,9.9956528e-01
2.7355650e-03,9.9956216e-01
2.7992840e-03,9.9955902e-01
2.8644880e-03,9.9955585e-01
2.9312100e-03,9.9955267e-01
2.9994870e-03,9.9954945e-01
3.0693540e-03,9.9954621e-01
3.1408480e-03,9.9954295e-01
3.2140080e-03,9.9953966e-01
3.2888720e-03,9.9953635e-01
3.3654800e-03,9.9953301e-01
3.4438720e-03,9.9952964e-01
3.5240900e-03,9.9952625e-01
3.6061770e-03,9.9952283e-01
3.6901750e-03,9.9951938e-01
3.7761300e-03,9.9951591e-01
3.8640880e-03,9.9951240e-01
3.9540940e-03,9.9950888e-01
4.0461970e-03,9.9950532e-01
4.1404450e-03,9.9950174e-01
4.2368880e-03,9.9949813e-01
4.3355780e-03,9.9949449e-01
4.4365660e-03,9.9949082e-01
4.5399070e-03,9.9948712e-01
4.6456550e-03,9.9948340e-01
4.7538670e-03,9.9947964e-01
4.8645980e-03,9.9947585e-01
4.9779090e-03,9.9947204e-01
5.0938600e-03,9.9946819e-01
5.2125110e-03,9.9946432e-01
5.3339260e-03,9.9946041e-01
5.4581690e-03,9.9945648e-01
5.5853060e-03,9.9945251e-01
5.7154050e-03,9.9944851e-01
5.8485340e-03,9.9944448e-01
5.9847630e-03,9.9944042e-01
6.1241660e-03,9.9943633e-01
6.2668170e-03,9.9943220e-01
6.4127900e-03,9.9942804e-01
6.5621630e-03,9.9942385e-01
6.7150150e-03,9.9941963e-01
6.8714280e-03,9.9941537e-01
7.0314840e-03,9.9941108e-01
7.1952680e-03,9.9940675e-01
7.3628680e-03,9.9940239e-01
7.5343710e-03,9.9939800e-01
7.7098690e-03,9.9939357e-01
7.8894550e-03,9.9938910e-01
8.0732240e-03,9.9938460e-01
8.2612730e-03,9.9938007e-01
8.4537030e-03,9.9937550e-01
8.6506150e-03,9.9937088e-01
8.8521140e-03,9.9936624e-01
9.0583060e-03,9.9936155e-01
9.2693010e-03,9.9935684e-01
9.4852110e-03,9.9935208e-01
9.7061500e-03,9.9934728e-01
9.9322350e-03,9.9934245e-01
1.0163590e-02,9.9933757e-01
1.0400330e-02,9.9933266e-01
1.0642580e-02,9.9932771e-01
1.0890480e-02,9.9932272e-01
1.1144150e-02,9.9931769e-01
1.1403730e-02,9.9931262e-01
1.1669360e-02,9.9930750e-01
1.1941170e-02,9.9930234e-01
1.2219320e-02,9.9929715e-01
1.2503940e-02,9.9929191e-01
1.2795200e-02,9.9928663e-01
1.3093240e-02,9.9928130e-01
