P,Teff
4.9727290e-03,9.9982400e-03
5.0885580e-03,9.9981991e-03
5.2070860e-03,9.9981573e-03
5.3283750e-03,9.9981142e-03
5.4524880e-03,9.9980704e-03
5.5794930e-03,9.9980256e-03
5.7094560e-03,9.9979795e-03
5.8424470e-03,9.9979326e-03
5.9785350e-03,9.9978845e-03
6.1177930e-03,9.9978352e-03
6.2602940e-03,9.9977848e-03
6.4061150e-03,9.9977334e-03
6.5553330e-03,9.9976808e-03
6.7080260e-03,9.9976267e-03
6.8642760e-03,9.9975715e-03
7.0241660e-03,9.9975151e-03
7.1877800e-03,9.9974572e-03
7.3552040e-03,9.9973981e-03
7.5265290e-03,9.9973377e-03
7.7018450e-03,9.9972757e-03
7.8812440e-03,9.9972124e-03
8.0648210e-03,9.9971475e-03
8.2526750e-03,9.9970813e-03
8.4449050e-03,9.9970133e-03
8.6416120e-03,9.9969440e-03
8.8429010e-03,9.9968729e-03
9.0488780e-03,9.9968000e-03
9.2596540e-03,9.9967257e-03
9.4753390e-03,9.9966495e-03
9.6960480e-03,9.9965718e-03
9.9218980e-03,9.9964922e-03
1.0153010e-02,9.9964106e-03
1.0389500e-02,9.9963271e-03
1.0631510e-02,9.9962417e-03
1.0879140e-02,9.9961545e-03
1.1132550e-02,9.9960649e-03
1.1391860e-02,9.9959736e-03
1.1657210e-02,9.9958801e-03
1.1928740e-02,9.9957845e-03
1.2206600e-02,9.9956862e-03
1.2490930e-02,9.9955861e-03
1.2781880e-02,9.9954834e-03
1.3079610e-02,9.9953787e-03
1.3384270e-02,9.9952712e-03
1.3696030e-02,9.9951613e-03
1.4015050e-02,9.9950490e-03
1.4341510e-02,9.9949341e-03
1.4675560e-02,9.9948164e-03
1.5017400e-02,9.9946960e-03
1.5367200e-02,9.9945730e-03
1.5725150e-02,9.9944469e-03
1.6091430e-02,9.9943181e-03
1.6466250e-02,9.9941861e-03
1.6849800e-02,9.9940513e-03
1.7242280e-02,9.9939131e-03
1.7643910e-02,9.9937720e-03
1.8054890e-02,9.9936275e-03
1.8475440e-02,9.9934795e-03
1.8905790e-02,9.9933280e-03
1.9346160e-02,9.9931733e-03
1.9796790e-02,9.9930149e-03
2.0257920e-02,9.9928529e-03
2.0729780e-02,9.9926870e-03
2.1212640e-02,9.9925177e-03
2.1706750e-02,9.9923440e-03
2.2212360e-02,9.9921668e-03
2.2729750e-02,9.9919851e-03
2.3259200e-02,9.9917992e-03
2.3800980e-02,9.9916091e-03
2.4355370e-02,9.9914147e-03
2.4922680e-02,9.9912159e-03
