P,Teff
1.5017400e-04,9.9976045e-03
1.5367200e-04,9.9975824e-03
1.5725150e-04,9.9975601e-03
1.6091430e-04,9.9975376e-03
1.6466250e-04,9.9975149e-03
1.6849800e-04,9.9974919e-03
1.7242280e-04,9.9974688e-03
1.7643910e-04,9.9974454e-03
1.8054890e-04,9.9974219e-03
1.8475440e-04,9.9973981e-03
1.8905790e-04,9.9973740e-03
1.9346160e-04,9.9973498e-03
1.9796790e-04,9.9973254e-03
2.0257920e-04,9.9973007e-03
2.0729780e-04,9.9972758e-03
2.1212640e-04,9.9972507e-03
2.1706750e-04,9.9972253e-03
2.2212360e-04,9.9971997e-03
2.2729750e-04,9.9971739e-03
2.3259200e-04,9.9971478e-03
2.3800980e-04,9.9971215e-03
2.4355370e-04,9.9970949e-03
2.4922680e-04,9.9970681e-03
2.5503200e-04,9.9970411e-03
2.6097250e-04,9.9970138e-03
2.6705130e-04,9.9969862e-03
2.7327180e-04,9.9969585e-03
2.7963710e-04,9.9969304e-03
2.8615070e-04,9.9969021e-03
2.9281600e-04,9.9968735e-03
2.9963650e-04,9.9968447e-03
3.0661600e-04,9.9968156e-03
3.1375800e-04,9.9967862e-03
3.2106630e-04,9.9967566e-03
3.2854490e-04,9.9967267e-03
3.3619770e-04,9.9966965e-03
3.4402880e-04,9.9966660e-03
3.5204220e-04,9.9966353e-03
3.6024230e-04,9.9966043e-03
3.6863350e-04,9.9965730e-03
3.7722000e-04,9.9965414e-03
3.8600660e-04,9.9965095e-03
3.9499790e-04,9.9964773e-03
4.0419850e-04,9.9964448e-03
4.1361350e-04,9.9964121e-03
4.2324780e-04,9.9963790e-03
4.3310650e-04,9.9963456e-03
4.4319490e-04,9.9963119e-03
4.5351820e-04,9.9962779e-03
4.6408200e-04,9.9962436e-03
4.7489190e-04,9.9962090e-03
4.8595350e-04,9.9961741e-03
4.9727290e-04,9.9961388e-03
5.0885580e-04,9.9961033e-03
5.2070860e-04,9.9960673e-03
5.3283750e-04,9.9960311e-03
5.4524880e-04,9.9959945e-03
5.5794930e-04,9.9959576e-03
5.7094560e-04,9.9959204e-03
5.8424470e-04,9.9958828e-03
5.9785350e-04,9.9958449e-03
6.1177930e-04,9.9958066e-03
6.2602940e-04,9.9957680e-03
6.4061150e-04,9.9957290e-03
6.5553330e-04,9.9956896e-03
6.7080260e-04,9.9956499e-03
6.8642760e-04,9.9956099e-03
7.0241660e-04,9.9955695e-03
7.1877800e-04,9.9955287e-03
7.3552040e-04,9.9954875e-03
7.5265290e-04,9.9954459e-03
7.7018450e-04,9.9954040e-03
7.8812440e-04,9.9953617e-03
8.0648210e-04,9.9953190e-03
8.2526750e-04,9.9952759e-03
8.4449050e-04,9.9952324e-03
8.6416120e-04,9.9951885e-03
