P,Teff
4.0461970e-03,9.9983167e-03
4.1404450e-03,9.9982930e-03
4.2368880e-03,9.9982691e-03
4.3355780e-03,9.9982448e-03
4.4365660e-03,9.9982201e-03
4.5399070e-03,9.9981951e-03
4.6456550e-03,9.9981698e-03
4.7538670e-03,9.9981441e-03
4.8645980e-03,9.9981181e-03
4.9779090e-03,9.9980916e-03
5.0938600e-03,9.9980648e-03
5.2125110e-03,9.9980376e-03
5.3339260e-03,9.9980101e-03
5.4581690e-03,9.9979821e-03
5.5853060e-03,9.9979539e-03
5.7154050e-03,9.9979251e-03
5.8485340e-03,9.9978959e-03
5.9847630e-03,9.9978664e-03
6.1241660e-03,9.9978365e-03
6.2668170e-03,9.9978061e-03
6.4127900e-03,9.9977753e-03
6.5621630e-03,9.9977441e-03
6.7150150e-03,9.9977125e-03
6.8714280e-03,9.9976803e-03
7.0314840e-03,9.9976478e-03
7.1952680e-03,9.9976148e-03
7.3628680e-03,9.9975813e-03
7.5343710e-03,9.9975474e-03
7.7098690e-03,9.9975129e-03
7.8894550e-03,9.9974780e-03
8.0732240e-03,9.9974426e-03
8.2612730e-03,9.9974068e-03
8.4537030e-03,9.9973703e-03
8.6506150e-03,9.9973334e-03
8.8521140e-03,9.9972960e-03
9.0583060e-03,9.9972581e-03
9.2693010e-03,9.9972196e-03
9.4852110e-03,9.9971805e-03
9.7061500e-03,9.9971410e-03
9.9322350e-03,9.9971009e-03
1.0163590e-02,9.9970602e-03
1.0400330e-02,9.9970190e-03
1.0642580e-02,9.9969771e-03
1.0890480e-02,9.9969347e-03
1.1144150e-02,9.9968917e-03
1.1403730e-02,9.9968482e-03
1.1669360e-02,9.9968038e-03
1.1941170e-02,9.9967590e-03
1.2219320e-02,9.9967135e-03
1.2503940e-02,9.9966675e-03
1.2795200e-02,9.9966207e-03
1.3093240e-02,9.9965734e-03
1.3398220e-02,9.9965252e-03
1.3710300e-02,9.9964765e-03
1.4029650e-02,9.9964271e-03
1.4356450e-02,9.9963770e-03
1.4690850e-02,9.9963262e-03
1.5033050e-02,9.9962747e-03
1.5383210e-02,9.9962224e-03
1.5741530e-02,9.9961695e-03
1.6108200e-02,9.9961158e-03
1.6483410e-02,9.9960613e-03
