P,Teff
2.9281600e-01,9.9021672e-01
2.9963650e-01,9.9000200e-01
3.0661600e-01,9.8978292e-01
3.1375800e-01,9.8955921e-01
3.2106630e-01,9.8933098e-01
3.2854490e-01,9.8909816e-01
3.3619770e-01,9.8886064e-01
3.4402880e-01,9.8861816e-01
3.5204220e-01,9.8837101e-01
3.6024230e-01,9.8811873e-01
3.6863350e-01,9.8786141e-01
3.7722000e-01,9.8759874e-01
3.8600660e-01,9.8733107e-01
3.9499790e-01,9.8705808e-01
4.0419850e-01,9.8677946e-01
4.1361350e-01,9.8649555e-01
4.2324780e-01,9.8620602e-01
4.3310650e-01,9.8591079e-01
4.4319490e-01,9.8560996e-01
4.5351820e-01,9.8530298e-01
4.6408200e-01,9.8499043e-01
4.7489190e-01,9.8467151e-01
4.8595350e-01,9.8434658e-01
4.9727290e-01,9.8401551e-01
5.0885580e-01,9.8367823e-01
5.2070860e-01,9.8333457e-01
5.3283750e-01,9.8298421e-01
5.4524880e-01,9.8262753e-01
5.5794930e-01,9.8226388e-01
5.7094560e-01,9.8189367e-01
5.8424470e-01,9.8151676e-01
5.9785350e-01,9.8113278e-01
6.1177930e-01,9.8074188e-01
6.2602940e-01,9.8034389e-01
6.4061150e-01,9.7993874e-01
6.5553330e-01,9.7952598e-01
6.7080260e-01,9.7910633e-01
6.8642760e-01,9.7867880e-01
7.0241660e-01,9.7824413e-01
7.1877800e-01,9.7780160e-01
7.3552040e-01,9.7735135e-01
7.5265290e-01,9.7689355e-01
7.7018450e-01,9.7642778e-01
7.8812440e-01,9.7595387e-01
8.0648210e-01,9.7547229e-01
8.2526750e-01,9.7498229e-01
8.4449050e-01,9.7448436e-01
8.6416120e-01,9.7397802e-01
8.8429010e-01,9.7346345e-01
9.0488780e-01,9.7294052e-01
9.2596540e-01,9.7240905e-01
9.4753390e-01,9.7186925e-01
9.6960480e-01,9.7132061e-01
9.9218980e-01,9.7076336e-01
1.0153010e+00,9.7019765e-01
1.0389500e+00,9.6962301e-01
1.0631510e+00,9.6903927e-01
1.0879140e+00,9.6844700e-01
1.1132550e+00,9.6784607e-01
1.1391860e+00,9.6723555e-01
1.1657210e+00,9.6661644e-01
1.1928740e+00,9.6598819e-01
1.2206600e+00,9.6535104e-01
1.2490930e+00,9.6470485e-01
1.2781880e+00,9.6404907e-01
1.3079610e+00,9.6338472e-01
1.3384270e+00,9.6271088e-01
1.3696030e+00,9.6202777e-01
1.4015050e+00,9.6133569e-01
1.4341510e+00,9.6063447e-01
1.4675560e+00,9.5992397e-01
1.5017400e+00,9.5920404e-01
