P,Teff
2.3283430e-04,9.9979010e-03
2.3825770e-04,9.9978871e-03
2.4380750e-04,9.9978731e-03
2.4948650e-04,9.9978589e-03
2.5529780e-04,9.9978447e-03
2.6124440e-04,9.9978304e-03
2.6732960e-04,9.9978159e-03
2.7355650e-04,9.9978014e-03
2.7992840e-04,9.9977867e-03
2.8644880e-04,9.9977720e-03
2.9312100e-04,9.9977571e-03
2.9994870e-04,9.9977421e-03
3.0693540e-04,9.9977271e-03
3.1408480e-04,9.9977118e-03
3.2140080e-04,9.9976965e-03
3.2888720e-04,9.9976811e-03
3.3654800e-04,9.9976656e-03
3.4438720e-04,9.9976499e-03
3.5240900e-04,9.9976341e-03
3.6061770e-04,9.9976182e-03
3.6901750e-04,9.9976022e-03
3.7761300e-04,9.9975861e-03
3.8640880e-04,9.9975698e-03
3.9540940e-04,9.9975534e-03
4.0461970e-04,9.9975369e-03
4.1404450e-04,9.9975203e-03
4.2368880e-04,9.9975036e-03
4.3355780e-04,9.9974867e-03
4.4365660e-04,9.9974697e-03
4.5399070e-04,9.9974525e-03
4.6456550e-04,9.9974353e-03
4.7538670e-04,9.9974179e-03
4.8645980e-04,9.9974004e-03
4.9779090e-04,9.9973827e-03
5.0938600e-04,9.9973649e-03
5.2125110e-04,9.9973470e-03
5.3339260e-04,9.9973289e-03
5.4581690e-04,9.9973108e-03
5.5853060e-04,9.9972924e-03
5.7154050e-04,9.9972739e-03
5.8485340e-04,9.9972553e-03
5.9847630e-04,9.9972366e-03
6.1241660e-04,9.9972177e-03
6.2668170e-04,9.9971986e-03
6.4127900e-04,9.9971794e-03
6.5621630e-04,9.9971601e-03
6.7150150e-04,9.9971406e-03
6.8714280e-04,9.9971210e-03
7.0314840e-04,9.9971012e-03
7.1952680e-04,9.9970813e-03
7.3628680e-04,9.9970612e-03
7.5343710e-04,9.9970410e-03
7.7098690e-04,9.9970206e-03
7.8894550e-04,9.9970000e-03
8.0732240e-04,9.9969793e-03
8.2612730e-04,9.9969585e-03
8.4537030e-04,9.9969376e-03
8.6506150e-04,9.9969165e-03
8.8521140e-04,9.9968952e-03
9.0583060e-04,9.9968738e-03
9.2693010e-04,9.9968523e-03
9.4852110e-04,9.9968305e-03
9.7061500e-04,9.9968086e-03
9.9322350e-04,9.9967865e-03
1.0163590e-03,9.9967642e-03
1.0400330e-03,9.9967418e-03
1.0642580e-03,9.9967192e-03
1.0890480e-03,9.9966964e-03
1.1144150e-03,9.9966734e-03
1.1403730e-03,9.9966502e-03
1.1669360e-03,9.9966269e-03
1.1941170e-03,9.9966034e-03
1.2219320e-03,9.9965797e-03
1.2503940e-03,9.9965558e-03
1.2795200e-03,9.9965317e-03
1.3093240e-03,9.9965074e-03
1.3398220e-03,9.9964829e-03
1.3710300e-03,9.9964583e-03
1.4029650e-03,9.9964334e-03
