nu,B
5.8031741810e+20,1.1115623055e-06
5.8394440196e+20,1.0975847061e-06
5.8757138583e+20,1.0836645267e-06
5.9119836969e+20,1.0698053666e-06
5.9482535355e+20,1.0560106882e-06
5.9845233741e+20,1.0422838194e-06
6.0207932128e+20,1.0286279554e-06
6.0570630514e+20,1.0150461617e-06
6.0933328900e+20,1.0015413758e-06
6.1296027287e+20,9.8811641004e-07
6.1658725673e+20,9.7477395365e-07
6.2021424059e+20,9.6151657526e-07
6.2384122446e+20,9.4834672527e-07
6.2746820832e+20,9.3526673821e-07
6.3109519218e+20,9.2227883518e-07
6.3472217605e+20,9.0938512621e-07
6.3834915991e+20,8.9658761268e-07
6.4197614377e+20,8.8388818967e-07
6.4560312764e+20,8.7128864840e-07
6.4923011150e+20,8.5879067857e-07
6.5285709536e+20,8.4639587074e-07
6.5648407922e+20,8.3410571867e-07
6.6011106309e+20,8.2192162167e-07
6.6373804695e+20,8.0984488696e-07
6.6736503081e+20,7.9787673190e-07
6.7099201468e+20,7.8601828636e-07
6.7461899854e+20,7.7427059495e-07
6.7824598240e+20,7.6263461929e-07
6.8187296627e+20,7.5111124021e-07
6.8549995013e+20,7.3970126000e-07
6.8912693399e+20,7.2840540454e-07
6.9275391786e+20,7.1722432550e-07
6.9638090172e+20,7.0615860245e-07
7.0000788558e+20,6.9520874495e-07
7.0363486945e+20,6.8437519464e-07
7.0726185331e+20,6.7365832731e-07
7.1088883717e+20,6.6305845486e-07
7.1451582103e+20,6.5257582735e-07
7.1814280490e+20,6.4221063490e-07
7.2176978876e+20,6.3196300966e-07
7.2539677262e+20,6.2183302770e-07
7.2902375649e+20,6.1182071084e-07
7.3265074035e+20,6.0192602854e-07
7.3627772421e+20,5.9214889964e-07
7.3990470808e+20,5.8248919418e-07
7.4353169194e+20,5.7294673510e-07
7.4715867580e+20,5.6352129997e-07
7.5078565967e+20,5.5421262264e-07
7.5441264353e+20,5.4502039489e-07
7.5803962739e+20,5.3594426805e-07
7.6166661126e+20,5.2698385453e-07
7.6529359512e+20,5.1813872942e-07
7.6892057898e+20,5.0940843193e-07
7.7254756284e+20,5.0079246695e-07
7.7617454671e+20,4.9229030640e-07
7.7980153057e+20,4.8390139071e-07
7.8342851443e+20,4.7562513018e-07
7.8705549830e+20,4.6746090633e-07
7.9068248216e+20,4.5940807318e-07
7.9430946602e+20,4.5146595861e-07
7.9793644989e+20,4.4363386552e-07
8.0156343375e+20,4.3591107315e-07
8.0519041761e+20,4.2829683820e-07
8.0881740148e+20,4.2079039602e-07
8.1244438534e+20,4.1339096174e-07
8.1607136920e+20,4.0609773138e-07
8.1969835307e+20,3.9890988291e-07
8.2332533693e+20,3.9182657731e-07
8.2695232079e+20,3.8484695957e-07
8.3057930465e+20,3.7797015970e-07
8.3420628852e+20,3.7119529368e-07
8.3783327238e+20,3.6452146438e-07
8.4146025624e+20,3.5794776250e-07
8.4508724011e+20,3.5147326741e-07
8.4871422397e+20,3.4509704805e-07
8.5234120783e+20,3.3881816371e-07
8.5596819170e+20,3.3263566489e-07
8.5959517556e+20,3.2654859404e-07
8.6322215942e+20,3.2055598630e-07
8.6684914329e+20,3.1465687028e-07
8.7047612715e+20,3.0885026876e-07
8.7410311101e+20,3.0313519932e-07
8.7773009488e+20,2.9751067506e-07
8.8135707874e+20,2.9197570523e-07
8.8498406260e+20,2.8652929582e-07
8.8861104646e+20,2.8117045021e-07
8.9223803033e+20,2.7589816967e-07
8.9586501419e+20,2.7071145399e-07
8.9949199805e+20,2.6560930198e-07
9.0311898192e+20,2.6059071199e-07
9.0674596578e+20,2.5565468242e-07
9.1037294964e+20,2.5080021217e-07
9.1399993351e+20,2.4602630115e-07
9.1762691737e+20,2.4133195065e-07
9.2125390123e+20,2.3671616386e-07
9.2488088510e+20,2.3217794618e-07
9.2850786896e+20,2.2771630570e-07
9.3213485282e+20,2.2333025350e-07
9.3576183668e+20,2.1901880407e-07
9.3938882055e+20,2.1478097562e-07
9.4301580441e+20,2.1061579042e-07
9.4664278827e+20,2.0652227510e-07
9.5026977214e+20,2.0249946099e-07
9.5389675600e+20,1.9854638437e-07
9.5752373986e+20,1.9466208674e-07
9.6115072373e+20,1.9084561512e-07
9.6477770759e+20,1.8709602225e-07
9.6840469145e+20,1.8341236686e-07
9.7203167532e+20,1.7979371387e-07
9.7565865918e+20,1.7623913463e-07
9.7928564304e+20,1.7274770706e-07
9.8291262691e+20,1.6931851593e-07
9.8653961077e+20,1.6595065294e-07
9.9016659463e+20,1.6264321697e-07
9.9379357849e+20,1.5939531416e-07
9.9742056236e+20,1.5620605814e-07
1.0010475462e+21,1.5307457010e-07
1.0046745301e+21,1.4999997895e-07
1.0083015139e+21,1.4698142142e-07
1.0119284978e+21,1.4401804222e-07
1.0155554817e+21,1.4110899406e-07
1.0191824655e+21,1.3825343783e-07
1.0228094494e+21,1.3545054262e-07
1.0264364333e+21,1.3269948585e-07
1.0300634171e+21,1.2999945329e-07
1.0336904010e+21,1.2734963917e-07
1.0373173849e+21,1.2474924623e-07
1.0409443687e+21,1.2219748572e-07
1.0445713526e+21,1.1969357754e-07
1.0481983364e+21,1.1723675018e-07
1.0518253203e+21,1.1482624081e-07
1.0554523042e+21,1.1246129530e-07
1.0590792880e+21,1.1014116822e-07
1.0627062719e+21,1.0786512288e-07
1.0663332558e+21,1.0563243133e-07
1.0699602396e+21,1.0344237437e-07
1.0735872235e+21,1.0129424154e-07
1.0772142073e+21,9.9187331117e-08
1.0808411912e+21,9.7120950138e-08
1.0844681751e+21,9.5094414350e-08
1.0880951589e+21,9.3107048214e-08
1.0917221428e+21,9.1158184880e-08
1.0953491267e+21,8.9247166164e-08
1.0989761105e+21,8.7373342525e-08
1.1026030944e+21,8.5536073030e-08
1.1062300783e+21,8.3734725325e-08
1.1098570621e+21,8.1968675593e-08
1.1134840460e+21,8.0237308523e-08
1.1171110298e+21,7.8540017261e-08
1.1207380137e+21,7.6876203367e-08
1.1243649976e+21,7.5245276772e-08
1.1279919814e+21,7.3646655723e-08
1.1316189653e+21,7.2079766734e-08
1.1352459492e+21,7.0544044533e-08
1.1388729330e+21,6.9038932004e-08
1.1424999169e+21,6.7563880130e-08
1.1461269007e+21,6.6118347934e-08
1.1497538846e+21,6.4701802419e-08
1.1533808685e+21,6.3313718502e-08
1.1570078523e+21,6.1953578951e-08
1.1606348362e+21,6.0620874321e-08
1.1642618201e+21,5.9315102884e-08
1.1678888039e+21,5.8035770564e-08
1.1715157878e+21,5.6782390865e-08
1.1751427717e+21,5.5554484801e-08
1.1787697555e+21,5.4351580827e-08
1.1823967394e+21,5.3173214763e-08
1.1860237232e+21,5.2018929724e-08
1.1896507071e+21,5.0888276045e-08
1.1932776910e+21,4.9780811207e-08
1.1969046748e+21,4.8696099761e-08
1.2005316587e+21,4.7633713252e-08
1.2041586426e+21,4.6593230146e-08
1.2077856264e+21,4.5574235749e-08
1.2114126103e+21,4.4576322135e-08
1.2150395941e+21,4.3599088065e-08
1.2186665780e+21,4.2642138911e-08
1.2222935619e+21,4.1705086578e-08
1.2259205457e+21,4.0787549428e-08
1.2295475296e+21,3.9889152200e-08
1.2331745135e+21,3.9009525934e-08
1.2368014973e+21,3.8148307890e-08
1.2404284812e+21,3.7305141474e-08
1.2440554651e+21,3.6479676159e-08
1.2476824489e+21,3.5671567406e-08
